l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,groupcol,aggcol
O,O,N,NONE,0,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,4,0.01,0,5,Brand#55,15,0,33
O,O,N,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,2,0.07,0.09,12,Brand#51,15,0,3
O,O,N,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,1,0.07,0.09,2,Brand#35,15,0,25
O,O,N,DELIVER IN PERSON,0,Manufacturer#4,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,3,0.07,0,16,Brand#45,15,0,45
O,O,N,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,TRUCK,6,0.01,0.04,24,Brand#33,15,0,34
O,O,N,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,0,HOUSEHOLD,RAIL,5,0.06,0.08,4,Brand#12,15,0,39
O,O,N,NONE,2,Manufacturer#5,2-HIGH,1,BUILDING,RAIL,3,0.01,0.01,21,Brand#54,17,1,25
O,O,N,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,1,BUILDING,SHIP,2,0.08,0.03,19,Brand#21,17,1,34
O,O,N,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,BUILDING,SHIP,4,0.07,0.07,14,Brand#42,17,1,15
O,O,N,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,1,BUILDING,SHIP,1,0,0.06,17,Brand#52,17,1,37
F,F,A,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,3,BUILDING,REG AIR,2,0.02,0.01,7,Brand#52,6,2,36
F,F,R,COLLECT COD,1,Manufacturer#3,5-LOW,3,BUILDING,TRUCK,1,0.02,0.08,24,Brand#33,6,2,46
F,F,A,COLLECT COD,0,Manufacturer#3,5-LOW,3,BUILDING,SHIP,3,0.06,0.04,0,Brand#32,6,2,33
F,F,R,COLLECT COD,2,Manufacturer#1,5-LOW,3,BUILDING,SHIP,6,0.01,0.06,21,Brand#15,6,2,22
F,F,R,DELIVER IN PERSON,4,Manufacturer#2,5-LOW,3,BUILDING,FOB,7,0.04,0.05,4,Brand#21,6,2,1
F,F,A,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,3,BUILDING,FOB,5,0,0.06,18,Brand#35,6,2,24
