o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,s_nationkey,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
O,NONE,0,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,4,5,1998-01-24,1998-03-20,1998-04-12,1998-04-15,0,62259.1068
O,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,2,12,1998-01-24,1998-04-03,1998-05-23,1998-06-02,0,4558.843926
O,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,1,2,1998-01-24,1998-04-22,1998-04-10,1998-04-11,0,37015.69235
O,DELIVER IN PERSON,0,Manufacturer#4,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,3,16,1998-01-24,1998-03-20,1998-02-23,1998-03-24,0,59963.121
O,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,TRUCK,6,24,1998-01-24,1998-04-22,1998-03-05,1998-03-30,0,61282.88928
O,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,0,HOUSEHOLD,RAIL,5,4,1998-01-24,1998-04-07,1998-01-29,1998-02-18,0,35523.776184
O,NONE,2,Manufacturer#5,2-HIGH,1,BUILDING,RAIL,3,21,1997-05-09,1997-07-24,1997-07-31,1997-08-17,0,43141.18545
O,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,1,BUILDING,SHIP,2,19,1997-05-09,1997-07-28,1997-08-09,1997-08-26,0,56800.306296
O,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,BUILDING,SHIP,4,14,1997-05-09,1997-07-13,1997-06-02,1997-06-04,0,22577.973165
O,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,1,BUILDING,SHIP,1,17,1997-05-09,1997-08-02,1997-07-24,1997-08-07,0,62287.1542
F,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,3,BUILDING,REG AIR,2,7,1992-11-19,1992-12-25,1992-11-25,1992-12-09,1,63757.35828
F,COLLECT COD,1,Manufacturer#3,5-LOW,3,BUILDING,TRUCK,1,24,1992-11-19,1993-01-24,1993-02-15,1993-03-05,2,40102.448928
F,COLLECT COD,0,Manufacturer#3,5-LOW,3,BUILDING,SHIP,3,0,1992-11-19,1993-02-14,1993-01-08,1993-01-29,1,43500.232512
F,COLLECT COD,2,Manufacturer#1,5-LOW,3,BUILDING,SHIP,6,21,1992-11-19,1993-01-31,1993-02-15,1993-02-24,2,34917.925636
F,DELIVER IN PERSON,4,Manufacturer#2,5-LOW,3,BUILDING,FOB,7,4,1992-11-19,1993-01-08,1993-01-26,1993-02-24,2,1568.62784
F,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,3,BUILDING,FOB,5,18,1992-11-19,1993-01-02,1992-12-07,1992-12-11,1,27394.8336
F,COLLECT COD,1,Manufacturer#2,5-LOW,3,BUILDING,MAIL,4,1,1992-11-19,1993-02-14,1993-01-29,1993-02-10,2,43040.039
F,COLLECT COD,2,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,REG AIR,3,21,1994-06-08,1994-08-30,1994-09-20,1994-09-23,1,7091.238528
F,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,FOB,1,16,1994-06-08,1994-09-02,1994-09-14,1994-10-04,2,65173.5477
F,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,SHIP,2,5,1994-06-08,1994-08-10,1994-09-17,1994-09-21,1,68461.7024
F,COLLECT COD,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,MAIL,3,1,1993-09-20,1993-11-04,1993-12-05,1994-01-01,1,58442.99552
F,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,HOUSEHOLD,RAIL,6,15,1993-09-20,1993-11-06,1993-12-21,1994-01-17,2,49364.16912
F,NONE,1,Manufacturer#4,2-HIGH,1,HOUSEHOLD,TRUCK,1,24,1993-09-20,1993-11-14,1993-11-18,1993-11-28,1,70178.60366
F,NONE,0,Manufacturer#1,2-HIGH,1,HOUSEHOLD,TRUCK,2,16,1993-09-20,1993-12-12,1993-10-18,1993-10-31,1,59159.9808
F,NONE,4,Manufacturer#5,2-HIGH,1,HOUSEHOLD,REG AIR,7,4,1993-09-20,1993-10-29,1993-12-08,1993-12-30,1,75472.84215
F,COLLECT COD,4,Manufacturer#1,2-HIGH,1,HOUSEHOLD,SHIP,5,4,1993-09-20,1993-11-01,1993-10-07,1993-10-26,2,21580.476192
F,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,1,HOUSEHOLD,MAIL,4,21,1993-09-20,1993-12-17,1993-10-04,1993-10-23,1,27825.17184
F,DELIVER IN PERSON,4,Manufacturer#1,3-MEDIUM,2,MACHINERY,FOB,1,11,1994-06-01,1994-08-23,1994-08-24,1994-08-27,2,33980.891175
F,COLLECT COD,4,Manufacturer#2,2-HIGH,1,BUILDING,RAIL,6,4,1994-12-03,1995-02-08,1995-03-02,1995-03-03,1,21648.32568
F,COLLECT COD,2,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,7,18,1994-12-03,1995-01-04,1994-12-25,1995-01-15,1,10531.942713
F,NONE,0,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,4,0,1994-12-03,1995-01-06,1995-01-24,1995-02-17,2,88986.306675
F,COLLECT COD,0,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,3,16,1994-12-03,1995-02-21,1995-01-04,1995-01-21,1,66638.55366
F,TAKE BACK RETURN,4,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,5,20,1994-12-03,1995-02-27,1995-02-12,1995-03-06,1,39086.172336
F,COLLECT COD,2,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,2,12,1994-12-03,1995-02-15,1995-02-16,1995-02-25,2,73280.885895
F,NONE,4,Manufacturer#5,2-HIGH,1,BUILDING,TRUCK,1,4,1994-12-03,1995-02-21,1994-12-09,1995-01-03,1,49938.114006
O,COLLECT COD,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,RAIL,7,18,1996-08-20,1996-09-29,1996-09-06,1996-10-01,0,46938.269664
O,NONE,0,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,TRUCK,5,0,1996-08-20,1996-10-30,1996-11-28,1996-12-12,0,63342.32394
O,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,1,AUTOMOBILE,REG AIR,4,18,1996-08-20,1996-09-23,1996-10-02,1996-10-14,0,38136.492
O,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,SHIP,2,21,1996-08-20,1996-10-03,1996-11-13,1996-11-25,0,2244.6736
O,NONE,2,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,1,8,1996-08-20,1996-10-27,1996-09-25,1996-10-20,0,73680.22116
O,TAKE BACK RETURN,3,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,AIR,6,6,1996-08-20,1996-11-03,1996-09-22,1996-10-22,0,41764.90842
O,NONE,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,MAIL,3,18,1996-08-20,1996-11-03,1996-09-22,1996-10-13,0,28427.3766
O,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,1,HOUSEHOLD,SHIP,1,0,1995-12-04,1996-01-07,1995-12-06,1995-12-14,0,80273.261768
O,NONE,2,Manufacturer#3,1-URGENT,1,HOUSEHOLD,REG AIR,5,9,1995-12-04,1996-01-16,1996-02-29,1996-03-06,0,71280.136928
O,COLLECT COD,0,Manufacturer#2,1-URGENT,1,HOUSEHOLD,FOB,2,15,1995-12-04,1996-01-14,1996-02-13,1996-03-04,0,3037.03992
O,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,SHIP,6,21,1995-12-04,1996-02-10,1995-12-11,1995-12-14,0,2107.744002
O,COLLECT COD,4,Manufacturer#3,1-URGENT,1,HOUSEHOLD,FOB,3,4,1995-12-04,1996-01-03,1996-03-16,1996-03-22,0,49217.068628
O,COLLECT COD,2,Manufacturer#3,1-URGENT,1,HOUSEHOLD,RAIL,4,9,1995-12-04,1996-01-15,1996-01-24,1996-02-13,0,8569.224
F,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,4,BUILDING,FOB,3,13,1994-02-13,1994-04-26,1994-02-28,1994-03-20,1,13847.261085
F,COLLECT COD,0,Manufacturer#2,3-MEDIUM,4,BUILDING,MAIL,1,0,1994-02-13,1994-04-05,1994-04-26,1994-04-29,2,1434.231552
F,COLLECT COD,0,Manufacturer#1,3-MEDIUM,4,BUILDING,TRUCK,2,16,1994-02-13,1994-04-21,1994-04-05,1994-05-01,1,38667.26955
F,DELIVER IN PERSON,2,Manufacturer#5,3-MEDIUM,0,AUTOMOBILE,TRUCK,1,9,1993-11-16,1993-12-25,1994-02-19,1994-02-25,1,9271.157952
F,NONE,0,Manufacturer#5,1-URGENT,3,AUTOMOBILE,TRUCK,1,14,1995-02-11,1995-04-01,1995-02-18,1995-03-20,2,41838.389952
F,NONE,3,Manufacturer#5,3-MEDIUM,3,MACHINERY,TRUCK,2,7,1992-11-20,1993-01-13,1992-12-22,1993-01-01,1,18253.7316
F,TAKE BACK RETURN,4,Manufacturer#3,3-MEDIUM,3,MACHINERY,RAIL,1,11,1992-11-20,1993-02-09,1992-12-10,1992-12-29,2,50155.244568
F,NONE,0,Manufacturer#3,3-MEDIUM,3,MACHINERY,TRUCK,3,14,1992-11-20,1992-12-31,1993-03-05,1993-03-12,2,65290.42016
O,COLLECT COD,0,Manufacturer#3,1-URGENT,3,MACHINERY,REG AIR,1,15,1996-08-29,1996-11-07,1996-10-15,1996-11-06,0,36887.41575
O,DELIVER IN PERSON,1,Manufacturer#4,1-URGENT,3,MACHINERY,RAIL,5,24,1996-08-29,1996-10-09,1996-09-11,1996-09-25,0,36416.9331
O,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,3,MACHINERY,TRUCK,4,1,1996-08-29,1996-10-03,1996-12-12,1996-12-15,0,32830.87302
O,COLLECT COD,3,Manufacturer#2,1-URGENT,3,MACHINERY,REG AIR,3,6,1996-08-29,1996-11-03,1996-09-06,1996-09-10,0,3713.639616
O,COLLECT COD,0,Manufacturer#1,1-URGENT,3,MACHINERY,SHIP,2,14,1996-08-29,1996-11-14,1996-12-10,1997-01-07,0,54514.295352
F,TAKE BACK RETURN,0,Manufacturer#3,3-MEDIUM,2,BUILDING,MAIL,3,5,1993-02-05,1993-03-20,1993-02-13,1993-02-22,2,26859.884688
F,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,2,BUILDING,RAIL,1,24,1993-02-05,1993-03-14,1993-02-12,1993-03-12,1,17974.147464
F,TAKE BACK RETURN,0,Manufacturer#1,3-MEDIUM,2,BUILDING,REG AIR,2,0,1993-02-05,1993-03-27,1993-05-05,1993-05-18,1,16598.262432
O,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,1,AUTOMOBILE,REG AIR,2,18,1997-08-04,1997-10-10,1997-10-22,1997-11-10,0,29454.516
O,COLLECT COD,2,Manufacturer#1,5-LOW,1,AUTOMOBILE,REG AIR,1,18,1997-08-04,1997-09-12,1997-09-07,1997-10-01,0,20867.16762
O,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,1,AUTOMOBILE,SHIP,5,9,1997-08-04,1997-10-24,1997-08-05,1997-08-07,0,43798.5093
O,NONE,0,Manufacturer#4,5-LOW,1,AUTOMOBILE,AIR,3,16,1997-08-04,1997-10-23,1997-10-13,1997-10-18,0,23293.261926
O,COLLECT COD,0,Manufacturer#5,5-LOW,1,AUTOMOBILE,AIR,4,14,1997-08-04,1997-09-22,1997-10-16,1997-10-28,0,18127.28709
F,TAKE BACK RETURN,2,Manufacturer#4,1-URGENT,3,HOUSEHOLD,MAIL,4,18,1994-12-11,1995-01-11,1995-03-28,1995-04-14,2,55394.216064
F,TAKE BACK RETURN,0,Manufacturer#3,1-URGENT,3,HOUSEHOLD,FOB,3,14,1994-12-11,1995-01-26,1994-12-27,1995-01-21,1,3701.59102
F,DELIVER IN PERSON,0,Manufacturer#2,1-URGENT,3,HOUSEHOLD,AIR,7,14,1994-12-11,1995-02-08,1995-01-28,1995-02-10,2,66307.24098
F,NONE,2,Manufacturer#4,1-URGENT,3,HOUSEHOLD,SHIP,6,12,1994-12-11,1995-02-21,1995-03-15,1995-03-20,2,5391.134112
F,NONE,2,Manufacturer#2,1-URGENT,3,HOUSEHOLD,AIR,2,8,1994-12-11,1995-02-02,1995-03-19,1995-03-27,1,33801.100472
F,NONE,0,Manufacturer#3,1-URGENT,3,HOUSEHOLD,REG AIR,1,16,1994-12-11,1995-01-18,1995-02-01,1995-03-03,2,42438.119724
F,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,3,HOUSEHOLD,TRUCK,5,24,1994-12-11,1995-02-13,1995-02-06,1995-02-18,1,19099.051777
P,COLLECT COD,0,Manufacturer#4,2-HIGH,2,AUTOMOBILE,RAIL,3,16,1995-05-19,1995-06-26,1995-07-13,1995-08-06,0,38688.285636
P,COLLECT COD,2,Manufacturer#2,2-HIGH,2,AUTOMOBILE,RAIL,1,8,1995-05-19,1995-08-08,1995-08-13,1995-09-10,0,40316.892096
P,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,2,AUTOMOBILE,AIR,5,3,1995-05-19,1995-07-06,1995-09-03,1995-09-04,0,49268.1672
P,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,2,AUTOMOBILE,FOB,4,16,1995-05-19,1995-07-07,1995-07-16,1995-07-22,0,32322.69075
P,TAKE BACK RETURN,3,Manufacturer#4,2-HIGH,2,AUTOMOBILE,SHIP,2,19,1995-05-19,1995-08-03,1995-06-08,1995-06-16,1,10058.563235
F,NONE,0,Manufacturer#1,5-LOW,0,FURNITURE,FOB,1,16,1992-10-28,1993-01-23,1992-12-27,1993-01-06,1,84478.5676
F,COLLECT COD,2,Manufacturer#5,5-LOW,0,FURNITURE,REG AIR,3,21,1992-10-28,1992-12-29,1992-12-02,1992-12-14,2,44784.647984
F,COLLECT COD,3,Manufacturer#3,5-LOW,0,FURNITURE,FOB,2,23,1992-10-28,1992-12-11,1992-11-27,1992-12-07,1,36098.12241
F,DELIVER IN PERSON,3,Manufacturer#1,2-HIGH,4,BUILDING,RAIL,1,19,1993-04-27,1993-07-09,1993-08-25,1993-09-12,1,25268.893104
F,NONE,3,Manufacturer#5,2-HIGH,4,BUILDING,AIR,2,7,1993-04-27,1993-07-07,1993-05-24,1993-06-14,2,27928.46784
F,COLLECT COD,0,Manufacturer#1,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,1,14,1994-07-05,1994-09-04,1994-10-31,1994-11-25,1,8836.995
F,COLLECT COD,2,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,AIR,3,9,1994-12-06,1995-01-12,1994-12-17,1995-01-03,2,51679.579896
F,COLLECT COD,1,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,TRUCK,7,2,1994-12-06,1995-01-15,1994-12-23,1995-01-13,2,21269.3352
F,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,RAIL,6,21,1994-12-06,1995-02-18,1994-12-16,1994-12-22,1,52407.0288
F,NONE,1,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,SHIP,1,3,1994-12-06,1995-03-03,1994-12-22,1994-12-31,2,67760.589204
F,DELIVER IN PERSON,0,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,5,16,1994-12-06,1995-03-05,1995-02-25,1995-03-24,1,39335.22285
F,TAKE BACK RETURN,0,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,AIR,2,0,1994-12-06,1995-02-15,1995-02-22,1995-03-19,1,51733.251072
F,COLLECT COD,2,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,RAIL,4,8,1994-12-06,1995-03-05,1995-01-07,1995-01-17,1,6327.264456
O,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,4,BUILDING,RAIL,4,9,1996-09-17,1996-11-07,1996-10-26,1996-10-30,0,14684.906016
O,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,4,BUILDING,REG AIR,2,16,1996-09-17,1996-10-22,1996-10-07,1996-11-03,0,41065.15296
O,NONE,3,Manufacturer#5,5-LOW,4,BUILDING,MAIL,7,6,1996-09-17,1996-10-17,1996-11-01,1996-11-28,0,56206.584
O,COLLECT COD,4,Manufacturer#3,5-LOW,4,BUILDING,RAIL,6,4,1996-09-17,1996-12-03,1996-10-31,1996-11-13,0,3014.93691
O,NONE,3,Manufacturer#1,5-LOW,4,BUILDING,SHIP,3,7,1996-09-17,1996-11-23,1996-10-02,1996-10-05,0,61534.16424
O,NONE,3,Manufacturer#5,5-LOW,4,BUILDING,MAIL,5,19,1996-09-17,1996-12-05,1996-10-20,1996-11-02,0,39115.915632
O,DELIVER IN PERSON,0,Manufacturer#3,5-LOW,4,BUILDING,RAIL,1,5,1996-09-17,1996-12-03,1996-09-23,1996-10-01,0,19529.598088
F,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,3,HOUSEHOLD,RAIL,4,18,1992-12-28,1993-03-24,1993-03-23,1993-04-12,2,18601.876293
