o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,groupcol,aggcol
O,5-LOW,2,FURNITURE,12,Clerk#000000951,1996-01-02,8982.79,0,1
O,1-URGENT,2,MACHINERY,18,Clerk#000000880,1996-12-01,6403.62,1,1
F,5-LOW,1,FURNITURE,1,Clerk#000000955,1993-10-14,-982.32,2,1
O,5-LOW,4,AUTOMOBILE,10,Clerk#000000124,1995-10-11,498.77,3,1
F,5-LOW,4,FURNITURE,20,Clerk#000000925,1994-07-30,8018.81,4,1
O,2-HIGH,4,MACHINERY,10,Clerk#000000616,1995-07-16,8966.63,5,1
F,3-MEDIUM,1,BUILDING,2,Clerk#000000409,1993-10-27,6738.93,6,1
O,3-MEDIUM,3,HOUSEHOLD,19,Clerk#000000223,1998-07-21,4272.43,7,1
O,4-NOT SPECIFIED,0,AUTOMOBILE,16,Clerk#000000259,1995-10-23,-761.7,8,1
O,1-URGENT,1,HOUSEHOLD,3,Clerk#000000358,1995-11-03,6244.03,9,1
F,3-MEDIUM,1,MACHINERY,2,Clerk#000000456,1992-06-03,2338.92,10,1
O,4-NOT SPECIFIED,3,BUILDING,7,Clerk#000000604,1996-08-21,448.49,11,1
O,3-MEDIUM,4,BUILDING,20,Clerk#000000659,1996-09-20,-574.39,12,1
F,3-MEDIUM,4,HOUSEHOLD,20,Clerk#000000661,1994-07-16,4489.98,13,1
P,1-URGENT,2,FURNITURE,21,Clerk#000000632,1995-03-18,2948.61,14,1
F,5-LOW,2,BUILDING,21,Clerk#000000743,1994-01-20,5509.11,15,1
O,4-NOT SPECIFIED,4,BUILDING,13,Clerk#000000547,1996-12-19,1317.56,16,1
O,3-MEDIUM,3,HOUSEHOLD,22,Clerk#000000440,1998-04-18,-109.73,17,1
F,4-NOT SPECIFIED,4,AUTOMOBILE,13,Clerk#000000330,1994-06-04,6898.89,18,1
F,5-LOW,2,HOUSEHOLD,18,Clerk#000000322,1993-12-18,6183.15,19,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,15,Clerk#000000271,1998-01-24,8589.7,20,1
F,2-HIGH,3,MACHINERY,19,Clerk#000000395,1994-04-17,70.93,21,1
F,3-MEDIUM,4,BUILDING,13,Clerk#000000547,1993-01-29,4198.72,22,1
F,1-URGENT,4,HOUSEHOLD,20,Clerk#000000448,1994-09-25,2942.19,23,1
F,4-NOT SPECIFIED,4,BUILDING,4,Clerk#000000973,1994-03-13,3329.21,24,1
O,4-NOT SPECIFIED,0,AUTOMOBILE,5,Clerk#000000577,1998-02-28,3872.86,25,1
O,3-MEDIUM,4,BUILDING,11,Clerk#000000419,1996-03-17,3952.84,26,1
O,2-HIGH,1,BUILDING,17,Clerk#000000596,1997-05-09,6819.74,27,1
O,4-NOT SPECIFIED,4,HOUSEHOLD,11,Clerk#000000090,1996-06-20,2975.43,28,1
F,1-URGENT,4,BUILDING,10,Clerk#000000385,1992-06-15,1733.76,29,1
F,5-LOW,3,BUILDING,6,Clerk#000000859,1992-11-19,8667.09,30,1
F,2-HIGH,2,FURNITURE,12,Clerk#000000036,1992-05-08,8982.79,0,1
F,3-MEDIUM,2,HOUSEHOLD,21,Clerk#000000625,1994-06-08,8330.7,31,1
F,3-MEDIUM,1,MACHINERY,17,Clerk#000000488,1993-06-11,8275.8,32,1
O,1-URGENT,1,MACHINERY,3,Clerk#000000738,1997-11-29,1809.04,33,1
F,4-NOT SPECIFIED,3,MACHINERY,7,Clerk#000000711,1992-05-01,595.61,34,1
O,4-NOT SPECIFIED,3,HOUSEHOLD,23,Clerk#000000804,1995-10-21,-549.73,35,1
O,4-NOT SPECIFIED,4,BUILDING,13,Clerk#000000342,1996-12-19,8938.14,36,1
F,2-HIGH,0,AUTOMOBILE,5,Clerk#000000322,1994-08-31,1468.09,37,1
O,3-MEDIUM,2,AUTOMOBILE,9,Clerk#000000378,1995-05-08,2209.81,38,1
O,3-MEDIUM,0,FURNITURE,15,Clerk#000000379,1997-09-05,8781.53,39,1
F,5-LOW,1,BUILDING,17,Clerk#000000209,1992-10-21,6819.74,27,1
F,4-NOT SPECIFIED,3,FURNITURE,19,Clerk#000000292,1993-01-30,4425.42,40,1
O,2-HIGH,3,AUTOMOBILE,19,Clerk#000000440,1995-09-12,2135.91,41,1
F,4-NOT SPECIFIED,4,FURNITURE,4,Clerk#000000731,1993-01-04,9621.49,42,1
O,5-LOW,4,BUILDING,13,Clerk#000000483,1997-11-25,8938.14,36,1
F,1-URGENT,4,HOUSEHOLD,13,Clerk#000000025,1993-08-08,3694.81,43,1
F,3-MEDIUM,1,FURNITURE,24,Clerk#000000352,1992-04-05,2336.99,44,1
F,3-MEDIUM,4,AUTOMOBILE,20,Clerk#000000216,1993-12-28,2351.1,45,1
F,2-HIGH,4,BUILDING,11,Clerk#000000988,1993-03-17,9442.55,46,1
P,2-HIGH,1,HOUSEHOLD,2,Clerk#000000969,1995-04-07,1906.52,47,1
O,4-NOT SPECIFIED,0,AUTOMOBILE,16,Clerk#000000331,1998-01-02,4878.1,48,1
O,2-HIGH,4,BUILDING,13,Clerk#000000489,1996-03-07,4990.92,49,1
F,4-NOT SPECIFIED,2,FURNITURE,12,Clerk#000000642,1994-06-18,7133.7,50,1
P,1-URGENT,0,AUTOMOBILE,5,Clerk#000000177,1995-05-25,170.27,51,1
F,2-HIGH,0,AUTOMOBILE,16,Clerk#000000756,1993-03-10,-761.7,8,1
O,5-LOW,4,FURNITURE,20,Clerk#000000919,1995-11-10,9889.89,52,1
F,1-URGENT,1,FURNITURE,1,Clerk#000000562,1993-02-25,4157,53,1
F,1-URGENT,4,HOUSEHOLD,11,Clerk#000000628,1993-12-29,4130.18,54,1
F,1-URGENT,1,BUILDING,2,Clerk#000000520,1993-10-27,4946.21,55,1
F,2-HIGH,2,BUILDING,9,Clerk#000000446,1994-09-29,5794.69,56,1
F,4-NOT SPECIFIED,3,BUILDING,7,Clerk#000000834,1993-10-19,448.49,11,1
O,3-MEDIUM,2,AUTOMOBILE,12,Clerk#000000680,1998-03-28,5392.3,57,1
F,1-URGENT,0,BUILDING,16,Clerk#000000167,1993-12-29,7786.69,58,1
F,4-NOT SPECIFIED,4,FURNITURE,20,Clerk#000000601,1993-09-29,8746.23,59,1
O,3-MEDIUM,3,BUILDING,19,Clerk#000000960,1996-12-10,2583.91,60,1
F,3-MEDIUM,2,AUTOMOBILE,21,Clerk#000000310,1993-06-29,9177.63,61,1
O,4-NOT SPECIFIED,0,MACHINERY,0,Clerk#000000551,1995-11-25,9217.55,62,1
F,2-HIGH,1,AUTOMOBILE,2,Clerk#000000088,1994-05-17,3139.71,63,1
O,1-URGENT,3,HOUSEHOLD,7,Clerk#000000109,1997-02-21,-611.19,64,1
O,3-MEDIUM,4,FURNITURE,10,Clerk#000000103,1997-02-10,7618.54,65,1
F,4-NOT SPECIFIED,4,BUILDING,13,Clerk#000000735,1994-01-01,3367.36,66,1
F,1-URGENT,2,AUTOMOBILE,21,Clerk#000000923,1994-03-13,772.14,67,1
F,2-HIGH,4,BUILDING,20,Clerk#000000193,1992-01-13,7476.2,68,1
F,2-HIGH,3,HOUSEHOLD,7,Clerk#000000629,1992-10-02,9305.05,69,1
F,3-MEDIUM,1,HOUSEHOLD,2,Clerk#000000499,1993-07-16,6557.51,70,1
F,2-HIGH,4,AUTOMOBILE,11,Clerk#000000155,1994-09-29,1657.46,71,1
O,2-HIGH,4,MACHINERY,4,Clerk#000000573,1997-11-21,2866.83,72,1
F,3-MEDIUM,0,FURNITURE,0,Clerk#000000289,1993-03-21,2135.92,73,1
F,1-URGENT,0,AUTOMOBILE,16,Clerk#000000158,1992-03-19,1490.21,74,1
F,1-URGENT,1,BUILDING,17,Clerk#000000959,1994-03-26,8492.33,75,1
F,1-URGENT,4,BUILDING,13,Clerk#000000352,1992-03-20,2837.96,76,1
F,5-LOW,3,BUILDING,19,Clerk#000000844,1993-10-17,4146.43,77,1
O,2-HIGH,1,BUILDING,2,Clerk#000000466,1995-06-04,2883.24,78,1
P,5-LOW,1,BUILDING,17,Clerk#000000992,1995-04-17,2718.02,79,1
F,2-HIGH,0,MACHINERY,0,Clerk#000000932,1994-03-08,949.68,80,1
F,5-LOW,2,HOUSEHOLD,18,Clerk#000000449,1993-12-31,8914.71,81,1
O,2-HIGH,2,HOUSEHOLD,8,Clerk#000000511,1996-03-14,1534.38,82,1
F,5-LOW,1,FURNITURE,2,Clerk#000000532,1994-06-14,148.98,83,1
F,4-NOT SPECIFIED,3,FURNITURE,7,Clerk#000000944,1994-06-30,4329.98,84,1
O,2-HIGH,2,HOUSEHOLD,21,Clerk#000000301,1996-10-09,3195.96,85,1
F,2-HIGH,1,HOUSEHOLD,3,Clerk#000000392,1993-09-20,3332.02,86,1
F,5-LOW,3,AUTOMOBILE,22,Clerk#000000206,1992-03-03,4962.12,87,1
O,5-LOW,0,AUTOMOBILE,5,Clerk#000000600,1996-03-22,170.27,51,1
F,2-HIGH,4,BUILDING,13,Clerk#000000648,1995-01-25,8404.9,88,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,15,Clerk#000000768,1997-01-26,8589.7,20,1
