l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,R,TAKE BACK RETURN,0,Manufacturer#2,5-LOW,3,FOB,1,0.01,0,Brand#24,23,JUMBO BOX,47,67,47581.17
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,5-LOW,3,FOB,3,0.05,21,Brand#44,23,LG CASE,44,67,37726.5504
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,5-LOW,3,SHIP,2,0.06,4,Brand#52,23,WRAP PKG,36,67,14202.972
F,F,R,DELIVER IN PERSON,3,Manufacturer#5,1-URGENT,3,SHIP,5,0.08,7,Brand#53,22,MED PACK,1,68,31071.7
F,F,N,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,4,RAIL,1,0,18,Brand#32,13,JUMBO DRUM,33,69,53100.63
F,F,R,TAKE BACK RETURN,4,Manufacturer#4,5-LOW,4,MAIL,5,0.06,4,Brand#43,13,SM BOX,43,69,37639.1736
F,F,A,NONE,2,Manufacturer#5,1-URGENT,4,TRUCK,3,0.01,9,Brand#53,20,SM CAN,36,70,32701.6224
F,F,R,COLLECT COD,0,Manufacturer#3,1-URGENT,4,MAIL,2,0.08,14,Brand#34,20,JUMBO CAN,5,70,33658.576
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,TRUCK,2,0.08,24,Brand#12,12,LG BOX,34,71,64147.8464
F,F,R,NONE,2,Manufacturer#5,5-LOW,2,MAIL,1,0.03,21,Brand#52,12,JUMBO PKG,17,71,50962.912
F,F,R,TAKE BACK RETURN,0,Manufacturer#2,2-HIGH,0,MAIL,4,0.05,0,Brand#21,0,SM JAR,7,72,85658.4729
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,2-HIGH,0,TRUCK,1,0.04,3,Brand#15,0,MED BAG,34,72,52400.0316
F,F,R,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,0,RAIL,3,0.02,16,Brand#32,0,SM CASE,43,72,32089.3755
F,F,A,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,0,MAIL,6,0.08,5,Brand#34,0,LG JAR,22,72,19191.1731
F,F,R,COLLECT COD,3,Manufacturer#5,2-HIGH,0,MAIL,5,0.04,22,Brand#53,0,JUMBO BOX,31,72,5846.6124
F,F,A,DELIVER IN PERSON,0,Manufacturer#4,3-MEDIUM,1,RAIL,2,0,14,Brand#41,24,MED BAG,49,73,15649.12
F,F,R,DELIVER IN PERSON,0,Manufacturer#1,3-MEDIUM,1,FOB,4,0,0,Brand#11,24,WRAP JAR,24,73,60618.69
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,3-MEDIUM,1,AIR,5,0.06,24,Brand#13,24,MED CAN,30,73,13531.2
F,F,A,DELIVER IN PERSON,3,Manufacturer#1,3-MEDIUM,1,SHIP,3,0.07,6,Brand#13,24,WRAP BOX,5,73,56709.11
F,F,R,TAKE BACK RETURN,0,Manufacturer#2,5-LOW,3,REG AIR,1,0.05,16,Brand#22,23,SM PACK,31,74,19694.9368
F,F,A,TAKE BACK RETURN,1,Manufacturer#4,5-LOW,3,MAIL,4,0,17,Brand#44,23,SM BAG,13,74,63060.1536
F,F,R,TAKE BACK RETURN,1,Manufacturer#4,5-LOW,3,REG AIR,2,0.08,1,Brand#43,23,JUMBO CASE,14,74,33734.8152
F,F,A,DELIVER IN PERSON,4,Manufacturer#3,1-URGENT,1,MAIL,1,0.06,20,Brand#32,1,WRAP CAN,10,75,40285.035
F,F,N,TAKE BACK RETURN,3,Manufacturer#3,4-NOT SPECIFIED,3,REG AIR,1,0.04,22,Brand#33,19,SM CAN,48,76,31232.4138
F,F,R,TAKE BACK RETURN,2,Manufacturer#3,4-NOT SPECIFIED,3,MAIL,3,0.07,18,Brand#34,19,MED CASE,22,76,24194.942
F,F,R,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,0,RAIL,1,0.03,1,Brand#14,14,JUMBO BAG,10,77,79571.72
F,F,A,COLLECT COD,3,Manufacturer#1,1-URGENT,0,MAIL,2,0,19,Brand#15,14,LG DRUM,6,77,39928.3612
F,F,R,TAKE BACK RETURN,0,Manufacturer#5,1-URGENT,0,AIR,6,0.06,16,Brand#55,14,WRAP CASE,11,77,9435.195
F,F,A,COLLECT COD,4,Manufacturer#5,1-URGENT,0,TRUCK,3,0.02,20,Brand#53,14,JUMBO CASE,27,77,31399.0848
F,F,A,TAKE BACK RETURN,2,Manufacturer#2,4-NOT SPECIFIED,2,MAIL,1,0.05,18,Brand#21,9,JUMBO CASE,31,78,17482.4496
F,F,R,NONE,0,Manufacturer#2,3-MEDIUM,0,REG AIR,1,0.06,14,Brand#22,5,LG PACK,23,79,28136.315
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,3-MEDIUM,2,AIR,4,0.01,24,Brand#34,21,MED PKG,23,80,78599.0592
F,F,R,DELIVER IN PERSON,0,Manufacturer#1,3-MEDIUM,2,MAIL,6,0.01,16,Brand#13,12,JUMBO BAG,36,81,15362.73
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,3-MEDIUM,2,FOB,5,0.05,18,Brand#52,12,SM DRUM,14,81,26509.9875
F,F,A,TAKE BACK RETURN,4,Manufacturer#5,3-MEDIUM,2,MAIL,2,0.01,4,Brand#52,12,WRAP BOX,1,81,6660
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,2,RAIL,5,0.06,12,Brand#42,12,MED BAG,14,82,7183.56
