l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,cn_regionkey,c_mktsegment,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,A,TAKE BACK RETURN,1,Manufacturer#3,2,HOUSEHOLD,4,0.06,0.04,3,Brand#34,21,JUMBO PACK,32,1,1
F,F,R,NONE,0,Manufacturer#3,1,MACHINERY,5,0.06,0.07,5,Brand#35,2,LG BAG,27,1,0
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,4,MACHINERY,7,0.01,0.07,3,Brand#32,11,JUMBO PKG,38,0,1
F,F,R,DELIVER IN PERSON,2,Manufacturer#5,3,MACHINERY,5,0,0,12,Brand#52,6,LG BAG,38,0,1
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,3,MACHINERY,2,0.07,0.01,8,Brand#45,22,WRAP CASE,50,1,0
F,F,R,DELIVER IN PERSON,0,Manufacturer#4,2,AUTOMOBILE,7,0.01,0.05,16,Brand#42,12,WRAP PKG,24,0,0
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,0,HOUSEHOLD,6,0.03,0.05,20,Brand#25,14,LG CAN,29,1,0
F,F,R,COLLECT COD,2,Manufacturer#1,3,AUTOMOBILE,3,0.06,0.05,18,Brand#12,6,WRAP DRUM,43,0,0
F,F,A,COLLECT COD,0,Manufacturer#4,2,MACHINERY,3,0.04,0.08,15,Brand#43,21,SM JAR,20,1,0
F,F,R,COLLECT COD,4,Manufacturer#3,4,FURNITURE,4,0,0.08,4,Brand#32,13,LG JAR,24,1,1
F,F,A,COLLECT COD,0,Manufacturer#4,2,MACHINERY,4,0.07,0.05,5,Brand#43,9,JUMBO BAG,37,1,1
F,F,R,TAKE BACK RETURN,3,Manufacturer#3,3,HOUSEHOLD,3,0.02,0.03,7,Brand#34,22,SM DRUM,1,0,0
F,F,R,NONE,1,Manufacturer#3,3,FURNITURE,1,0.01,0.07,1,Brand#35,19,LG CASE,24,0,0
F,F,A,COLLECT COD,1,Manufacturer#3,3,AUTOMOBILE,1,0.08,0.09,17,Brand#32,23,LG BAG,41,0,1
F,F,A,TAKE BACK RETURN,2,Manufacturer#1,4,MACHINERY,3,0.01,0.1,8,Brand#11,4,SM PACK,23,1,1
F,F,R,TAKE BACK RETURN,1,Manufacturer#5,0,AUTOMOBILE,7,0.03,0.02,1,Brand#53,14,JUMBO DRUM,46,0,0
F,F,A,COLLECT COD,1,Manufacturer#5,0,MACHINERY,1,0.02,0.08,1,Brand#53,15,WRAP JAR,37,1,0
F,F,R,COLLECT COD,1,Manufacturer#1,3,HOUSEHOLD,6,0.05,0.02,24,Brand#12,23,MED PACK,29,1,1
F,F,R,DELIVER IN PERSON,2,Manufacturer#5,2,FURNITURE,6,0.02,0,18,Brand#54,18,WRAP BAG,15,0,0
F,F,R,NONE,0,Manufacturer#3,4,MACHINERY,4,0,0.07,15,Brand#34,20,SM BAG,40,0,1
F,F,A,NONE,1,Manufacturer#4,0,MACHINERY,2,0.04,0.07,3,Brand#44,0,SM BOX,20,0,0
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,3,MACHINERY,1,0.02,0.07,20,Brand#52,23,MED CAN,15,1,1
F,F,R,NONE,2,Manufacturer#3,0,MACHINERY,1,0.04,0.04,9,Brand#32,16,MED PACK,46,0,1
F,F,R,COLLECT COD,4,Manufacturer#4,0,MACHINERY,4,0.04,0.01,20,Brand#45,16,WRAP DRUM,7,0,1
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,3,MACHINERY,1,0.08,0.04,4,Brand#24,23,WRAP BOX,45,1,0
F,F,A,COLLECT COD,0,Manufacturer#4,1,MACHINERY,1,0.06,0.1,15,Brand#42,1,MED CAN,8,1,0
