o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,groupcol,aggcol
F,1-URGENT,3,MACHINERY,6,Clerk#000000962,1994-01-04,9120.93,619,1
O,4-NOT SPECIFIED,1,FURNITURE,1,Clerk#000000557,1997-12-28,3106,413,1
O,5-LOW,4,HOUSEHOLD,4,Clerk#000000384,1997-01-13,1735.44,611,1
O,5-LOW,2,AUTOMOBILE,18,Clerk#000000346,1997-10-27,4967.24,471,1
O,3-MEDIUM,4,HOUSEHOLD,10,Clerk#000000011,1997-07-29,270.95,638,1
O,5-LOW,3,MACHINERY,6,Clerk#000000750,1996-05-08,1490.35,247,1
F,5-LOW,4,BUILDING,20,Clerk#000000935,1993-10-16,7621.56,898,1
O,3-MEDIUM,3,MACHINERY,7,Clerk#000000326,1995-06-14,595.61,34,1
O,2-HIGH,0,HOUSEHOLD,14,Clerk#000000513,1996-01-02,6693.36,91,1
F,3-MEDIUM,0,HOUSEHOLD,14,Clerk#000000782,1993-06-20,4293.76,297,1
F,4-NOT SPECIFIED,1,AUTOMOBILE,3,Clerk#000000854,1992-03-21,754.41,367,1
O,1-URGENT,4,FURNITURE,4,Clerk#000000546,1998-03-08,2688.88,427,1
F,1-URGENT,1,FURNITURE,24,Clerk#000000630,1994-02-02,-723.49,291,1
F,4-NOT SPECIFIED,4,MACHINERY,4,Clerk#000000265,1992-09-02,9963.15,836,1
F,5-LOW,0,AUTOMOBILE,16,Clerk#000000657,1993-04-17,6503.35,894,1
O,1-URGENT,1,FURNITURE,2,Clerk#000000064,1997-07-27,8605.53,574,1
O,2-HIGH,3,MACHINERY,19,Clerk#000000151,1995-12-18,1422.57,833,1
O,1-URGENT,1,MACHINERY,3,Clerk#000000788,1996-12-13,6821.01,438,1
F,4-NOT SPECIFIED,1,FURNITURE,1,Clerk#000000842,1994-01-09,1162.03,449,1
O,2-HIGH,1,HOUSEHOLD,17,Clerk#000000009,1997-10-20,204.84,200,1
O,2-HIGH,3,FURNITURE,23,Clerk#000000602,1996-07-01,9153.84,767,1
F,2-HIGH,3,AUTOMOBILE,7,Clerk#000000020,1993-09-20,4450.03,342,1
F,2-HIGH,0,AUTOMOBILE,0,Clerk#000000582,1993-02-23,138.31,202,1
F,5-LOW,2,HOUSEHOLD,8,Clerk#000000894,1992-02-01,7508.92,764,1
F,5-LOW,0,BUILDING,14,Clerk#000000638,1993-08-17,-52.35,639,1
O,2-HIGH,1,BUILDING,2,Clerk#000000577,1997-12-27,6738.93,6,1
O,5-LOW,1,FURNITURE,17,Clerk#000000037,1998-04-05,4954.25,632,1
F,3-MEDIUM,3,BUILDING,23,Clerk#000000067,1993-06-13,2894.22,254,1
F,5-LOW,0,HOUSEHOLD,14,Clerk#000000832,1993-03-15,1799.67,720,1
O,1-URGENT,4,HOUSEHOLD,11,Clerk#000000724,1998-06-11,4801.3,822,1
O,5-LOW,0,HOUSEHOLD,5,Clerk#000000538,1995-08-07,5950.86,867,1
O,2-HIGH,4,FURNITURE,4,Clerk#000000622,1998-04-10,774.23,288,1
F,4-NOT SPECIFIED,2,HOUSEHOLD,12,Clerk#000000975,1992-06-18,938.35,292,1
O,3-MEDIUM,4,AUTOMOBILE,10,Clerk#000000807,1997-06-07,1915.53,649,1
F,3-MEDIUM,1,AUTOMOBILE,3,Clerk#000000474,1993-12-13,2457.09,774,1
F,1-URGENT,1,BUILDING,1,Clerk#000000169,1993-10-05,4455.76,814,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,15,Clerk#000000555,1995-01-30,1965.38,754,1
F,5-LOW,2,AUTOMOBILE,21,Clerk#000000037,1994-04-20,7894,697,1
F,1-URGENT,4,BUILDING,20,Clerk#000000998,1992-10-25,7621.56,898,1
F,2-HIGH,0,AUTOMOBILE,5,Clerk#000000136,1992-11-23,1468.09,37,1
O,2-HIGH,3,MACHINERY,6,Clerk#000000910,1997-10-31,9103.33,261,1
O,3-MEDIUM,4,BUILDING,4,Clerk#000000774,1997-01-06,-405.91,556,1
O,4-NOT SPECIFIED,4,FURNITURE,13,Clerk#000000519,1996-07-15,909.84,840,1
F,3-MEDIUM,0,BUILDING,0,Clerk#000000139,1995-01-09,1377.52,715,1
O,5-LOW,1,BUILDING,2,Clerk#000000454,1997-06-10,5973.1,707,1
F,5-LOW,2,BUILDING,21,Clerk#000000063,1992-07-17,3812.84,394,1
F,2-HIGH,4,BUILDING,4,Clerk#000000920,1994-10-31,-258.77,734,1
O,2-HIGH,1,BUILDING,17,Clerk#000000021,1998-03-01,7647.09,341,1
F,3-MEDIUM,3,BUILDING,22,Clerk#000000901,1993-06-08,-881.7,829,1
O,2-HIGH,2,BUILDING,12,Clerk#000000769,1997-11-10,2584.52,990,1
F,5-LOW,4,AUTOMOBILE,10,Clerk#000000732,1993-04-16,212.16,286,1
F,5-LOW,3,HOUSEHOLD,7,Clerk#000000341,1994-10-05,-611.19,64,1
F,3-MEDIUM,0,BUILDING,15,Clerk#000000034,1994-02-27,9768.73,811,1
O,5-LOW,4,FURNITURE,20,Clerk#000000911,1998-03-17,5570.69,970,1
O,5-LOW,4,BUILDING,13,Clerk#000000100,1997-08-24,4198.72,22,1
O,2-HIGH,1,BUILDING,17,Clerk#000000817,1998-04-21,6819.74,27,1
F,1-URGENT,4,FURNITURE,11,Clerk#000000295,1993-05-06,3969.86,952,1
O,2-HIGH,1,AUTOMOBILE,2,Clerk#000000733,1996-07-23,4718.23,795,1
O,4-NOT SPECIFIED,0,BUILDING,16,Clerk#000000647,1997-12-17,4677.55,491,1
O,1-URGENT,2,FURNITURE,9,Clerk#000000976,1996-10-21,8328.12,462,1
O,4-NOT SPECIFIED,2,FURNITURE,12,Clerk#000000379,1998-05-02,8982.79,0,1
O,2-HIGH,2,HOUSEHOLD,8,Clerk#000000571,1996-06-29,6359.27,164,1
O,4-NOT SPECIFIED,0,AUTOMOBILE,16,Clerk#000000157,1997-01-21,4231.45,596,1
O,1-URGENT,0,BUILDING,5,Clerk#000000943,1997-10-03,7889.64,960,1
O,3-MEDIUM,1,HOUSEHOLD,2,Clerk#000000892,1997-10-10,6074.42,445,1
O,5-LOW,1,MACHINERY,17,Clerk#000000057,1995-08-27,6679.2,890,1
O,1-URGENT,3,MACHINERY,23,Clerk#000000077,1998-01-10,459.22,189,1
O,1-URGENT,2,AUTOMOBILE,21,Clerk#000000852,1995-12-08,2226.8,883,1
O,1-URGENT,1,HOUSEHOLD,1,Clerk#000000731,1995-06-15,705.93,523,1
F,5-LOW,4,BUILDING,10,Clerk#000000382,1992-04-17,6368.38,651,1
