o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
O,NONE,0,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,4,0.01,1998-01-24,1998-03-20,1998-04-12,1998-04-15,0,61642.68
O,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,2,0.07,1998-01-24,1998-04-03,1998-05-23,1998-06-02,0,4260.6018
O,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,1,0.07,1998-01-24,1998-04-22,1998-04-10,1998-04-11,0,34594.105
O,DELIVER IN PERSON,0,Manufacturer#4,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,3,0.07,1998-01-24,1998-03-20,1998-02-23,1998-03-24,0,56040.3
O,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,TRUCK,6,0.01,1998-01-24,1998-04-22,1998-03-05,1998-03-30,0,60676.128
O,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,0,HOUSEHOLD,RAIL,5,0.06,1998-01-24,1998-04-07,1998-01-29,1998-02-18,0,33512.9964
O,NONE,2,Manufacturer#5,2-HIGH,1,BUILDING,RAIL,3,0.01,1997-05-09,1997-07-24,1997-07-31,1997-08-17,0,42714.045
O,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,1,BUILDING,SHIP,2,0.08,1997-05-09,1997-07-28,1997-08-09,1997-08-26,0,52592.8762
O,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,BUILDING,SHIP,4,0.07,1997-05-09,1997-07-13,1997-06-02,1997-06-04,0,21100.9095
O,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,1,BUILDING,SHIP,1,0,1997-05-09,1997-08-02,1997-07-24,1997-08-07,0,62287.1542
F,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,3,BUILDING,REG AIR,2,0.02,1992-11-19,1992-12-25,1992-11-25,1992-12-09,1,62507.214
F,COLLECT COD,1,Manufacturer#3,5-LOW,3,BUILDING,TRUCK,1,0.02,1992-11-19,1993-01-24,1993-02-15,1993-03-05,2,39316.1264
F,COLLECT COD,0,Manufacturer#3,5-LOW,3,BUILDING,SHIP,3,0.06,1992-11-19,1993-02-14,1993-01-08,1993-01-29,1,41037.9552
F,COLLECT COD,2,Manufacturer#1,5-LOW,3,BUILDING,SHIP,6,0.01,1992-11-19,1993-01-31,1993-02-15,1993-02-24,2,34572.2036
F,DELIVER IN PERSON,4,Manufacturer#2,5-LOW,3,BUILDING,FOB,7,0.04,1992-11-19,1993-01-08,1993-01-26,1993-02-24,2,1508.296
F,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,3,BUILDING,FOB,5,0,1992-11-19,1993-01-02,1992-12-07,1992-12-11,1,27394.8336
F,COLLECT COD,1,Manufacturer#2,5-LOW,3,BUILDING,MAIL,4,0.01,1992-11-19,1993-02-14,1993-01-29,1993-02-10,2,42613.9
F,COLLECT COD,2,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,REG AIR,3,0.03,1994-06-08,1994-08-30,1994-09-20,1994-09-23,1,6884.6976
F,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,FOB,1,0.02,1994-06-08,1994-09-02,1994-09-14,1994-10-04,2,63895.635
F,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,SHIP,2,0.04,1994-06-08,1994-08-10,1994-09-17,1994-09-21,1,65828.56
F,COLLECT COD,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,MAIL,3,0.01,1993-09-20,1993-11-04,1993-12-05,1994-01-01,1,57864.352
F,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,HOUSEHOLD,RAIL,6,0.05,1993-09-20,1993-11-06,1993-12-21,1994-01-17,2,47013.4944
F,NONE,1,Manufacturer#4,2-HIGH,1,HOUSEHOLD,TRUCK,1,0.01,1993-09-20,1993-11-14,1993-11-18,1993-11-28,1,69483.766
F,NONE,0,Manufacturer#1,2-HIGH,1,HOUSEHOLD,TRUCK,2,0.08,1993-09-20,1993-12-12,1993-10-18,1993-10-31,1,54777.76
F,NONE,4,Manufacturer#5,2-HIGH,1,HOUSEHOLD,REG AIR,7,0.02,1993-09-20,1993-10-29,1993-12-08,1993-12-30,1,73992.9825
F,COLLECT COD,4,Manufacturer#1,2-HIGH,1,HOUSEHOLD,SHIP,5,0.02,1993-09-20,1993-11-01,1993-10-07,1993-10-26,2,21157.3296
F,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,1,HOUSEHOLD,MAIL,4,0.08,1993-09-20,1993-12-17,1993-10-04,1993-10-23,1,25764.048
F,DELIVER IN PERSON,4,Manufacturer#1,3-MEDIUM,2,MACHINERY,FOB,1,0.05,1994-06-01,1994-08-23,1994-08-24,1994-08-27,2,32362.7535
F,COLLECT COD,4,Manufacturer#2,2-HIGH,1,BUILDING,RAIL,6,0.08,1994-12-03,1995-02-08,1995-03-02,1995-03-03,1,20044.746
F,COLLECT COD,2,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,7,0.03,1994-12-03,1995-01-04,1994-12-25,1995-01-15,1,10225.1871
F,NONE,0,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,4,0.03,1994-12-03,1995-01-06,1995-01-24,1995-02-17,2,86394.4725
F,COLLECT COD,0,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,3,0.01,1994-12-03,1995-02-21,1995-01-04,1995-01-21,1,65978.766
F,TAKE BACK RETURN,4,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,5,0.02,1994-12-03,1995-02-27,1995-02-12,1995-03-06,1,38319.7768
F,COLLECT COD,2,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,2,0.05,1994-12-03,1995-02-15,1995-02-16,1995-02-25,2,69791.3199
F,NONE,4,Manufacturer#5,2-HIGH,1,BUILDING,TRUCK,1,0.02,1994-12-03,1995-02-21,1994-12-09,1995-01-03,1,48958.9353
O,COLLECT COD,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,RAIL,7,0.04,1996-08-20,1996-09-29,1996-09-06,1996-10-01,0,45132.9516
O,NONE,0,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,TRUCK,5,0.05,1996-08-20,1996-10-30,1996-11-28,1996-12-12,0,60326.0228
O,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,1,AUTOMOBILE,REG AIR,4,0,1996-08-20,1996-09-23,1996-10-02,1996-10-14,0,38136.492
O,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,SHIP,2,0.04,1996-08-20,1996-10-03,1996-11-13,1996-11-25,0,2158.34
O,NONE,2,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,1,0.08,1996-08-20,1996-10-27,1996-09-25,1996-10-20,0,68222.427
O,TAKE BACK RETURN,3,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,AIR,6,0.06,1996-08-20,1996-11-03,1996-09-22,1996-10-22,0,39400.857
O,NONE,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,MAIL,3,0.05,1996-08-20,1996-11-03,1996-09-22,1996-10-13,0,27073.692
O,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,1,HOUSEHOLD,SHIP,1,0.03,1995-12-04,1996-01-07,1995-12-06,1995-12-14,0,77935.2056
O,NONE,2,Manufacturer#3,1-URGENT,1,HOUSEHOLD,REG AIR,5,0.07,1995-12-04,1996-01-16,1996-02-29,1996-03-06,0,66616.9504
O,COLLECT COD,0,Manufacturer#2,1-URGENT,1,HOUSEHOLD,FOB,2,0.06,1995-12-04,1996-01-14,1996-02-13,1996-03-04,0,2865.132
O,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,SHIP,6,0.03,1995-12-04,1996-02-10,1995-12-11,1995-12-14,0,2046.3534
O,COLLECT COD,4,Manufacturer#3,1-URGENT,1,HOUSEHOLD,FOB,3,0.07,1995-12-04,1996-01-03,1996-03-16,1996-03-22,0,45997.2604
O,COLLECT COD,2,Manufacturer#3,1-URGENT,1,HOUSEHOLD,RAIL,4,0.02,1995-12-04,1996-01-15,1996-01-24,1996-02-13,0,8401.2
F,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,4,BUILDING,FOB,3,0.07,1994-02-13,1994-04-26,1994-02-28,1994-03-20,1,12941.3655
F,COLLECT COD,0,Manufacturer#2,3-MEDIUM,4,BUILDING,MAIL,1,0.04,1994-02-13,1994-04-05,1994-04-26,1994-04-29,2,1379.0688
F,COLLECT COD,0,Manufacturer#1,3-MEDIUM,4,BUILDING,TRUCK,2,0.05,1994-02-13,1994-04-21,1994-04-05,1994-05-01,1,36825.971
F,DELIVER IN PERSON,2,Manufacturer#5,3-MEDIUM,0,AUTOMOBILE,TRUCK,1,0.07,1993-11-16,1993-12-25,1994-02-19,1994-02-25,1,8664.6336
F,NONE,0,Manufacturer#5,1-URGENT,3,AUTOMOBILE,TRUCK,1,0.06,1995-02-11,1995-04-01,1995-02-18,1995-03-20,2,39470.1792
F,NONE,3,Manufacturer#5,3-MEDIUM,3,MACHINERY,TRUCK,2,0.04,1992-11-20,1993-01-13,1992-12-22,1993-01-01,1,17551.665
F,TAKE BACK RETURN,4,Manufacturer#3,3-MEDIUM,3,MACHINERY,RAIL,1,0.04,1992-11-20,1993-02-09,1992-12-10,1992-12-29,2,48226.1967
F,NONE,0,Manufacturer#3,3-MEDIUM,3,MACHINERY,TRUCK,3,0.06,1992-11-20,1992-12-31,1993-03-05,1993-03-12,2,61594.736
O,COLLECT COD,0,Manufacturer#3,1-URGENT,3,MACHINERY,REG AIR,1,0.03,1996-08-29,1996-11-07,1996-10-15,1996-11-06,0,35813.025
O,DELIVER IN PERSON,1,Manufacturer#4,1-URGENT,3,MACHINERY,RAIL,5,0.08,1996-08-29,1996-10-09,1996-09-11,1996-09-25,0,33719.3825
O,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,3,MACHINERY,TRUCK,4,0.03,1996-08-29,1996-10-03,1996-12-12,1996-12-15,0,31874.634
O,COLLECT COD,3,Manufacturer#2,1-URGENT,3,MACHINERY,REG AIR,3,0.06,1996-08-29,1996-11-03,1996-09-06,1996-09-10,0,3503.4336
O,COLLECT COD,0,Manufacturer#1,1-URGENT,3,MACHINERY,SHIP,2,0.02,1996-08-29,1996-11-14,1996-12-10,1997-01-07,0,53445.3876
F,TAKE BACK RETURN,0,Manufacturer#3,3-MEDIUM,2,BUILDING,MAIL,3,0.08,1993-02-05,1993-03-20,1993-02-13,1993-02-22,2,24870.2636
F,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,2,BUILDING,RAIL,1,0.02,1993-02-05,1993-03-14,1993-02-12,1993-03-12,1,17621.7132
F,TAKE BACK RETURN,0,Manufacturer#1,3-MEDIUM,2,BUILDING,REG AIR,2,0.01,1993-02-05,1993-03-27,1993-05-05,1993-05-18,1,16433.9232
O,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,1,AUTOMOBILE,REG AIR,2,0.08,1997-08-04,1997-10-10,1997-10-22,1997-11-10,0,27272.7
O,COLLECT COD,2,Manufacturer#1,5-LOW,1,AUTOMOBILE,REG AIR,1,0.01,1997-08-04,1997-09-12,1997-09-07,1997-10-01,0,20660.562
O,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,1,AUTOMOBILE,SHIP,5,0.05,1997-08-04,1997-10-24,1997-08-05,1997-08-07,0,41712.866
