l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,cn_regionkey,c_mktsegment,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,A,NONE,3,Manufacturer#5,1,BUILDING,1,0.07,0.07,22,Brand#54,1,WRAP CAN,12,1,0
F,F,R,DELIVER IN PERSON,0,Manufacturer#2,1,HOUSEHOLD,4,0,0.1,16,Brand#21,2,WRAP BAG,37,1,1
F,F,R,DELIVER IN PERSON,3,Manufacturer#5,4,AUTOMOBILE,7,0.01,0,23,Brand#54,10,JUMBO PACK,7,0,0
F,F,A,DELIVER IN PERSON,0,Manufacturer#4,4,AUTOMOBILE,4,0.07,0.1,5,Brand#42,10,JUMBO JAR,46,0,0
F,F,A,COLLECT COD,2,Manufacturer#1,3,BUILDING,4,0.03,0.05,12,Brand#14,23,MED BAG,30,0,1
F,F,R,COLLECT COD,1,Manufacturer#2,0,AUTOMOBILE,4,0.04,0,2,Brand#24,0,WRAP CASE,26,1,1
F,F,R,DELIVER IN PERSON,3,Manufacturer#3,0,AUTOMOBILE,2,0.04,0.05,19,Brand#32,16,WRAP DRUM,12,1,1
F,F,R,DELIVER IN PERSON,2,Manufacturer#2,4,AUTOMOBILE,1,0.01,0.08,8,Brand#23,10,WRAP PACK,41,1,1
F,F,R,TAKE BACK RETURN,0,Manufacturer#2,4,FURNITURE,2,0.05,0.08,14,Brand#21,10,JUMBO BOX,21,1,1
F,F,R,TAKE BACK RETURN,3,Manufacturer#5,1,FURNITURE,3,0.01,0.1,6,Brand#51,1,JUMBO DRUM,19,0,1
F,F,A,DELIVER IN PERSON,2,Manufacturer#3,1,FURNITURE,1,0.03,0,12,Brand#35,1,LG PKG,6,0,1
F,F,R,COLLECT COD,2,Manufacturer#3,0,BUILDING,6,0.03,0.07,8,Brand#32,14,JUMBO CASE,40,0,1
F,F,R,TAKE BACK RETURN,0,Manufacturer#5,0,FURNITURE,3,0.03,0.09,0,Brand#52,0,SM CAN,34,0,0
F,F,R,DELIVER IN PERSON,1,Manufacturer#5,1,BUILDING,3,0.06,0.07,2,Brand#51,2,SM CAN,7,1,1
F,F,R,TAKE BACK RETURN,1,Manufacturer#1,0,BUILDING,2,0.06,0.05,24,Brand#12,0,WRAP PKG,39,1,1
F,F,A,DELIVER IN PERSON,3,Manufacturer#5,3,MACHINERY,3,0.05,0.09,22,Brand#51,19,SM PACK,33,1,1
F,F,R,NONE,2,Manufacturer#5,0,FURNITURE,1,0.04,0,21,Brand#52,14,JUMBO CAN,43,0,1
F,F,A,NONE,3,Manufacturer#5,2,HOUSEHOLD,2,0.08,0,6,Brand#53,9,SM DRUM,11,1,1
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,2,FURNITURE,3,0.07,0.01,17,Brand#15,21,MED CASE,17,0,1
F,F,A,NONE,2,Manufacturer#1,2,FURNITURE,4,0.07,0.02,8,Brand#14,21,WRAP CASE,49,1,1
F,F,A,TAKE BACK RETURN,2,Manufacturer#2,4,BUILDING,3,0.04,0,21,Brand#24,11,JUMBO PACK,48,1,1
F,F,R,TAKE BACK RETURN,2,Manufacturer#2,3,FURNITURE,4,0.05,0.08,9,Brand#21,7,JUMBO PKG,11,0,1
F,F,R,NONE,2,Manufacturer#4,0,BUILDING,5,0.05,0.09,21,Brand#44,14,WRAP BAG,38,1,0
F,F,A,COLLECT COD,3,Manufacturer#1,0,MACHINERY,2,0.03,0.01,22,Brand#15,16,LG CASE,45,0,1
F,F,A,DELIVER IN PERSON,2,Manufacturer#2,4,HOUSEHOLD,5,0.07,0.03,18,Brand#22,20,MED CASE,42,1,1
F,F,A,COLLECT COD,1,Manufacturer#1,0,BUILDING,1,0.02,0.09,17,Brand#11,14,SM BAG,45,0,0
F,F,A,NONE,0,Manufacturer#4,3,HOUSEHOLD,1,0,0.04,16,Brand#42,23,SM CAN,7,0,0
F,F,R,NONE,2,Manufacturer#2,3,BUILDING,1,0,0,12,Brand#24,6,MED PKG,4,0,0
F,F,A,TAKE BACK RETURN,2,Manufacturer#3,1,MACHINERY,1,0.05,0.08,12,Brand#34,3,MED CASE,43,1,0
F,F,R,NONE,3,Manufacturer#3,4,HOUSEHOLD,7,0.05,0.1,7,Brand#32,13,JUMBO DRUM,44,0,0
F,F,A,NONE,3,Manufacturer#5,0,MACHINERY,4,0.06,0.06,6,Brand#54,16,JUMBO PKG,6,1,1
