o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
O,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,0,HOUSEHOLD,FOB,3,0.06,1996-01-02,1996-03-02,1996-03-20,1996-04-11,0,49583.43
O,COLLECT COD,0,Manufacturer#1,2-HIGH,0,HOUSEHOLD,TRUCK,4,0.08,1996-01-02,1996-03-15,1996-03-03,1996-03-30,0,43859.16
O,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,0,HOUSEHOLD,MAIL,1,0.04,1996-01-02,1996-03-23,1996-05-02,1996-05-28,0,24586.4
O,NONE,0,Manufacturer#1,2-HIGH,0,HOUSEHOLD,TRUCK,2,0.07,1996-01-02,1996-02-09,1996-01-08,1996-02-04,0,4711.98
F,COLLECT COD,4,Manufacturer#5,5-LOW,2,AUTOMOBILE,TRUCK,2,0,1994-04-20,1994-06-24,1994-04-28,1994-05-17,2,11916.64
F,NONE,1,Manufacturer#4,5-LOW,2,AUTOMOBILE,FOB,5,0.03,1994-04-20,1994-06-23,1994-07-06,1994-07-31,1,13094
F,NONE,0,Manufacturer#5,5-LOW,2,AUTOMOBILE,REG AIR,3,0.02,1994-04-20,1994-06-08,1994-05-09,1994-06-07,2,4522.8
F,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,AUTOMOBILE,FOB,1,0.01,1994-04-20,1994-07-04,1994-08-04,1994-08-18,1,82571.95
F,NONE,3,Manufacturer#2,5-LOW,2,AUTOMOBILE,AIR,4,0.05,1994-04-20,1994-07-02,1994-07-27,1994-08-07,2,7576.32
F,NONE,1,Manufacturer#5,2-HIGH,0,AUTOMOBILE,MAIL,1,0.03,1992-11-23,1993-01-04,1992-11-25,1992-11-30,1,86527.14
F,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,4,FURNITURE,MAIL,3,0.04,1993-05-06,1993-06-20,1993-08-22,1993-09-05,2,7235.6
F,DELIVER IN PERSON,3,Manufacturer#3,1-URGENT,4,FURNITURE,TRUCK,6,0.07,1993-05-06,1993-06-08,1993-05-08,1993-05-22,1,67187.44
F,NONE,2,Manufacturer#5,1-URGENT,4,FURNITURE,REG AIR,4,0.04,1993-05-06,1993-06-28,1993-07-12,1993-07-30,2,9144.99
F,NONE,0,Manufacturer#3,1-URGENT,4,FURNITURE,SHIP,1,0.02,1993-05-06,1993-08-03,1993-05-22,1993-06-03,1,10527.55
F,NONE,2,Manufacturer#3,1-URGENT,4,FURNITURE,TRUCK,5,0.08,1993-05-06,1993-07-24,1993-06-09,1993-07-05,1,38628.7
F,COLLECT COD,1,Manufacturer#2,1-URGENT,4,FURNITURE,REG AIR,2,0.06,1993-05-06,1993-06-11,1993-05-19,1993-05-23,2,27225.64
F,NONE,2,Manufacturer#4,1-URGENT,4,FURNITURE,MAIL,7,0.04,1993-05-06,1993-07-28,1993-06-05,1993-06-08,1,28013.44
F,COLLECT COD,0,Manufacturer#5,5-LOW,4,BUILDING,RAIL,2,0.04,1992-04-17,1992-07-11,1992-07-27,1992-08-16,2,55113.97
F,NONE,3,Manufacturer#2,5-LOW,4,BUILDING,FOB,1,0.04,1992-04-17,1992-05-24,1992-04-21,1992-05-09,1,41583.36
F,COLLECT COD,1,Manufacturer#3,5-LOW,4,BUILDING,FOB,3,0,1992-04-17,1992-05-19,1992-07-01,1992-07-15,2,40948.47
F,DELIVER IN PERSON,4,Manufacturer#5,3-MEDIUM,4,AUTOMOBILE,MAIL,1,0.07,1992-10-19,1992-11-20,1993-02-08,1993-03-06,1,25962.45
F,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,1,HOUSEHOLD,TRUCK,1,0,1994-06-19,1994-08-29,1994-07-03,1994-07-05,1,58442.58
F,COLLECT COD,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,FOB,2,0.07,1994-06-19,1994-07-20,1994-09-14,1994-09-29,2,74291.96
F,DELIVER IN PERSON,0,Manufacturer#1,1-URGENT,1,HOUSEHOLD,FOB,4,0.03,1994-06-19,1994-08-31,1994-06-26,1994-07-08,2,33384.12
F,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,SHIP,3,0,1994-06-19,1994-08-15,1994-09-17,1994-10-16,1,53377.2
F,NONE,3,Manufacturer#2,5-LOW,0,BUILDING,TRUCK,2,0.03,1992-07-08,1992-08-22,1992-09-15,1992-10-02,1,47548.66
F,TAKE BACK RETURN,4,Manufacturer#3,5-LOW,0,BUILDING,SHIP,4,0.08,1992-07-08,1992-08-28,1992-08-08,1992-08-26,1,39596.29
F,COLLECT COD,3,Manufacturer#4,5-LOW,0,BUILDING,SHIP,3,0.04,1992-07-08,1992-09-15,1992-08-31,1992-09-27,2,20643.27
F,COLLECT COD,4,Manufacturer#4,5-LOW,0,BUILDING,TRUCK,1,0.08,1992-07-08,1992-09-21,1992-08-10,1992-09-01,1,5658.24
F,DELIVER IN PERSON,0,Manufacturer#1,5-LOW,0,BUILDING,FOB,5,0.06,1992-07-08,1992-08-08,1992-09-12,1992-09-27,2,34588.62
F,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,SHIP,5,0,1992-12-26,1993-02-04,1993-01-25,1993-02-18,1,1050.15
F,DELIVER IN PERSON,2,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,4,0.05,1992-12-26,1993-02-01,1993-02-08,1993-03-03,2,13650.98
F,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,1,0.08,1992-12-26,1993-02-16,1993-02-02,1993-02-16,1,23783.06
F,TAKE BACK RETURN,2,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,REG AIR,2,0.02,1992-12-26,1993-02-14,1993-02-12,1993-02-15,2,28416.06
F,NONE,4,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,FOB,3,0.04,1992-12-26,1993-03-03,1993-02-27,1993-03-07,1,1667.76
F,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,1,AUTOMOBILE,FOB,7,0.02,1993-02-09,1993-04-20,1993-03-29,1993-04-21,1,25787.6
