o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
O,NONE,0,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,4,0.01,1998-01-24,1998-03-20,1998-04-12,1998-04-15,0,61642.68
O,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,2,0.07,1998-01-24,1998-04-03,1998-05-23,1998-06-02,0,4681.98
O,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,1,0.07,1998-01-24,1998-04-22,1998-04-10,1998-04-11,0,38015.5
O,DELIVER IN PERSON,0,Manufacturer#4,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,3,0.07,1998-01-24,1998-03-20,1998-02-23,1998-03-24,0,56040.3
O,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,TRUCK,6,0.01,1998-01-24,1998-04-22,1998-03-05,1998-03-30,0,63204.3
O,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,0,HOUSEHOLD,RAIL,5,0.06,1998-01-24,1998-04-07,1998-01-29,1998-02-18,0,36427.17
O,NONE,2,Manufacturer#5,2-HIGH,1,BUILDING,RAIL,3,0.01,1997-05-09,1997-07-24,1997-07-31,1997-08-17,0,43145.5
O,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,1,BUILDING,SHIP,2,0.08,1997-05-09,1997-07-28,1997-08-09,1997-08-26,0,54219.46
O,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,BUILDING,SHIP,4,0.07,1997-05-09,1997-07-13,1997-06-02,1997-06-04,0,22689.15
O,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,1,BUILDING,SHIP,1,0,1997-05-09,1997-08-02,1997-07-24,1997-08-07,0,66262.93
F,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,3,BUILDING,REG AIR,2,0.02,1992-11-19,1992-12-25,1992-11-25,1992-12-09,1,63138.6
F,COLLECT COD,1,Manufacturer#3,5-LOW,3,BUILDING,TRUCK,1,0.02,1992-11-19,1993-01-24,1993-02-15,1993-03-05,2,42734.92
F,COLLECT COD,0,Manufacturer#3,5-LOW,3,BUILDING,SHIP,3,0.06,1992-11-19,1993-02-14,1993-01-08,1993-01-29,1,42747.87
F,COLLECT COD,2,Manufacturer#1,5-LOW,3,BUILDING,SHIP,6,0.01,1992-11-19,1993-01-31,1993-02-15,1993-02-24,2,36778.94
F,DELIVER IN PERSON,4,Manufacturer#2,5-LOW,3,BUILDING,FOB,7,0.04,1992-11-19,1993-01-08,1993-01-26,1993-02-24,2,1587.68
F,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,3,BUILDING,FOB,5,0,1992-11-19,1993-01-02,1992-12-07,1992-12-11,1,29143.44
F,COLLECT COD,1,Manufacturer#2,5-LOW,3,BUILDING,MAIL,4,0.01,1992-11-19,1993-02-14,1993-01-29,1993-02-10,2,42613.9
F,COLLECT COD,2,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,REG AIR,3,0.03,1994-06-08,1994-08-30,1994-09-20,1994-09-23,1,7171.56
F,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,FOB,1,0.02,1994-06-08,1994-09-02,1994-09-14,1994-10-04,2,70995.15
F,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,SHIP,2,0.04,1994-06-08,1994-08-10,1994-09-17,1994-09-21,1,67172
F,COLLECT COD,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,MAIL,3,0.01,1993-09-20,1993-11-04,1993-12-05,1994-01-01,1,63587.2
F,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,HOUSEHOLD,RAIL,6,0.05,1993-09-20,1993-11-06,1993-12-21,1994-01-17,2,48467.52
F,NONE,1,Manufacturer#4,2-HIGH,1,HOUSEHOLD,TRUCK,1,0.01,1993-09-20,1993-11-14,1993-11-18,1993-11-28,1,73918.9
F,NONE,0,Manufacturer#1,2-HIGH,1,HOUSEHOLD,TRUCK,2,0.08,1993-09-20,1993-12-12,1993-10-18,1993-10-31,1,57660.8
F,NONE,4,Manufacturer#5,2-HIGH,1,HOUSEHOLD,REG AIR,7,0.02,1993-09-20,1993-10-29,1993-12-08,1993-12-30,1,77887.35
F,COLLECT COD,4,Manufacturer#1,2-HIGH,1,HOUSEHOLD,SHIP,5,0.02,1993-09-20,1993-11-01,1993-10-07,1993-10-26,2,21371.04
F,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,1,HOUSEHOLD,MAIL,4,0.08,1993-09-20,1993-12-17,1993-10-04,1993-10-23,1,28004.4
F,DELIVER IN PERSON,4,Manufacturer#1,3-MEDIUM,2,MACHINERY,FOB,1,0.05,1994-06-01,1994-08-23,1994-08-24,1994-08-27,2,32689.65
F,COLLECT COD,4,Manufacturer#2,2-HIGH,1,BUILDING,RAIL,6,0.08,1994-12-03,1995-02-08,1995-03-02,1995-03-03,1,22271.94
F,COLLECT COD,2,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,7,0.03,1994-12-03,1995-01-04,1994-12-25,1995-01-15,1,10541.43
F,NONE,0,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,4,0.03,1994-12-03,1995-01-06,1995-01-24,1995-02-17,2,90941.55
