o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
O,NONE,0,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,4,0.01,1998-01-24,1998-03-20,1998-04-12,1998-04-15,0,1
O,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,2,0.07,1998-01-24,1998-04-03,1998-05-23,1998-06-02,0,1
O,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,1,0.07,1998-01-24,1998-04-22,1998-04-10,1998-04-11,0,1
O,DELIVER IN PERSON,0,Manufacturer#4,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,3,0.07,1998-01-24,1998-03-20,1998-02-23,1998-03-24,0,1
O,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,0,HOUSEHOLD,TRUCK,6,0.01,1998-01-24,1998-04-22,1998-03-05,1998-03-30,0,1
O,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,0,HOUSEHOLD,RAIL,5,0.06,1998-01-24,1998-04-07,1998-01-29,1998-02-18,0,1
O,NONE,2,Manufacturer#5,2-HIGH,1,BUILDING,RAIL,3,0.01,1997-05-09,1997-07-24,1997-07-31,1997-08-17,0,1
O,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,1,BUILDING,SHIP,2,0.08,1997-05-09,1997-07-28,1997-08-09,1997-08-26,0,1
O,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,BUILDING,SHIP,4,0.07,1997-05-09,1997-07-13,1997-06-02,1997-06-04,0,1
O,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,1,BUILDING,SHIP,1,0,1997-05-09,1997-08-02,1997-07-24,1997-08-07,0,1
F,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,3,BUILDING,REG AIR,2,0.02,1992-11-19,1992-12-25,1992-11-25,1992-12-09,1,1
F,COLLECT COD,1,Manufacturer#3,5-LOW,3,BUILDING,TRUCK,1,0.02,1992-11-19,1993-01-24,1993-02-15,1993-03-05,2,1
F,COLLECT COD,0,Manufacturer#3,5-LOW,3,BUILDING,SHIP,3,0.06,1992-11-19,1993-02-14,1993-01-08,1993-01-29,1,1
F,COLLECT COD,2,Manufacturer#1,5-LOW,3,BUILDING,SHIP,6,0.01,1992-11-19,1993-01-31,1993-02-15,1993-02-24,2,1
