l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,A,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,4,SHIP,3,0.08,14,Brand#53,13,MED PACK,40,588,25594.88
F,F,R,COLLECT COD,3,Manufacturer#2,3-MEDIUM,1,FOB,3,0,22,Brand#21,24,JUMBO BAG,16,589,62086.635
F,F,R,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,1,AIR,4,0.01,18,Brand#21,24,LG BAG,42,589,29083.59
F,F,R,COLLECT COD,2,Manufacturer#2,3-MEDIUM,1,RAIL,2,0.01,12,Brand#24,24,WRAP CAN,50,589,21246.2523
F,F,A,COLLECT COD,0,Manufacturer#5,3-MEDIUM,1,RAIL,1,0.01,5,Brand#53,24,JUMBO DRUM,26,589,27696.3518
F,F,A,NONE,3,Manufacturer#1,5-LOW,2,RAIL,2,0.04,22,Brand#12,8,MED PACK,37,590,53747.43
F,F,R,TAKE BACK RETURN,3,Manufacturer#1,5-LOW,2,MAIL,1,0.01,22,Brand#15,8,JUMBO CAN,15,590,5642.9703
F,F,R,DELIVER IN PERSON,2,Manufacturer#1,2-HIGH,0,FOB,3,0.04,21,Brand#14,5,SM BAG,43,591,45167.8272
F,F,A,COLLECT COD,0,Manufacturer#1,2-HIGH,0,MAIL,4,0.05,16,Brand#13,5,SM DRUM,40,591,39918.2875
F,F,R,NONE,0,Manufacturer#3,1-URGENT,0,MAIL,4,0.06,15,Brand#34,0,JUMBO CASE,8,592,75702.465
F,F,R,TAKE BACK RETURN,1,Manufacturer#5,1-URGENT,0,RAIL,3,0.04,2,Brand#52,0,LG CAN,42,592,80071.2528
F,F,R,NONE,1,Manufacturer#4,1-URGENT,0,RAIL,2,0.04,1,Brand#45,0,JUMBO JAR,50,592,8580.6864
F,F,R,NONE,2,Manufacturer#4,1-URGENT,0,TRUCK,7,0.04,18,Brand#41,0,WRAP DRUM,12,592,41482.98
F,F,R,COLLECT COD,4,Manufacturer#4,4-NOT SPECIFIED,0,REG AIR,1,0.01,10,Brand#43,16,LG PACK,12,593,47483.254
F,F,R,COLLECT COD,3,Manufacturer#1,4-NOT SPECIFIED,0,MAIL,4,0.03,23,Brand#15,16,JUMBO BAG,22,593,44313.5385
F,F,A,DELIVER IN PERSON,2,Manufacturer#5,4-NOT SPECIFIED,0,RAIL,5,0,21,Brand#54,16,WRAP CAN,11,593,26608.8438
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,4-NOT SPECIFIED,0,FOB,3,0.07,4,Brand#23,16,SM PKG,25,593,26754.336
