o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,groupcol,aggcol
F,3-MEDIUM,1,BUILDING,17,Clerk#000000055,1994-07-08,5624.75,0,1
O,1-URGENT,4,HOUSEHOLD,10,Clerk#000000785,1995-07-11,7847.76,1,1
O,3-MEDIUM,2,FURNITURE,8,Clerk#000000268,1995-08-22,7780.12,2,1
F,2-HIGH,3,MACHINERY,6,Clerk#000000575,1994-11-30,1618.95,3,1
O,2-HIGH,1,BUILDING,24,Clerk#000000813,1996-04-02,8030.55,4,1
F,5-LOW,3,MACHINERY,22,Clerk#000000087,1994-05-25,6203.99,5,1
F,5-LOW,3,HOUSEHOLD,22,Clerk#000000194,1993-07-23,1586.25,6,1
O,1-URGENT,4,FURNITURE,20,Clerk#000000472,1996-07-01,-0.28,7,1
O,2-HIGH,1,AUTOMOBILE,1,Clerk#000000729,1998-04-14,8325.54,8,1
O,4-NOT SPECIFIED,2,AUTOMOBILE,21,Clerk#000000517,1997-11-20,8487.6,9,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,8,Clerk#000000282,1993-03-09,1466.97,10,1
F,5-LOW,1,HOUSEHOLD,3,Clerk#000000373,1993-01-14,6392.98,11,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,19,Clerk#000000671,1993-01-22,-600.63,12,1
O,5-LOW,3,FURNITURE,7,Clerk#000000676,1996-01-18,1435.02,13,1
F,5-LOW,3,HOUSEHOLD,23,Clerk#000000952,1993-07-17,4822.08,14,1
F,5-LOW,0,HOUSEHOLD,15,Clerk#000000381,1993-12-22,551.26,15,1
F,4-NOT SPECIFIED,2,MACHINERY,9,Clerk#000000993,1995-03-06,8177.33,16,1
F,5-LOW,4,AUTOMOBILE,11,Clerk#000000617,1995-02-23,9181.23,17,1
F,1-URGENT,1,MACHINERY,24,Clerk#000000015,1994-04-28,7019.6,18,1
F,2-HIGH,2,MACHINERY,21,Clerk#000000394,1992-02-01,3505.7,19,1
F,5-LOW,3,AUTOMOBILE,7,Clerk#000000705,1994-07-07,9386.5,20,1
F,1-URGENT,2,MACHINERY,9,Clerk#000000155,1993-02-18,226.07,21,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,6,Clerk#000000963,1994-07-07,3051.17,22,1
F,3-MEDIUM,4,BUILDING,4,Clerk#000000921,1994-01-28,6276.35,23,1
F,2-HIGH,0,AUTOMOBILE,15,Clerk#000000960,1994-01-16,3122.71,24,1
O,5-LOW,2,MACHINERY,21,Clerk#000000500,1996-05-25,-57.96,25,1
F,2-HIGH,0,HOUSEHOLD,5,Clerk#000000820,1993-05-30,9547.72,26,1
F,5-LOW,3,BUILDING,7,Clerk#000000882,1993-01-08,5496.84,27,1
F,1-URGENT,0,HOUSEHOLD,15,Clerk#000000329,1993-08-18,7726.08,28,1
F,5-LOW,2,AUTOMOBILE,9,Clerk#000000385,1993-03-09,2246.86,29,1
F,1-URGENT,3,AUTOMOBILE,22,Clerk#000000047,1994-05-04,5395.86,30,1
O,2-HIGH,2,MACHINERY,9,Clerk#000000613,1998-06-12,226.07,21,1
F,4-NOT SPECIFIED,4,BUILDING,11,Clerk#000000078,1992-03-02,-146.79,31,1
O,2-HIGH,1,FURNITURE,1,Clerk#000000643,1997-06-05,2278.15,32,1
O,5-LOW,2,MACHINERY,9,Clerk#000000591,1997-06-07,8879.7,33,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,15,Clerk#000000243,1993-04-18,8555.63,34,1
F,1-URGENT,4,HOUSEHOLD,20,Clerk#000000548,1994-01-18,1797.45,35,1
P,4-NOT SPECIFIED,1,HOUSEHOLD,2,Clerk#000000248,1995-05-12,256.42,36,1
F,5-LOW,1,HOUSEHOLD,24,Clerk#000000670,1995-01-12,5478.86,37,1
O,5-LOW,1,FURNITURE,24,Clerk#000000553,1996-10-15,6966.14,38,1
