o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,o_custkey,groupcol,aggcol
F,4-NOT SPECIFIED,0,AUTOMOBILE,5,Clerk#000000601,1993-09-29,389.48,4319,0,1
F,5-LOW,2,BUILDING,12,Clerk#000000294,1993-09-27,8306.75,4013,1,1
F,5-LOW,2,MACHINERY,18,Clerk#000000175,1993-08-30,5803.35,13282,1,1
F,1-URGENT,2,HOUSEHOLD,9,Clerk#000000635,1993-08-24,9119.81,5071,2,1
F,5-LOW,4,MACHINERY,11,Clerk#000000241,1993-08-17,4919.04,13225,1,1
F,3-MEDIUM,2,FURNITURE,21,Clerk#000000435,1993-09-15,8665.17,14266,3,1
F,5-LOW,1,MACHINERY,2,Clerk#000000660,1993-08-05,1182.91,92,1,1
F,4-NOT SPECIFIED,2,HOUSEHOLD,8,Clerk#000000869,1993-07-31,7508.92,115,0,1
F,4-NOT SPECIFIED,3,BUILDING,6,Clerk#000000658,1993-09-23,4483.28,7309,0,1
F,1-URGENT,4,HOUSEHOLD,11,Clerk#000000067,1993-09-04,3708.26,9685,2,1
F,1-URGENT,3,HOUSEHOLD,19,Clerk#000000830,1993-08-20,3061.58,1285,2,1
F,2-HIGH,2,FURNITURE,18,Clerk#000000468,1993-09-04,2848.28,9127,4,1
F,5-LOW,2,MACHINERY,12,Clerk#000000833,1993-09-24,2305.93,3502,1,1
F,2-HIGH,2,FURNITURE,8,Clerk#000000510,1993-07-26,2387.94,7877,4,1
F,2-HIGH,1,FURNITURE,1,Clerk#000000099,1993-07-23,2174.95,9136,4,1
F,1-URGENT,3,AUTOMOBILE,19,Clerk#000000574,1993-08-05,3554.27,8434,2,1
F,4-NOT SPECIFIED,4,FURNITURE,10,Clerk#000000738,1993-07-02,6622.41,9517,0,1
F,1-URGENT,0,AUTOMOBILE,0,Clerk#000000439,1993-08-22,419.13,4630,2,1
F,1-URGENT,2,BUILDING,9,Clerk#000000545,1993-08-18,8888.86,8840,2,1
F,3-MEDIUM,2,AUTOMOBILE,18,Clerk#000000307,1993-07-29,5771.2,10705,3,1
F,5-LOW,4,AUTOMOBILE,10,Clerk#000000181,1993-09-29,6151.02,11176,1,1
F,5-LOW,3,BUILDING,23,Clerk#000000047,1993-08-21,2681.75,11752,1,1
F,1-URGENT,2,FURNITURE,18,Clerk#000000830,1993-08-10,2412.67,12185,2,1
F,3-MEDIUM,3,AUTOMOBILE,19,Clerk#000000008,1993-07-28,8473.87,10370,3,1
F,3-MEDIUM,4,FURNITURE,10,Clerk#000000363,1993-09-12,4050.19,14395,3,1
F,2-HIGH,1,MACHINERY,2,Clerk#000000549,1993-08-19,196.44,14212,4,1
