l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,groupcol,aggcol
O,O,N,DELIVER IN PERSON,1,Manufacturer#5,1-URGENT,1,BUILDING,REG AIR,2,0.08,1995-12-17,1996-03-12,1,32100.9696
O,O,N,COLLECT COD,3,Manufacturer#2,2-HIGH,4,MACHINERY,AIR,2,0.06,1997-12-15,1998-03-02,3,14480.62
O,O,N,DELIVER IN PERSON,1,Manufacturer#5,5-LOW,2,AUTOMOBILE,AIR,4,0.04,1996-03-11,1996-05-24,6,34608.4024
O,O,N,NONE,2,Manufacturer#4,1-URGENT,1,FURNITURE,TRUCK,1,0.08,1997-01-03,1997-03-13,3,35292.4208
O,O,N,NONE,2,Manufacturer#3,5-LOW,2,AUTOMOBILE,AIR,7,0.05,1995-06-19,1995-08-17,1,52216.7834
O,O,N,COLLECT COD,1,Manufacturer#2,2-HIGH,3,HOUSEHOLD,FOB,1,0.07,1998-03-28,1998-05-24,5,4275.3792
O,O,N,COLLECT COD,4,Manufacturer#1,2-HIGH,3,HOUSEHOLD,RAIL,5,0.06,1998-03-28,1998-05-02,5,12140.6808
O,O,N,TAKE BACK RETURN,3,Manufacturer#5,2-HIGH,3,HOUSEHOLD,FOB,3,0.07,1998-03-28,1998-05-13,5,17884.448
O,O,N,TAKE BACK RETURN,0,Manufacturer#3,5-LOW,2,BUILDING,RAIL,4,0,1997-03-15,1997-04-18,3,11395.52
F,F,A,DELIVER IN PERSON,1,Manufacturer#5,5-LOW,3,BUILDING,FOB,5,0.03,1993-02-26,1993-03-28,4,38600.229
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,1,MACHINERY,AIR,3,0.08,1994-04-09,1994-06-08,0,47181.4848
O,O,N,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,2,AUTOMOBILE,REG AIR,2,0,1996-12-27,1997-03-18,6,72665.2432
O,O,N,NONE,0,Manufacturer#5,1-URGENT,4,AUTOMOBILE,REG AIR,3,0.05,1997-05-21,1997-07-28,3,12522.149
F,F,A,COLLECT COD,1,Manufacturer#2,3-MEDIUM,2,BUILDING,SHIP,4,0,1992-06-12,1992-09-04,2,13635.389
O,O,N,DELIVER IN PERSON,1,Manufacturer#3,2-HIGH,4,HOUSEHOLD,SHIP,1,0,1996-07-31,1996-09-07,6,22445.2358
F,F,R,DELIVER IN PERSON,1,Manufacturer#4,4-NOT SPECIFIED,2,AUTOMOBILE,SHIP,1,0.08,1993-02-19,1993-04-09,4,1361.223
F,F,R,DELIVER IN PERSON,2,Manufacturer#5,3-MEDIUM,0,FURNITURE,MAIL,2,0.05,1992-11-22,1993-02-10,2,8580.9925
O,O,N,NONE,1,Manufacturer#3,4-NOT SPECIFIED,2,MACHINERY,MAIL,2,0.08,1996-02-02,1996-03-27,6,29393.8594
F,F,A,DELIVER IN PERSON,1,Manufacturer#4,5-LOW,2,BUILDING,SHIP,5,0.03,1993-09-21,1993-11-20,4,38299.6552
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,1-URGENT,3,BUILDING,FOB,2,0.07,1992-09-18,1992-11-15,2,19013.3424
F,F,R,NONE,1,Manufacturer#5,1-URGENT,1,BUILDING,FOB,3,0.03,1992-07-07,1992-09-21,2,23932.227
O,O,N,NONE,1,Manufacturer#5,2-HIGH,0,FURNITURE,SHIP,6,0.07,1997-07-27,1997-09-18,3,28906.595
O,O,N,TAKE BACK RETURN,4,Manufacturer#2,5-LOW,0,FURNITURE,MAIL,2,0.08,1998-01-17,1998-03-21,5,19254.258
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,3,AUTOMOBILE,AIR,1,0.05,1994-12-16,1995-01-29,0,13830.0976
O,O,N,COLLECT COD,2,Manufacturer#2,4-NOT SPECIFIED,1,AUTOMOBILE,FOB,1,0.02,1996-10-01,1996-10-31,6,13759.578
O,O,N,DELIVER IN PERSON,3,Manufacturer#4,5-LOW,2,HOUSEHOLD,SHIP,1,0.01,1996-03-23,1996-06-21,6,35075.9145
O,O,N,COLLECT COD,2,Manufacturer#2,1-URGENT,2,HOUSEHOLD,SHIP,1,0.04,1996-05-14,1996-08-11,6,61639.158
O,O,N,NONE,2,Manufacturer#2,5-LOW,3,MACHINERY,AIR,1,0.02,1997-11-02,1997-12-29,3,5019.498
O,O,N,COLLECT COD,3,Manufacturer#3,4-NOT SPECIFIED,3,HOUSEHOLD,REG AIR,5,0,1997-04-17,1997-06-28,3,27185.1812
O,O,N,TAKE BACK RETURN,3,Manufacturer#3,3-MEDIUM,1,MACHINERY,FOB,2,0.01,1995-06-21,1995-09-06,1,43013.6138
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,TRUCK,3,0.06,1994-01-19,1994-03-03,0,58037.0208
F,F,A,DELIVER IN PERSON,2,Manufacturer#5,4-NOT SPECIFIED,3,MACHINERY,RAIL,5,0.07,1995-02-27,1995-05-20,1,3096.9136
F,F,A,TAKE BACK RETURN,3,Manufacturer#3,3-MEDIUM,0,HOUSEHOLD,FOB,2,0.03,1993-06-12,1993-07-30,4,7857.666
O,O,N,NONE,4,Manufacturer#1,2-HIGH,2,BUILDING,AIR,4,0.03,1997-10-16,1997-12-30,3,3262.8
F,F,A,NONE,0,Manufacturer#1,3-MEDIUM,0,FURNITURE,RAIL,1,0.08,1993-02-15,1993-05-02,4,4591.322
F,F,A,COLLECT COD,3,Manufacturer#3,3-MEDIUM,0,FURNITURE,AIR,6,0.07,1993-02-15,1993-04-10,4,27702.812
O,O,N,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,4,FURNITURE,SHIP,3,0.08,1998-07-14,1998-09-24,5,17276.3875
F,F,R,TAKE BACK RETURN,1,Manufacturer#1,3-MEDIUM,0,MACHINERY,TRUCK,1,0.08,1992-01-18,1992-03-27,2,52592.8361
O,O,N,NONE,0,Manufacturer#5,2-HIGH,4,AUTOMOBILE,TRUCK,2,0.05,1995-04-08,1995-06-18,1,18703.845
F,F,R,COLLECT COD,1,Manufacturer#3,2-HIGH,3,FURNITURE,MAIL,7,0.04,1992-02-16,1992-05-15,2,9051.731
F,F,R,COLLECT COD,4,Manufacturer#1,3-MEDIUM,0,HOUSEHOLD,AIR,4,0.08,1992-06-14,1992-08-04,2,31121.408
O,O,N,DELIVER IN PERSON,4,Manufacturer#3,4-NOT SPECIFIED,0,FURNITURE,FOB,3,0.02,1998-06-28,1998-08-21,5,11235.6216
