l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,p_container,p_size,l_quantity,groupcol,aggcol
F,F,R,TAKE BACK RETURN,Manufacturer#3,1-URGENT,2,AUTOMOBILE,MAIL,3,0.03,9,Brand#31,SM PKG,47,22,1,28858.83
F,F,A,COLLECT COD,Manufacturer#1,1-URGENT,2,MACHINERY,REG AIR,3,0.04,18,Brand#13,MED CASE,20,48,3,44432.1504
F,F,A,COLLECT COD,Manufacturer#2,1-URGENT,2,AUTOMOBILE,FOB,4,0.03,8,Brand#21,WRAP PACK,43,22,2,36655.0184
F,F,R,NONE,Manufacturer#2,2-HIGH,2,HOUSEHOLD,REG AIR,5,0.04,8,Brand#24,LG PKG,42,21,2,30177.7245
F,F,R,NONE,Manufacturer#2,5-LOW,2,HOUSEHOLD,RAIL,1,0.02,8,Brand#23,SM PKG,25,28,2,44815.498
F,F,R,DELIVER IN PERSON,Manufacturer#1,5-LOW,2,HOUSEHOLD,RAIL,2,0.06,8,Brand#12,MED DRUM,17,33,2,57865.8564
F,F,R,DELIVER IN PERSON,Manufacturer#2,2-HIGH,2,HOUSEHOLD,FOB,1,0.06,8,Brand#22,JUMBO PKG,36,36,2,51159.3264
F,F,A,NONE,Manufacturer#1,2-HIGH,2,HOUSEHOLD,TRUCK,3,0.08,8,Brand#15,MED BOX,11,14,2,21157.2004
F,F,A,DELIVER IN PERSON,Manufacturer#3,4-NOT SPECIFIED,2,MACHINERY,SHIP,2,0.05,18,Brand#35,WRAP JAR,38,43,3,59501.078
F,F,R,COLLECT COD,Manufacturer#2,1-URGENT,2,AUTOMOBILE,REG AIR,3,0.02,18,Brand#22,LG BOX,44,41,3,38047.959
F,F,R,NONE,Manufacturer#4,4-NOT SPECIFIED,2,FURNITURE,AIR,1,0.05,8,Brand#41,MED JAR,14,24,2,27717.9072
F,F,A,COLLECT COD,Manufacturer#3,1-URGENT,2,AUTOMOBILE,REG AIR,5,0.06,12,Brand#34,WRAP PACK,17,39,0,61008.0627
F,F,R,COLLECT COD,Manufacturer#5,5-LOW,2,AUTOMOBILE,FOB,2,0.07,9,Brand#54,WRAP JAR,43,3,1,5138.208
F,F,R,DELIVER IN PERSON,Manufacturer#5,5-LOW,2,BUILDING,SHIP,1,0.03,21,Brand#55,LG BAG,29,26,4,45457.6746
F,F,A,NONE,Manufacturer#2,3-MEDIUM,2,HOUSEHOLD,FOB,2,0.05,21,Brand#22,JUMBO JAR,24,25,4,40453.55
F,F,A,TAKE BACK RETURN,Manufacturer#3,1-URGENT,2,AUTOMOBILE,SHIP,3,0.08,21,Brand#35,MED BOX,12,1,4,905.3088
F,F,A,COLLECT COD,Manufacturer#4,5-LOW,2,AUTOMOBILE,FOB,3,0.02,9,Brand#43,JUMBO CAN,39,21,1,25316.928
F,F,R,NONE,Manufacturer#3,5-LOW,2,AUTOMOBILE,MAIL,1,0.05,9,Brand#32,WRAP BOX,30,24,1,23281.8624
F,F,R,NONE,Manufacturer#3,2-HIGH,2,FURNITURE,REG AIR,4,0.02,9,Brand#31,LG CAN,37,25,1,41676.4075
F,F,A,NONE,Manufacturer#2,2-HIGH,2,FURNITURE,FOB,2,0.03,9,Brand#25,LG BOX,49,20,1,23180.16
F,F,A,TAKE BACK RETURN,Manufacturer#3,2-HIGH,2,HOUSEHOLD,TRUCK,1,0.06,12,Brand#31,JUMBO PKG,45,35,0,57547.665
F,F,A,DELIVER IN PERSON,Manufacturer#1,2-HIGH,2,FURNITURE,FOB,1,0.07,12,Brand#11,JUMBO CASE,19,32,0,55650.9952
F,F,R,TAKE BACK RETURN,Manufacturer#2,1-URGENT,2,HOUSEHOLD,MAIL,1,0.04,21,Brand#22,SM CASE,20,3,4,4981.3155
F,F,A,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,2,MACHINERY,MAIL,4,0,12,Brand#44,WRAP DRUM,10,21,0,35444.997
F,F,A,COLLECT COD,Manufacturer#2,3-MEDIUM,2,AUTOMOBILE,AIR,4,0.08,12,Brand#23,LG JAR,26,39,0,61841.52
F,F,R,DELIVER IN PERSON,Manufacturer#4,5-LOW,2,HOUSEHOLD,MAIL,6,0,18,Brand#42,MED CAN,3,12,3,10805.9904
F,F,A,DELIVER IN PERSON,Manufacturer#5,5-LOW,2,HOUSEHOLD,MAIL,4,0.01,18,Brand#53,JUMBO BAG,22,29,3,30076.48
F,F,R,NONE,Manufacturer#2,2-HIGH,2,FURNITURE,TRUCK,3,0.01,9,Brand#21,JUMBO CASE,37,7,1,8173.557
F,F,R,NONE,Manufacturer#1,5-LOW,2,BUILDING,MAIL,5,0.08,18,Brand#13,WRAP PKG,38,31,3,37481.418
F,F,R,DELIVER IN PERSON,Manufacturer#5,1-URGENT,2,HOUSEHOLD,AIR,4,0.02,8,Brand#53,LG PACK,44,38,2,45502.9632
F,F,R,COLLECT COD,Manufacturer#1,5-LOW,2,FURNITURE,RAIL,2,0.08,18,Brand#12,JUMBO BAG,2,42,3,62237.0616
F,F,A,DELIVER IN PERSON,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,RAIL,4,0.07,8,Brand#45,JUMBO BOX,8,5,2,9514.9
F,F,A,DELIVER IN PERSON,Manufacturer#1,1-URGENT,2,MACHINERY,REG AIR,4,0.06,21,Brand#12,JUMBO DRUM,45,36,4,34682.3568
F,F,A,TAKE BACK RETURN,Manufacturer#4,3-MEDIUM,2,FURNITURE,TRUCK,4,0.08,21,Brand#45,MED JAR,28,9,4,16510.599
F,F,A,COLLECT COD,Manufacturer#2,5-LOW,2,MACHINERY,AIR,3,0.08,9,Brand#24,MED CASE,36,19,1,22369.9065
F,F,A,DELIVER IN PERSON,Manufacturer#5,2-HIGH,2,AUTOMOBILE,REG AIR,3,0.05,12,Brand#53,LG DRUM,8,49,0,70392.0035
F,F,R,DELIVER IN PERSON,Manufacturer#3,2-HIGH,2,FURNITURE,TRUCK,1,0.07,9,Brand#31,LG CAN,11,3,1,4940.9997
F,F,A,NONE,Manufacturer#4,1-URGENT,2,FURNITURE,SHIP,6,0.06,12,Brand#41,WRAP BAG,11,23,0,24636.68
F,F,A,NONE,Manufacturer#3,4-NOT SPECIFIED,2,MACHINERY,TRUCK,1,0.03,8,Brand#34,JUMBO PACK,19,37,2,59832.7962
F,F,R,NONE,Manufacturer#2,4-NOT SPECIFIED,2,MACHINERY,MAIL,5,0.06,9,Brand#22,JUMBO PKG,38,44,1,72724.476
F,F,R,COLLECT COD,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,REG AIR,3,0.08,9,Brand#12,LG JAR,16,41,1,50482.4472
F,F,R,NONE,Manufacturer#2,2-HIGH,2,AUTOMOBILE,FOB,6,0.07,21,Brand#25,WRAP CASE,50,47,4,45364.8136
F,F,R,TAKE BACK RETURN,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,REG AIR,1,0.04,21,Brand#54,MED CASE,4,4,4,5187.4656
