o_orderstatus,sn_regionkey,p_mfgr,o_orderpriority,o_orderdate,l_shipinstruct,l_commitdate,cn_regionkey,l_shipdate,c_mktsegment,l_receiptdate,l_shipmode,p_retailprice,l_linenumber,l_tax,groupcol,aggcol
O,2,Manufacturer#4,2-HIGH,1996-01-02,TAKE BACK RETURN,1996-03-02,0,1996-03-20,HOUSEHOLD,1996-04-11,FOB,1271.37,3,0.06,0,49583.43
O,0,Manufacturer#1,2-HIGH,1996-01-02,COLLECT COD,1996-03-15,0,1996-03-03,HOUSEHOLD,1996-03-30,TRUCK,1218.31,4,0.08,0,43859.16
O,4,Manufacturer#1,2-HIGH,1996-01-02,DELIVER IN PERSON,1996-03-23,0,1996-05-02,HOUSEHOLD,1996-05-28,MAIL,1229.32,1,0.04,0,24586.4
O,0,Manufacturer#1,2-HIGH,1996-01-02,NONE,1996-02-09,0,1996-01-08,HOUSEHOLD,1996-02-04,TRUCK,1570.66,2,0.07,0,4711.98
F,4,Manufacturer#5,5-LOW,1994-04-20,COLLECT COD,1994-06-24,2,1994-04-28,AUTOMOBILE,1994-05-17,TRUCK,1489.58,2,0,2,11916.64
F,1,Manufacturer#4,5-LOW,1994-04-20,NONE,1994-06-23,2,1994-07-06,AUTOMOBILE,1994-07-31,FOB,1309.4,5,0.03,1,13094
F,0,Manufacturer#5,5-LOW,1994-04-20,NONE,1994-06-08,2,1994-05-09,AUTOMOBILE,1994-06-07,REG AIR,1507.6,3,0.02,2,4522.8
F,1,Manufacturer#1,5-LOW,1994-04-20,DELIVER IN PERSON,1994-07-04,2,1994-08-04,AUTOMOBILE,1994-08-18,FOB,1756.85,1,0.01,1,82571.95
F,3,Manufacturer#2,5-LOW,1994-04-20,NONE,1994-07-02,2,1994-07-27,AUTOMOBILE,1994-08-07,AIR,947.04,4,0.05,2,7576.32
F,1,Manufacturer#5,2-HIGH,1992-11-23,NONE,1993-01-04,0,1992-11-25,AUTOMOBILE,1992-11-30,MAIL,1765.86,1,0.03,1,86527.14
F,3,Manufacturer#2,1-URGENT,1993-05-06,TAKE BACK RETURN,1993-06-20,4,1993-08-22,FURNITURE,1993-09-05,MAIL,1808.9,3,0.04,2,7235.6
F,3,Manufacturer#3,1-URGENT,1993-05-06,DELIVER IN PERSON,1993-06-08,4,1993-05-08,FURNITURE,1993-05-22,TRUCK,1429.52,6,0.07,1,67187.44
F,2,Manufacturer#5,1-URGENT,1993-05-06,NONE,1993-06-28,4,1993-07-12,FURNITURE,1993-07-30,REG AIR,1016.11,4,0.04,2,9144.99
F,0,Manufacturer#3,1-URGENT,1993-05-06,NONE,1993-08-03,4,1993-05-22,FURNITURE,1993-06-03,SHIP,957.05,1,0.02,1,10527.55
