o_orderstatus,sn_regionkey,p_mfgr,o_orderpriority,o_orderdate,l_shipinstruct,l_commitdate,cn_regionkey,l_shipdate,c_mktsegment,l_receiptdate,l_shipmode,p_retailprice,l_linenumber,l_tax,groupcol,aggcol
O,2,Manufacturer#4,2-HIGH,1996-01-02,TAKE BACK RETURN,1996-03-02,0,1996-03-20,HOUSEHOLD,1996-04-11,FOB,1271.37,3,0.06,0,48591.7614
O,0,Manufacturer#1,2-HIGH,1996-01-02,COLLECT COD,1996-03-15,0,1996-03-03,HOUSEHOLD,1996-03-30,TRUCK,1218.31,4,0.08,0,42104.7936
O,4,Manufacturer#1,2-HIGH,1996-01-02,DELIVER IN PERSON,1996-03-23,0,1996-05-02,HOUSEHOLD,1996-05-28,MAIL,1229.32,1,0.04,0,23357.08
O,0,Manufacturer#1,2-HIGH,1996-01-02,NONE,1996-02-09,0,1996-01-08,HOUSEHOLD,1996-02-04,TRUCK,1570.66,2,0.07,0,4570.6206
F,4,Manufacturer#5,5-LOW,1994-04-20,COLLECT COD,1994-06-24,2,1994-04-28,AUTOMOBILE,1994-05-17,TRUCK,1489.58,2,0,2,10724.976
F,1,Manufacturer#4,5-LOW,1994-04-20,NONE,1994-06-23,2,1994-07-06,AUTOMOBILE,1994-07-31,FOB,1309.4,5,0.03,1,12177.42
F,0,Manufacturer#5,5-LOW,1994-04-20,NONE,1994-06-08,2,1994-05-09,AUTOMOBILE,1994-06-07,REG AIR,1507.6,3,0.02,2,4522.8
F,1,Manufacturer#1,5-LOW,1994-04-20,DELIVER IN PERSON,1994-07-04,2,1994-08-04,AUTOMOBILE,1994-08-18,FOB,1756.85,1,0.01,1,79269.072
F,3,Manufacturer#2,5-LOW,1994-04-20,NONE,1994-07-02,2,1994-07-27,AUTOMOBILE,1994-08-07,AIR,947.04,4,0.05,2,6818.688
F,1,Manufacturer#5,2-HIGH,1992-11-23,NONE,1993-01-04,0,1992-11-25,AUTOMOBILE,1992-11-30,MAIL,1765.86,1,0.03,1,83931.3258
F,3,Manufacturer#2,1-URGENT,1993-05-06,TAKE BACK RETURN,1993-06-20,4,1993-08-22,FURNITURE,1993-09-05,MAIL,1808.9,3,0.04,2,6801.464
F,3,Manufacturer#3,1-URGENT,1993-05-06,DELIVER IN PERSON,1993-06-08,4,1993-05-08,FURNITURE,1993-05-22,TRUCK,1429.52,6,0.07,1,64499.9424
F,2,Manufacturer#5,1-URGENT,1993-05-06,NONE,1993-06-28,4,1993-07-12,FURNITURE,1993-07-30,REG AIR,1016.11,4,0.04,2,8413.3908
F,0,Manufacturer#3,1-URGENT,1993-05-06,NONE,1993-08-03,4,1993-05-22,FURNITURE,1993-06-03,SHIP,957.05,1,0.02,1,10106.448
F,2,Manufacturer#3,1-URGENT,1993-05-06,NONE,1993-07-24,4,1993-06-09,FURNITURE,1993-07-05,TRUCK,1755.85,5,0.08,1,37469.839
F,1,Manufacturer#2,1-URGENT,1993-05-06,COLLECT COD,1993-06-11,4,1993-05-19,FURNITURE,1993-05-23,REG AIR,1047.14,2,0.06,2,26408.8708
F,2,Manufacturer#4,1-URGENT,1993-05-06,NONE,1993-07-28,4,1993-06-05,FURNITURE,1993-06-08,MAIL,1750.84,7,0.04,1,27733.3056
F,0,Manufacturer#5,5-LOW,1992-04-17,COLLECT COD,1992-07-11,4,1992-07-27,BUILDING,1992-08-16,RAIL,1777.87,2,0.04,2,54562.8303
F,3,Manufacturer#2,5-LOW,1992-04-17,NONE,1992-05-24,4,1992-04-21,BUILDING,1992-05-09,FOB,990.08,1,0.04,1,39920.0256
F,1,Manufacturer#3,5-LOW,1992-04-17,COLLECT COD,1992-05-19,4,1992-07-01,BUILDING,1992-07-15,FOB,1516.61,3,0,2,36853.623
F,4,Manufacturer#5,3-MEDIUM,1992-10-19,DELIVER IN PERSON,1992-11-20,4,1993-02-08,AUTOMOBILE,1993-03-06,MAIL,1730.83,1,0.07,1,24923.952
F,1,Manufacturer#3,1-URGENT,1994-06-19,DELIVER IN PERSON,1994-08-29,1,1994-07-03,HOUSEHOLD,1994-07-05,TRUCK,1391.49,1,0,1,54351.5994
F,2,Manufacturer#1,1-URGENT,1994-06-19,COLLECT COD,1994-07-20,1,1994-09-14,HOUSEHOLD,1994-09-29,FOB,1580.68,2,0.07,2,72806.1208
F,0,Manufacturer#1,1-URGENT,1994-06-19,DELIVER IN PERSON,1994-08-31,1,1994-06-26,HOUSEHOLD,1994-07-08,FOB,1192.29,4,0.03,2,31381.0728
F,2,Manufacturer#1,1-URGENT,1994-06-19,TAKE BACK RETURN,1994-08-15,1,1994-09-17,HOUSEHOLD,1994-10-16,SHIP,1334.43,3,0,1,49107.024
F,3,Manufacturer#2,5-LOW,1992-07-08,NONE,1992-08-22,0,1992-09-15,BUILDING,1992-10-02,TRUCK,1398.49,2,0.03,1,44695.7404
F,4,Manufacturer#3,5-LOW,1992-07-08,TAKE BACK RETURN,1992-08-28,0,1992-08-08,BUILDING,1992-08-26,SHIP,1070.17,4,0.08,1,39596.29
F,3,Manufacturer#4,5-LOW,1992-07-08,COLLECT COD,1992-09-15,0,1992-08-31,BUILDING,1992-09-27,SHIP,1214.31,3,0.04,2,19404.6738
F,4,Manufacturer#4,5-LOW,1992-07-08,COLLECT COD,1992-09-21,0,1992-08-10,BUILDING,1992-09-01,TRUCK,943.04,1,0.08,1,5375.328
F,0,Manufacturer#1,5-LOW,1992-07-08,DELIVER IN PERSON,1992-08-08,0,1992-09-12,BUILDING,1992-09-27,FOB,1048.14,5,0.06,2,33896.8476
F,1,Manufacturer#3,4-NOT SPECIFIED,1992-12-26,COLLECT COD,1993-02-04,0,1993-01-25,AUTOMOBILE,1993-02-18,SHIP,1050.15,5,0,1,955.6365
F,2,Manufacturer#3,4-NOT SPECIFIED,1992-12-26,DELIVER IN PERSON,1993-02-01,0,1993-02-08,AUTOMOBILE,1993-03-03,TRUCK,975.07,4,0.05,2,13514.4702
F,2,Manufacturer#4,4-NOT SPECIFIED,1992-12-26,DELIVER IN PERSON,1993-02-16,0,1993-02-02,AUTOMOBILE,1993-02-16,TRUCK,1698.79,1,0.08,1,21404.754
F,2,Manufacturer#4,4-NOT SPECIFIED,1992-12-26,TAKE BACK RETURN,1993-02-14,0,1993-02-12,AUTOMOBILE,1993-02-15,REG AIR,1578.67,2,0.02,2,28131.8994
F,4,Manufacturer#3,4-NOT SPECIFIED,1992-12-26,NONE,1993-03-03,0,1993-02-27,AUTOMOBILE,1993-03-07,FOB,1667.76,3,0.04,1,1617.7272
F,1,Manufacturer#1,1-URGENT,1993-02-09,TAKE BACK RETURN,1993-04-20,1,1993-03-29,AUTOMOBILE,1993-04-21,FOB,1289.38,7,0.02,1,23982.468
F,1,Manufacturer#1,1-URGENT,1993-02-09,TAKE BACK RETURN,1993-03-16,1,1993-03-18,AUTOMOBILE,1993-03-22,FOB,1109.2,6,0.05,1,27397.24
F,3,Manufacturer#2,1-URGENT,1993-02-09,TAKE BACK RETURN,1993-04-20,1,1993-05-09,AUTOMOBILE,1993-05-14,AIR,1006.1,1,0.05,2,18914.68
F,3,Manufacturer#5,1-URGENT,1993-02-09,NONE,1993-04-29,1,1993-05-17,AUTOMOBILE,1993-05-19,RAIL,1166.26,3,0.04,2,21225.932
F,1,Manufacturer#4,1-URGENT,1993-02-09,NONE,1993-04-24,1,1993-05-15,AUTOMOBILE,1993-06-09,AIR,1325.42,5,0.01,1,2412.2644
F,4,Manufacturer#2,1-URGENT,1993-02-09,DELIVER IN PERSON,1993-05-02,1,1993-04-14,AUTOMOBILE,1993-05-03,MAIL,1564.66,2,0.08,2,43106.383
F,1,Manufacturer#3,1-URGENT,1993-02-09,COLLECT COD,1993-04-12,1,1993-05-09,AUTOMOBILE,1993-05-10,FOB,1578.67,4,0.02,1,46476.0448
F,4,Manufacturer#1,4-NOT SPECIFIED,1992-05-09,NONE,1992-06-09,2,1992-08-20,MACHINERY,1992-09-07,SHIP,1622.72,1,0.08,2,12462.4896
F,1,Manufacturer#1,4-NOT SPECIFIED,1992-05-09,TAKE BACK RETURN,1992-06-18,2,1992-06-26,MACHINERY,1992-07-05,REG AIR,1552.65,4,0.02,2,59342.283
F,1,Manufacturer#1,4-NOT SPECIFIED,1992-05-09,COLLECT COD,1992-07-28,2,1992-06-22,MACHINERY,1992-07-09,MAIL,915.01,2,0.02,1,6588.072
F,2,Manufacturer#5,4-NOT SPECIFIED,1992-05-09,COLLECT COD,1992-08-07,2,1992-06-07,MACHINERY,1992-06-17,RAIL,912.01,3,0.08,1,30862.4184
F,2,Manufacturer#3,1-URGENT,1993-06-18,NONE,1993-07-26,2,1993-07-12,BUILDING,1993-07-30,MAIL,1634.73,1,0.06,1,69917.4021
F,3,Manufacturer#5,1-URGENT,1993-06-18,COLLECT COD,1993-08-18,2,1993-08-29,BUILDING,1993-09-27,FOB,1132.23,2,0.01,1,28554.8406
F,2,Manufacturer#2,1-URGENT,1993-06-18,NONE,1993-08-01,2,1993-10-01,BUILDING,1993-10-14,REG AIR,926.02,4,0,1,3333.672
F,4,Manufacturer#2,1-URGENT,1993-06-18,TAKE BACK RETURN,1993-08-17,2,1993-07-04,BUILDING,1993-07-20,TRUCK,1838.93,3,0.02,1,12743.7849
O,4,Manufacturer#4,1-URGENT,1998-04-15,NONE,1998-06-08,4,1998-08-05,MACHINERY,1998-09-01,FOB,1374.47,2,0.04,0,10995.76
O,1,Manufacturer#3,1-URGENT,1998-04-15,NONE,1998-06-09,4,1998-07-15,MACHINERY,1998-08-08,SHIP,1067.16,3,0.06,0,23071.9992
O,3,Manufacturer#4,1-URGENT,1998-04-15,TAKE BACK RETURN,1998-05-26,4,1998-04-30,MACHINERY,1998-05-11,MAIL,966.06,1,0,0,29889.8964
O,3,Manufacturer#4,3-MEDIUM,1996-10-22,TAKE BACK RETURN,1996-12-30,4,1996-12-27,AUTOMOBILE,1997-01-19,MAIL,1620.72,3,0.02,0,38086.92
O,0,Manufacturer#1,3-MEDIUM,1996-10-22,DELIVER IN PERSON,1996-12-02,4,1997-01-05,AUTOMOBILE,1997-01-07,TRUCK,1569.66,1,0.03,0,67872.0984
O,3,Manufacturer#3,3-MEDIUM,1996-10-22,DELIVER IN PERSON,1996-11-27,4,1996-10-31,AUTOMOBILE,1996-11-21,AIR,1766.86,2,0.07,0,6643.3936
O,1,Manufacturer#5,1-URGENT,1996-06-23,TAKE BACK RETURN,1996-09-18,2,1996-09-22,FURNITURE,1996-10-01,FOB,1665.76,1,0.06,0,16674.2576
O,0,Manufacturer#1,1-URGENT,1996-06-23,NONE,1996-09-03,2,1996-09-13,FURNITURE,1996-10-03,MAIL,1345.44,2,0.06,0,58607.3664
O,3,Manufacturer#1,1-URGENT,1996-06-23,NONE,1996-08-02,2,1996-06-28,FURNITURE,1996-07-14,RAIL,1742.84,3,0.06,0,6831.9328
O,0,Manufacturer#5,2-HIGH,1996-02-28,COLLECT COD,1996-05-11,2,1996-05-10,BUILDING,1996-05-19,REG AIR,1246.34,2,0.04,0,27220.0656
O,1,Manufacturer#4,2-HIGH,1996-02-28,DELIVER IN PERSON,1996-05-02,2,1996-03-16,BUILDING,1996-03-19,SHIP,1011.11,1,0.04,0,8280.9909
O,0,Manufacturer#2,5-LOW,1998-07-07,TAKE BACK RETURN,1998-09-09,1,1998-08-16,AUTOMOBILE,1998-09-06,REG AIR,1651.75,1,0.05,0,61626.7925
F,1,Manufacturer#4,3-MEDIUM,1992-05-08,COLLECT COD,1992-06-28,3,1992-08-22,FURNITURE,1992-09-19,FOB,938.03,5,0.02,1,4361.8395
F,2,Manufacturer#2,3-MEDIUM,1992-05-08,DELIVER IN PERSON,1992-06-20,3,1992-06-13,FURNITURE,1992-06-15,MAIL,1615.71,2,0,1,27919.4688
F,0,Manufacturer#3,3-MEDIUM,1992-05-08,COLLECT COD,1992-07-23,3,1992-08-28,FURNITURE,1992-09-01,MAIL,1483.58,1,0,2,22075.6704
F,1,Manufacturer#2,3-MEDIUM,1992-05-08,NONE,1992-07-13,3,1992-07-30,FURNITURE,1992-08-12,RAIL,1086.18,4,0.07,2,31499.22
F,0,Manufacturer#4,3-MEDIUM,1992-05-08,COLLECT COD,1992-07-02,3,1992-07-26,FURNITURE,1992-08-14,RAIL,1577.67,3,0.04,2,35497.575
F,4,Manufacturer#2,3-MEDIUM,1992-05-08,TAKE BACK RETURN,1992-07-23,3,1992-05-12,FURNITURE,1992-05-21,TRUCK,1722.82,6,0.01,2,34869.8768
O,3,Manufacturer#5,4-NOT SPECIFIED,1997-03-02,COLLECT COD,1997-04-18,1,1997-03-19,HOUSEHOLD,1997-04-08,MAIL,1512.61,3,0.07,0,74117.89
O,1,Manufacturer#5,4-NOT SPECIFIED,1997-03-02,DELIVER IN PERSON,1997-05-24,1,1997-03-16,HOUSEHOLD,1997-03-31,FOB,1818.91,2,0.08,0,32740.38
O,3,Manufacturer#5,4-NOT SPECIFIED,1997-03-02,TAKE BACK RETURN,1997-05-12,1,1997-06-07,HOUSEHOLD,1997-06-21,AIR,1276.37,5,0.01,0,37014.73
O,4,Manufacturer#2,4-NOT SPECIFIED,1997-03-02,DELIVER IN PERSON,1997-04-17,1,1997-05-06,HOUSEHOLD,1997-05-28,REG AIR,992.09,4,0.06,0,37421.6348
O,1,Manufacturer#1,4-NOT SPECIFIED,1997-03-02,TAKE BACK RETURN,1997-05-23,1,1997-03-24,HOUSEHOLD,1997-04-18,MAIL,1548.64,1,0,0,48782.16
F,4,Manufacturer#1,5-LOW,1993-09-22,NONE,1993-11-11,3,1993-12-02,HOUSEHOLD,1993-12-05,SHIP,1321.42,1,0.03,2,11417.0688
O,3,Manufacturer#4,5-LOW,1997-02-28,COLLECT COD,1997-05-10,4,1997-06-11,FURNITURE,1997-07-06,FOB,1732.83,3,0.08,0,51569.0208
O,4,Manufacturer#1,5-LOW,1997-02-28,TAKE BACK RETURN,1997-05-10,4,1997-04-12,FURNITURE,1997-05-03,AIR,1321.42,2,0.03,0,47095.4088
O,2,Manufacturer#2,5-LOW,1997-02-28,NONE,1997-05-09,4,1997-03-20,FURNITURE,1997-04-18,FOB,1180.27,4,0,0,3186.729
O,2,Manufacturer#5,5-LOW,1997-02-28,NONE,1997-04-24,4,1997-03-17,FURNITURE,1997-04-09,MAIL,1657.75,5,0.01,0,46251.225
O,3,Manufacturer#2,5-LOW,1997-02-28,COLLECT COD,1997-04-16,4,1997-06-22,FURNITURE,1997-07-21,FOB,1722.82,1,0.06,0,9406.5972
F,2,Manufacturer#5,1-URGENT,1993-07-08,TAKE BACK RETURN,1993-09-20,3,1993-08-25,FURNITURE,1993-09-12,MAIL,1104.2,1,0.06,2,50340.478
F,0,Manufacturer#2,1-URGENT,1993-07-08,TAKE BACK RETURN,1993-09-28,3,1993-07-09,FURNITURE,1993-07-26,RAIL,1227.32,3,0.04,1,28277.4528
F,3,Manufacturer#2,1-URGENT,1993-07-08,TAKE BACK RETURN,1993-09-11,3,1993-07-11,FURNITURE,1993-07-20,FOB,1539.63,2,0.02,1,63371.1708
O,4,Manufacturer#5,3-MEDIUM,1997-11-23,COLLECT COD,1998-01-26,3,1998-01-01,HOUSEHOLD,1998-01-14,TRUCK,1751.85,1,0.08,0,80585.1
F,4,Manufacturer#2,4-NOT SPECIFIED,1993-12-19,TAKE BACK RETURN,1994-03-17,3,1994-03-04,AUTOMOBILE,1994-03-12,RAIL,1900.99,1,0.04,2,15911.2863
F,1,Manufacturer#3,4-NOT SPECIFIED,1993-12-19,COLLECT COD,1994-01-31,3,1994-02-23,AUTOMOBILE,1994-02-25,FOB,1246.34,4,0,1,17573.394
F,0,Manufacturer#2,4-NOT SPECIFIED,1993-12-19,COLLECT COD,1994-03-18,3,1994-01-08,AUTOMOBILE,1994-02-02,MAIL,1301.4,5,0.08,2,46707.246
F,2,Manufacturer#4,4-NOT SPECIFIED,1993-12-19,COLLECT COD,1994-03-14,3,1994-04-06,AUTOMOBILE,1994-05-04,RAIL,951.05,3,0.02,1,27390.24
