l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,groupcol,aggcol
F,F,A,TAKE BACK RETURN,3,Manufacturer#3,2-HIGH,0,AUTOMOBILE,REG AIR,6,0.04,1994-03-09,1994-04-27,0,16812.6233
O,O,N,COLLECT COD,0,Manufacturer#3,4-NOT SPECIFIED,3,FURNITURE,MAIL,1,0.04,1995-11-30,1996-02-07,1,4609.499
F,F,A,NONE,3,Manufacturer#4,5-LOW,2,BUILDING,MAIL,2,0.06,1992-10-19,1992-12-24,2,-405.8428
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,5-LOW,2,BUILDING,REG AIR,3,0.01,1997-08-25,1997-11-02,3,809.7428
F,F,A,DELIVER IN PERSON,2,Manufacturer#5,1-URGENT,1,FURNITURE,RAIL,3,0.03,1993-07-05,1993-09-22,4,20682.9461
F,F,R,NONE,2,Manufacturer#4,2-HIGH,2,HOUSEHOLD,RAIL,3,0.04,1992-10-08,1992-11-19,2,4518.2885
F,F,R,DELIVER IN PERSON,2,Manufacturer#4,5-LOW,1,FURNITURE,MAIL,7,0.03,1994-02-17,1994-05-04,0,53744.88
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,1-URGENT,3,BUILDING,AIR,3,0.06,1992-11-30,1993-01-11,2,1308.0978
O,O,N,DELIVER IN PERSON,4,Manufacturer#3,4-NOT SPECIFIED,3,FURNITURE,REG AIR,3,0.06,1998-05-27,1998-08-04,5,24983.3033
F,F,R,DELIVER IN PERSON,2,Manufacturer#2,1-URGENT,4,MACHINERY,SHIP,5,0.02,1994-11-27,1995-02-08,0,32341.338
F,F,R,NONE,2,Manufacturer#2,4-NOT SPECIFIED,1,AUTOMOBILE,AIR,1,0.05,1995-01-08,1995-03-12,1,242.2743
O,O,N,NONE,0,Manufacturer#4,4-NOT SPECIFIED,2,BUILDING,RAIL,2,0.02,1995-07-01,1995-08-16,1,30846.6088
O,O,N,NONE,2,Manufacturer#3,4-NOT SPECIFIED,3,BUILDING,REG AIR,1,0.04,1996-04-18,1996-07-15,6,36304.7625
F,F,R,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,1,MACHINERY,MAIL,4,0.04,1994-08-13,1994-10-31,0,22263.248
O,O,N,NONE,3,Manufacturer#1,4-NOT SPECIFIED,0,AUTOMOBILE,SHIP,1,0.08,1995-10-01,1995-11-15,1,32972.7024
F,F,R,COLLECT COD,3,Manufacturer#5,2-HIGH,0,MACHINERY,MAIL,1,0.03,1992-06-29,1992-08-01,2,25185.5892
F,F,R,NONE,3,Manufacturer#1,2-HIGH,0,AUTOMOBILE,FOB,4,0.03,1994-03-08,1994-06-05,0,52956.0354
F,F,A,NONE,0,Manufacturer#5,2-HIGH,0,AUTOMOBILE,TRUCK,1,0.05,1994-03-08,1994-05-13,0,3879.868
F,F,R,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,0,AUTOMOBILE,FOB,6,0.06,1994-03-08,1994-04-29,0,16727.634
F,F,R,NONE,2,Manufacturer#4,2-HIGH,0,AUTOMOBILE,RAIL,2,0.03,1994-03-08,1994-04-17,0,-1304.688
