l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,p_container,p_size,l_quantity,groupcol,aggcol
F,F,A,DELIVER IN PERSON,Manufacturer#5,2-HIGH,2,MACHINERY,REG AIR,7,0.01,12,Brand#52,WRAP CAN,32,43,0,49272.195
F,F,A,NONE,Manufacturer#1,5-LOW,2,HOUSEHOLD,AIR,5,0.04,12,Brand#13,WRAP PACK,47,34,0,43055.6688
F,F,R,TAKE BACK RETURN,Manufacturer#4,5-LOW,2,BUILDING,AIR,3,0,9,Brand#44,MED BOX,19,16,1,28589.92
F,F,A,TAKE BACK RETURN,Manufacturer#5,3-MEDIUM,2,AUTOMOBILE,MAIL,6,0.02,8,Brand#52,MED CAN,22,1,2,1455.8445
F,F,A,TAKE BACK RETURN,Manufacturer#4,2-HIGH,2,MACHINERY,MAIL,1,0.06,12,Brand#43,LG CAN,14,14,0,13282.164
F,F,R,NONE,Manufacturer#5,2-HIGH,2,FURNITURE,RAIL,2,0.06,18,Brand#53,MED JAR,5,19,3,27020.9412
F,F,R,COLLECT COD,Manufacturer#1,5-LOW,2,MACHINERY,SHIP,7,0.06,12,Brand#14,MED CASE,35,42,0,44736.72
F,F,A,COLLECT COD,Manufacturer#4,3-MEDIUM,2,FURNITURE,RAIL,4,0.04,18,Brand#43,LG BAG,26,13,3,19120.1452
F,F,A,DELIVER IN PERSON,Manufacturer#4,3-MEDIUM,2,FURNITURE,SHIP,7,0.07,18,Brand#45,LG PACK,3,49,3,64712.7908
F,F,R,TAKE BACK RETURN,Manufacturer#5,2-HIGH,2,FURNITURE,REG AIR,2,0,8,Brand#55,MED BAG,35,37,2,70410.26
F,F,R,NONE,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,REG AIR,1,0.08,8,Brand#35,LG DRUM,10,11,2,10945.88
F,F,A,NONE,Manufacturer#5,2-HIGH,2,FURNITURE,SHIP,2,0.02,18,Brand#51,LG BAG,39,26,3,28509.975
F,F,A,COLLECT COD,Manufacturer#3,2-HIGH,2,FURNITURE,TRUCK,1,0.05,18,Brand#33,MED PACK,42,19,3,24855.534
