o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,o_custkey,groupcol,aggcol
F,1-URGENT,4,HOUSEHOLD,13,Clerk#000000025,1993-08-08,3694.81,791,0,1
F,4-NOT SPECIFIED,4,FURNITURE,20,Clerk#000000601,1993-09-29,8746.23,433,1,1
F,3-MEDIUM,1,HOUSEHOLD,2,Clerk#000000499,1993-07-16,6557.51,505,2,1
F,2-HIGH,1,HOUSEHOLD,3,Clerk#000000392,1993-09-20,3332.02,23,3,1
F,5-LOW,0,HOUSEHOLD,14,Clerk#000000294,1993-09-27,6693.36,403,4,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,9,Clerk#000000700,1993-08-29,-932.09,1420,1,1
F,5-LOW,1,BUILDING,1,Clerk#000000175,1993-08-30,3893.14,1330,4,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,7,Clerk#000000856,1993-09-23,7511.17,637,1,1
F,3-MEDIUM,2,MACHINERY,9,Clerk#000000307,1993-09-26,4910.48,1319,2,1
F,5-LOW,4,BUILDING,13,Clerk#000000464,1993-09-05,8404.9,602,4,1
F,1-URGENT,2,BUILDING,18,Clerk#000000635,1993-08-24,1685.9,508,0,1
F,5-LOW,3,AUTOMOBILE,7,Clerk#000000241,1993-08-17,7548.88,1324,4,1
F,5-LOW,4,FURNITURE,13,Clerk#000000770,1993-07-08,5744.89,625,4,1
F,3-MEDIUM,4,AUTOMOBILE,11,Clerk#000000435,1993-09-15,8136.53,1427,2,1
F,5-LOW,0,HOUSEHOLD,5,Clerk#000000660,1993-08-05,2753.54,10,4,1
F,4-NOT SPECIFIED,1,BUILDING,3,Clerk#000000869,1993-07-31,3857.34,13,1,1
F,5-LOW,0,MACHINERY,16,Clerk#000000512,1993-07-17,9786.36,1123,4,1
F,4-NOT SPECIFIED,3,MACHINERY,7,Clerk#000000658,1993-09-23,9311.17,731,1,1
F,1-URGENT,0,MACHINERY,14,Clerk#000000067,1993-09-04,3623.6,970,0,1
F,3-MEDIUM,2,BUILDING,12,Clerk#000000361,1993-07-14,594.5,1009,2,1
F,4-NOT SPECIFIED,4,BUILDING,11,Clerk#000000258,1993-09-04,2860.71,1040,1,1
F,1-URGENT,2,HOUSEHOLD,9,Clerk#000000830,1993-08-20,5073.58,130,0,1
F,2-HIGH,2,MACHINERY,21,Clerk#000000744,1993-07-15,9280.71,127,3,1
F,2-HIGH,0,FURNITURE,14,Clerk#000000468,1993-09-04,6935.16,913,3,1
F,5-LOW,2,HOUSEHOLD,9,Clerk#000000833,1993-09-24,6257.88,352,4,1
F,3-MEDIUM,1,MACHINERY,17,Clerk#000000323,1993-08-09,507.26,1166,2,1
F,2-HIGH,0,FURNITURE,16,Clerk#000000510,1993-07-26,-330.69,788,3,1
F,2-HIGH,0,MACHINERY,5,Clerk#000000099,1993-07-23,1230.79,914,3,1
F,3-MEDIUM,1,MACHINERY,24,Clerk#000000871,1993-09-16,1481.24,689,2,1
F,1-URGENT,4,BUILDING,11,Clerk#000000574,1993-08-05,2954.9,844,0,1
F,5-LOW,4,AUTOMOBILE,11,Clerk#000000936,1993-07-24,3883.18,1222,4,1
F,4-NOT SPECIFIED,1,AUTOMOBILE,24,Clerk#000000738,1993-07-02,3710.14,952,1,1
F,1-URGENT,2,HOUSEHOLD,8,Clerk#000000439,1993-08-22,-654.5,463,0,1
F,1-URGENT,2,FURNITURE,21,Clerk#000000545,1993-08-18,1601.6,884,0,1
F,3-MEDIUM,4,HOUSEHOLD,4,Clerk#000000307,1993-07-29,7979.48,1072,2,1
F,2-HIGH,4,BUILDING,10,Clerk#000000887,1993-08-24,511.69,805,3,1
F,2-HIGH,1,BUILDING,1,Clerk#000000835,1993-07-20,7568.07,229,3,1
F,5-LOW,4,HOUSEHOLD,11,Clerk#000000181,1993-09-29,4130.18,1118,4,1
F,5-LOW,0,FURNITURE,14,Clerk#000000047,1993-08-21,9281.72,1177,4,1
F,3-MEDIUM,0,BUILDING,5,Clerk#000000519,1993-08-23,3247.92,1082,2,1
F,3-MEDIUM,2,HOUSEHOLD,21,Clerk#000000397,1993-09-20,3195.96,604,2,1
F,3-MEDIUM,3,HOUSEHOLD,22,Clerk#000000982,1993-08-27,-109.73,286,2,1
F,1-URGENT,4,FURNITURE,4,Clerk#000000830,1993-08-10,774.23,1219,0,1
F,3-MEDIUM,3,BUILDING,23,Clerk#000000008,1993-07-28,4936.25,1037,2,1
F,1-URGENT,2,BUILDING,12,Clerk#000000009,1993-08-14,7447.99,1006,0,1
F,5-LOW,1,BUILDING,2,Clerk#000000753,1993-09-27,5973.1,476,4,1
F,3-MEDIUM,0,AUTOMOBILE,15,Clerk#000000802,1993-09-03,2669.01,776,2,1
F,5-LOW,2,MACHINERY,21,Clerk#000000623,1993-07-26,-117.31,1150,4,1
F,3-MEDIUM,2,MACHINERY,21,Clerk#000000644,1993-09-25,-117.31,1150,2,1
F,4-NOT SPECIFIED,3,BUILDING,23,Clerk#000000743,1993-09-07,5710.41,967,1,1
F,5-LOW,4,BUILDING,13,Clerk#000000153,1993-08-06,1317.56,568,4,1
F,3-MEDIUM,3,BUILDING,23,Clerk#000000363,1993-09-12,9465.15,1441,2,1
F,1-URGENT,2,FURNITURE,12,Clerk#000000807,1993-07-12,8982.79,370,0,1
F,2-HIGH,2,FURNITURE,21,Clerk#000000549,1993-08-19,2411.69,1423,3,1
F,2-HIGH,2,AUTOMOBILE,9,Clerk#000000947,1993-07-18,233.51,593,3,1
F,2-HIGH,2,BUILDING,9,Clerk#000000228,1993-08-16,8593.83,1345,3,1
F,4-NOT SPECIFIED,3,MACHINERY,6,Clerk#000000753,1993-09-10,1286.76,1021,1,1
F,5-LOW,1,BUILDING,17,Clerk#000000184,1993-09-27,6428.32,121,4,1
F,4-NOT SPECIFIED,3,MACHINERY,22,Clerk#000000710,1993-08-25,0.97,1141,1,1
F,2-HIGH,1,AUTOMOBILE,2,Clerk#000000602,1993-09-14,4718.23,730,3,1
F,5-LOW,0,MACHINERY,16,Clerk#000000727,1993-09-12,9566.15,691,4,1
F,2-HIGH,3,HOUSEHOLD,6,Clerk#000000841,1993-08-12,2273.5,431,3,1
F,2-HIGH,4,BUILDING,4,Clerk#000000082,1993-09-22,90.45,548,3,1
F,5-LOW,3,AUTOMOBILE,22,Clerk#000000491,1993-09-16,6718.78,374,4,1
F,5-LOW,3,FURNITURE,19,Clerk#000000994,1993-09-20,4695.12,154,4,1
F,1-URGENT,0,AUTOMOBILE,15,Clerk#000000410,1993-09-02,9139.52,253,0,1
F,4-NOT SPECIFIED,0,MACHINERY,15,Clerk#000000385,1993-07-27,1725.68,532,1,1
F,2-HIGH,4,AUTOMOBILE,4,Clerk#000000492,1993-07-11,8121.84,697,3,1
F,5-LOW,0,BUILDING,16,Clerk#000000804,1993-08-07,-716.1,109,4,1
F,1-URGENT,0,AUTOMOBILE,16,Clerk#000000348,1993-07-06,7315.94,44,0,1
F,3-MEDIUM,3,HOUSEHOLD,7,Clerk#000000545,1993-09-26,8555.12,1213,2,1
F,2-HIGH,2,FURNITURE,12,Clerk#000000221,1993-09-12,6019.32,1217,3,1
F,3-MEDIUM,4,BUILDING,4,Clerk#000000423,1993-09-07,-405.91,334,2,1
F,1-URGENT,1,FURNITURE,3,Clerk#000000251,1993-08-11,-949.28,875,0,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,16,Clerk#000000612,1993-08-21,8137.66,1210,1,1
F,3-MEDIUM,2,AUTOMOBILE,18,Clerk#000000374,1993-08-30,1137.67,323,2,1
F,3-MEDIUM,1,AUTOMOBILE,2,Clerk#000000661,1993-09-10,1330.85,1333,2,1
F,4-NOT SPECIFIED,4,BUILDING,20,Clerk#000000666,1993-09-06,2724.8,722,1,1
F,5-LOW,4,BUILDING,13,Clerk#000000647,1993-07-03,8938.14,826,4,1
F,1-URGENT,4,BUILDING,13,Clerk#000000150,1993-09-11,2837.96,1052,0,1
F,1-URGENT,3,MACHINERY,19,Clerk#000000296,1993-09-13,9904.28,43,0,1
F,5-LOW,1,AUTOMOBILE,3,Clerk#000000636,1993-08-08,-556.05,1207,4,1
F,4-NOT SPECIFIED,0,MACHINERY,16,Clerk#000000097,1993-08-08,6582.04,493,1,1
F,5-LOW,2,BUILDING,8,Clerk#000000345,1993-07-22,1215.18,152,4,1
F,5-LOW,0,MACHINERY,0,Clerk#000000885,1993-07-23,-270.59,337,4,1
F,3-MEDIUM,4,FURNITURE,4,Clerk#000000660,1993-08-11,9621.49,1195,2,1
F,1-URGENT,4,AUTOMOBILE,13,Clerk#000000889,1993-09-30,121.65,2,0,1
F,3-MEDIUM,2,AUTOMOBILE,18,Clerk#000000502,1993-09-26,9750.71,734,2,1
F,1-URGENT,4,AUTOMOBILE,20,Clerk#000000257,1993-07-15,-729.09,1435,0,1
F,4-NOT SPECIFIED,1,BUILDING,3,Clerk#000000982,1993-07-06,7149.43,1396,1,1
F,4-NOT SPECIFIED,1,HOUSEHOLD,17,Clerk#000000463,1993-08-24,2675.73,1378,1,1
F,1-URGENT,1,HOUSEHOLD,2,Clerk#000000144,1993-08-25,8993.23,571,0,1
F,2-HIGH,3,FURNITURE,6,Clerk#000000934,1993-09-08,1834.36,319,3,1
F,2-HIGH,1,BUILDING,1,Clerk#000000014,1993-08-25,2650.27,763,3,1
F,4-NOT SPECIFIED,0,FURNITURE,0,Clerk#000000119,1993-08-23,2130.98,751,1,1
F,5-LOW,4,AUTOMOBILE,10,Clerk#000000329,1993-08-18,6160.95,158,4,1
F,5-LOW,1,BUILDING,2,Clerk#000000121,1993-09-16,274.58,47,4,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,13,Clerk#000000756,1993-09-28,3694.81,791,1,1
F,5-LOW,1,HOUSEHOLD,3,Clerk#000000852,1993-07-05,794.47,5,4,1
F,1-URGENT,2,FURNITURE,8,Clerk#000000793,1993-09-22,1007.18,28,0,1
F,5-LOW,2,MACHINERY,12,Clerk#000000062,1993-08-24,0.97,1327,4,1
F,1-URGENT,2,AUTOMOBILE,18,Clerk#000000652,1993-08-05,1842.49,124,0,1
F,1-URGENT,0,BUILDING,5,Clerk#000000994,1993-08-08,9533.37,188,0,1
F,5-LOW,0,BUILDING,5,Clerk#000000194,1993-07-23,3247.92,1082,4,1
F,5-LOW,0,FURNITURE,5,Clerk#000000952,1993-07-17,3386.64,85,4,1
F,1-URGENT,4,MACHINERY,4,Clerk#000000329,1993-08-18,7503.3,1169,0,1
F,1-URGENT,4,HOUSEHOLD,20,Clerk#000000157,1993-07-28,1634.7,1366,0,1
F,1-URGENT,1,HOUSEHOLD,1,Clerk#000000397,1993-08-31,3679.65,917,0,1
F,2-HIGH,0,HOUSEHOLD,15,Clerk#000000650,1993-09-22,7734.64,1147,3,1
F,4-NOT SPECIFIED,2,HOUSEHOLD,9,Clerk#000000717,1993-07-27,5073.58,130,1,1
F,4-NOT SPECIFIED,2,HOUSEHOLD,8,Clerk#000000376,1993-08-19,6020.02,1129,1,1
F,3-MEDIUM,2,MACHINERY,9,Clerk#000000178,1993-08-01,8177.33,1165,2,1
F,3-MEDIUM,0,BUILDING,5,Clerk#000000993,1993-07-18,-178.52,1115,2,1
