l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,R,COLLECT COD,4,Manufacturer#3,3-MEDIUM,4,SHIP,2,0.08,11,Brand#34,20,JUMBO CAN,26,0,49158.24
F,F,R,NONE,3,Manufacturer#3,5-LOW,2,FOB,4,0.05,19,Brand#33,9,MED PKG,37,1,3702.501
F,F,A,DELIVER IN PERSON,4,Manufacturer#4,5-LOW,2,AIR,2,0.02,20,Brand#41,9,WRAP BAG,13,1,54892.728
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,2-HIGH,4,REG AIR,2,0.01,11,Brand#22,4,SM PACK,37,2,4666.89
F,F,R,COLLECT COD,0,Manufacturer#1,2-HIGH,4,AIR,3,0.04,15,Brand#11,4,JUMBO BAG,33,2,37463.1924
F,P,A,COLLECT COD,2,Manufacturer#1,2-HIGH,0,REG AIR,2,0.06,12,Brand#15,14,SM PKG,46,3,24958.248
O,P,N,NONE,0,Manufacturer#5,2-HIGH,0,REG AIR,1,0,15,Brand#52,14,MED BOX,21,3,26380.93
O,P,N,DELIVER IN PERSON,1,Manufacturer#2,2-HIGH,0,FOB,5,0.03,24,Brand#22,14,MED JAR,26,3,30292.3776
F,P,N,COLLECT COD,2,Manufacturer#2,2-HIGH,0,RAIL,4,0.04,18,Brand#21,14,LG PACK,29,3,23639.0112
F,P,A,COLLECT COD,1,Manufacturer#3,2-HIGH,0,SHIP,3,0.04,2,Brand#35,14,SM CASE,15,3,17888.994
F,F,R,COLLECT COD,2,Manufacturer#1,4-NOT SPECIFIED,4,RAIL,1,0.03,9,Brand#13,11,JUMBO CAN,19,4,34260.432
F,F,A,NONE,3,Manufacturer#2,2-HIGH,1,MAIL,2,0.05,7,Brand#22,17,SM PKG,19,5,17387.5779
F,F,N,TAKE BACK RETURN,4,Manufacturer#4,1-URGENT,4,RAIL,6,0.06,11,Brand#45,4,LG JAR,47,6,34538.016
F,F,N,TAKE BACK RETURN,2,Manufacturer#5,1-URGENT,4,REG AIR,3,0.06,12,Brand#53,4,SM BAG,11,6,53651.1885
F,F,R,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,4,REG AIR,1,0,17,Brand#35,4,JUMBO BOX,27,6,22069.4432
F,F,N,TAKE BACK RETURN,0,Manufacturer#5,1-URGENT,4,TRUCK,4,0.07,16,Brand#51,4,WRAP BOX,38,6,41450.5896
F,F,R,DELIVER IN PERSON,4,Manufacturer#2,1-URGENT,4,TRUCK,5,0.03,11,Brand#23,4,WRAP DRUM,2,6,67939.8865
F,F,R,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,1,FOB,4,0.03,14,Brand#52,2,SM PACK,43,7,30731.3557
F,F,A,TAKE BACK RETURN,1,Manufacturer#5,1-URGENT,1,RAIL,2,0.05,24,Brand#52,2,JUMBO CAN,46,7,55991.404
F,F,N,COLLECT COD,4,Manufacturer#2,2-HIGH,2,AIR,4,0.03,10,Brand#22,18,MED PACK,36,8,8036.415
F,F,R,NONE,1,Manufacturer#4,2-HIGH,2,FOB,1,0,2,Brand#41,18,JUMBO PACK,22,8,21867.874
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,2,RAIL,2,0.08,14,Brand#34,18,JUMBO DRUM,43,8,69359.976
F,F,R,COLLECT COD,1,Manufacturer#5,2-HIGH,2,TRUCK,6,0.04,2,Brand#54,18,JUMBO DRUM,40,8,38786.1408
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,2-HIGH,2,MAIL,3,0,9,Brand#51,18,LG PACK,18,8,53131.353
F,F,A,DELIVER IN PERSON,0,Manufacturer#2,2-HIGH,3,MAIL,1,0.06,0,Brand#24,7,JUMBO JAR,34,9,18815.979
F,F,A,TAKE BACK RETURN,3,Manufacturer#4,5-LOW,0,AIR,1,0.03,19,Brand#42,14,WRAP BAG,19,10,42851.97
O,O,N,DELIVER IN PERSON,4,Manufacturer#2,2-HIGH,2,RAIL,1,0.04,10,Brand#25,18,LG CAN,46,11,57218.9891
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,3-MEDIUM,4,AIR,1,0.04,9,Brand#43,11,SM PKG,15,12,70850.934
F,F,R,NONE,0,Manufacturer#1,5-LOW,4,RAIL,1,0.02,5,Brand#12,10,SM PACK,7,13,45836.118
F,F,R,DELIVER IN PERSON,4,Manufacturer#4,5-LOW,4,REG AIR,3,0,4,Brand#41,10,SM PKG,45,13,42423.1776
F,F,A,NONE,4,Manufacturer#4,5-LOW,4,TRUCK,2,0.07,4,Brand#45,10,JUMBO BAG,20,13,1604.8896
F,F,R,NONE,2,Manufacturer#5,5-LOW,4,MAIL,4,0.07,12,Brand#55,10,SM CASE,2,13,36541.8788
F,F,R,NONE,4,Manufacturer#2,5-LOW,4,TRUCK,6,0.01,13,Brand#22,10,WRAP CAN,45,13,12292.9191
F,F,N,NONE,4,Manufacturer#5,4-NOT SPECIFIED,2,MAIL,4,0.08,20,Brand#55,12,JUMBO BOX,6,14,8380.7787
F,F,A,NONE,3,Manufacturer#2,4-NOT SPECIFIED,2,FOB,5,0.03,23,Brand#24,12,JUMBO CAN,6,14,68108.4663
F,F,R,COLLECT COD,3,Manufacturer#1,4-NOT SPECIFIED,2,REG AIR,6,0.01,22,Brand#11,12,SM DRUM,22,14,60581.2137
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,4-NOT SPECIFIED,2,FOB,1,0.07,15,Brand#33,12,MED DRUM,11,14,50697.795
F,F,R,DELIVER IN PERSON,3,Manufacturer#5,4-NOT SPECIFIED,2,TRUCK,7,0.08,23,Brand#53,12,MED CAN,14,14,62224.2552
F,F,A,NONE,1,Manufacturer#4,4-NOT SPECIFIED,3,FOB,1,0,24,Brand#43,6,LG CAN,42,15,6112.7072
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,5-LOW,1,SHIP,1,0.02,4,Brand#52,3,LG PKG,1,16,51186.5225
F,F,R,DELIVER IN PERSON,4,Manufacturer#5,5-LOW,2,SHIP,1,0.01,10,Brand#53,8,MED PKG,50,17,28909.818
F,F,R,TAKE BACK RETURN,3,Manufacturer#5,1-URGENT,4,SHIP,3,0,6,Brand#55,13,JUMBO BAG,22,18,11432.2944
F,F,A,DELIVER IN PERSON,3,Manufacturer#1,1-URGENT,2,REG AIR,5,0.06,22,Brand#12,18,JUMBO CAN,41,19,18951.2916
F,F,R,NONE,0,Manufacturer#2,1-URGENT,4,TRUCK,4,0.07,14,Brand#21,13,WRAP CASE,29,18,5567.0748
F,F,A,NONE,0,Manufacturer#5,1-URGENT,4,SHIP,1,0.02,15,Brand#51,13,MED JAR,47,18,12658.5288
F,F,N,COLLECT COD,3,Manufacturer#3,1-URGENT,4,RAIL,2,0.02,23,Brand#31,13,WRAP PACK,18,18,18420.402
F,F,A,COLLECT COD,1,Manufacturer#4,1-URGENT,2,RAIL,1,0.03,2,Brand#41,12,JUMBO PKG,3,20,37418.4384
F,F,R,DELIVER IN PERSON,0,Manufacturer#2,1-URGENT,2,SHIP,2,0.08,0,Brand#22,12,WRAP DRUM,39,20,44133.047
F,F,A,NONE,0,Manufacturer#1,4-NOT SPECIFIED,0,TRUCK,6,0.05,0,Brand#13,5,LG PKG,38,21,54388.62
F,F,A,COLLECT COD,2,Manufacturer#1,3-MEDIUM,1,FOB,3,0.07,18,Brand#12,24,JUMBO PKG,28,22,61025.1096
F,F,R,NONE,2,Manufacturer#3,3-MEDIUM,1,FOB,6,0.08,21,Brand#33,24,MED PACK,28,22,48678.03
F,F,A,NONE,3,Manufacturer#3,3-MEDIUM,1,RAIL,2,0.05,23,Brand#32,24,LG PACK,16,22,46555.8016
F,F,A,NONE,4,Manufacturer#5,3-MEDIUM,1,REG AIR,5,0.01,4,Brand#54,24,JUMBO BAG,9,22,46832.508
F,F,N,TAKE BACK RETURN,0,Manufacturer#5,3-MEDIUM,1,MAIL,4,0.01,16,Brand#51,24,WRAP CASE,34,22,30647.1438
F,F,R,NONE,2,Manufacturer#4,3-MEDIUM,1,FOB,1,0.01,21,Brand#41,24,MED BOX,46,22,1440.1688
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,3-MEDIUM,1,AIR,7,0.07,14,Brand#34,24,JUMBO DRUM,43,22,44038.08
F,F,R,COLLECT COD,4,Manufacturer#2,4-NOT SPECIFIED,0,MAIL,4,0.08,4,Brand#24,5,MED CASE,4,21,16068.4728
F,F,R,NONE,2,Manufacturer#3,4-NOT SPECIFIED,0,TRUCK,5,0.07,12,Brand#35,5,LG PACK,37,21,9719.5416
F,F,R,NONE,2,Manufacturer#4,4-NOT SPECIFIED,0,MAIL,1,0.06,18,Brand#45,5,WRAP BAG,23,21,4115.931
F,F,A,DELIVER IN PERSON,2,Manufacturer#1,5-LOW,4,REG AIR,1,0.06,21,Brand#11,10,LG CAN,16,23,46409.78
F,F,R,NONE,3,Manufacturer#5,2-HIGH,0,SHIP,2,0.07,19,Brand#54,14,MED JAR,13,24,53007.219
