l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,cn_regionkey,c_mktsegment,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,R,DELIVER IN PERSON,3,Manufacturer#4,0,HOUSEHOLD,5,0.07,0.04,6,Brand#41,16,WRAP PKG,2,0,0
F,F,R,COLLECT COD,1,Manufacturer#2,1,HOUSEHOLD,7,0.04,0.08,24,Brand#24,2,MED PKG,13,0,0
F,F,R,NONE,2,Manufacturer#4,1,HOUSEHOLD,1,0.06,0.09,8,Brand#42,1,LG PACK,44,1,0
F,F,R,TAKE BACK RETURN,1,Manufacturer#4,0,BUILDING,2,0.07,0.08,17,Brand#44,15,MED BAG,6,1,0
F,F,A,DELIVER IN PERSON,3,Manufacturer#1,2,HOUSEHOLD,3,0.02,0.01,6,Brand#12,21,WRAP JAR,41,0,0
F,F,A,TAKE BACK RETURN,3,Manufacturer#1,4,AUTOMOBILE,1,0.08,0.05,19,Brand#12,10,LG CASE,17,1,1
F,F,R,NONE,0,Manufacturer#2,2,MACHINERY,1,0.06,0,14,Brand#21,12,MED PKG,27,1,0
F,F,A,NONE,2,Manufacturer#3,1,MACHINERY,1,0.02,0.08,21,Brand#32,3,LG PKG,36,0,1
F,F,R,COLLECT COD,3,Manufacturer#1,3,MACHINERY,2,0.08,0.03,22,Brand#13,23,MED CAN,30,1,0
F,F,A,DELIVER IN PERSON,4,Manufacturer#1,0,AUTOMOBILE,3,0.01,0.07,4,Brand#14,5,WRAP PKG,40,0,0
F,F,R,COLLECT COD,0,Manufacturer#3,4,AUTOMOBILE,3,0.01,0.06,15,Brand#33,10,JUMBO CASE,34,0,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,0,AUTOMOBILE,4,0.03,0.03,19,Brand#25,0,WRAP BOX,43,0,1
F,F,A,TAKE BACK RETURN,2,Manufacturer#3,3,BUILDING,5,0.04,0.06,12,Brand#35,7,SM CAN,28,1,0
F,F,R,COLLECT COD,3,Manufacturer#1,4,FURNITURE,6,0.04,0.04,19,Brand#12,4,SM BAG,46,0,1
F,F,A,TAKE BACK RETURN,1,Manufacturer#2,4,FURNITURE,1,0.07,0.1,1,Brand#21,4,SM BAG,13,1,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#1,2,MACHINERY,6,0.04,0.04,22,Brand#14,8,JUMBO PACK,42,1,0
F,F,R,NONE,2,Manufacturer#5,2,MACHINERY,3,0.07,0.06,8,Brand#53,8,JUMBO JAR,28,0,0
F,F,R,DELIVER IN PERSON,0,Manufacturer#2,2,HOUSEHOLD,6,0.06,0.02,0,Brand#21,8,SM JAR,7,0,1
F,F,A,NONE,1,Manufacturer#5,1,FURNITURE,2,0.08,0.04,24,Brand#55,3,WRAP BAG,45,1,1
F,F,R,DELIVER IN PERSON,3,Manufacturer#3,0,BUILDING,2,0.06,0.09,23,Brand#35,0,JUMBO DRUM,24,1,1
F,F,A,NONE,1,Manufacturer#4,3,MACHINERY,1,0.07,0.09,17,Brand#41,23,SM BAG,34,0,1
F,F,R,NONE,2,Manufacturer#3,3,AUTOMOBILE,4,0.04,0.1,9,Brand#33,19,JUMBO DRUM,50,1,1
F,F,A,NONE,2,Manufacturer#3,2,AUTOMOBILE,3,0.04,0.03,18,Brand#33,21,MED PKG,49,1,1
F,F,R,COLLECT COD,0,Manufacturer#2,4,BUILDING,1,0.01,0.09,16,Brand#22,20,JUMBO CASE,1,0,0
F,F,A,NONE,4,Manufacturer#4,2,MACHINERY,3,0.05,0.06,10,Brand#43,18,SM CASE,23,0,0
F,F,R,COLLECT COD,3,Manufacturer#3,0,AUTOMOBILE,2,0.03,0.03,22,Brand#31,0,MED PACK,25,0,0
F,F,R,COLLECT COD,2,Manufacturer#4,1,AUTOMOBILE,3,0.03,0.02,12,Brand#42,3,WRAP DRUM,28,1,0
F,F,R,COLLECT COD,2,Manufacturer#3,1,BUILDING,6,0.06,0,8,Brand#34,1,LG CASE,9,1,1
F,F,A,NONE,2,Manufacturer#2,4,HOUSEHOLD,1,0.06,0.07,9,Brand#25,11,JUMBO JAR,49,1,1
F,F,A,NONE,1,Manufacturer#1,1,MACHINERY,2,0.01,0.04,24,Brand#11,2,JUMBO DRUM,27,1,0
F,F,A,COLLECT COD,2,Manufacturer#4,1,HOUSEHOLD,4,0.06,0.06,21,Brand#43,2,JUMBO BOX,11,1,1
F,F,R,NONE,1,Manufacturer#4,2,FURNITURE,2,0.05,0.07,1,Brand#43,12,WRAP CAN,44,0,0
F,F,A,DELIVER IN PERSON,3,Manufacturer#1,4,MACHINERY,1,0.03,0.1,6,Brand#13,13,JUMBO BOX,28,0,0
F,F,R,DELIVER IN PERSON,0,Manufacturer#5,1,MACHINERY,1,0.04,0.05,16,Brand#52,3,LG DRUM,31,1,0
F,F,A,DELIVER IN PERSON,3,Manufacturer#3,3,HOUSEHOLD,6,0.08,0.01,6,Brand#34,7,MED CAN,34,0,0
F,F,R,TAKE BACK RETURN,3,Manufacturer#2,4,FURNITURE,1,0.03,0.09,19,Brand#21,13,SM BAG,13,0,0
F,F,R,COLLECT COD,1,Manufacturer#2,3,FURNITURE,6,0.07,0.08,2,Brand#21,23,JUMBO PKG,32,0,0
F,F,A,TAKE BACK RETURN,3,Manufacturer#1,2,AUTOMOBILE,6,0.06,0.02,19,Brand#14,21,LG DRUM,17,1,1
F,F,A,NONE,3,Manufacturer#2,4,AUTOMOBILE,1,0.02,0.09,7,Brand#25,10,SM CAN,1,0,1
F,F,R,COLLECT COD,4,Manufacturer#4,1,AUTOMOBILE,3,0.03,0.02,4,Brand#45,3,MED JAR,40,0,1
F,F,R,NONE,2,Manufacturer#2,0,FURNITURE,1,0.03,0.07,8,Brand#22,15,WRAP JAR,23,0,0
F,F,A,COLLECT COD,1,Manufacturer#4,1,FURNITURE,2,0.03,0.1,24,Brand#42,24,WRAP BOX,1,1,1
F,F,A,COLLECT COD,1,Manufacturer#5,4,BUILDING,1,0.03,0.07,24,Brand#55,4,JUMBO BOX,46,0,0
F,F,A,COLLECT COD,0,Manufacturer#3,0,HOUSEHOLD,2,0.01,0.03,14,Brand#32,5,WRAP BOX,20,0,1
F,F,R,NONE,2,Manufacturer#1,0,HOUSEHOLD,5,0.01,0.05,18,Brand#15,15,JUMBO PACK,27,1,1
F,F,A,NONE,3,Manufacturer#2,4,MACHINERY,7,0.06,0.07,19,Brand#22,13,WRAP CAN,1,1,0
F,F,R,COLLECT COD,1,Manufacturer#2,1,AUTOMOBILE,4,0.08,0.09,1,Brand#22,2,JUMBO CASE,22,1,1
F,F,A,TAKE BACK RETURN,3,Manufacturer#5,0,HOUSEHOLD,3,0.01,0.03,22,Brand#54,5,MED BOX,48,0,1
F,F,R,COLLECT COD,2,Manufacturer#2,1,BUILDING,2,0.03,0.04,18,Brand#21,1,SM JAR,7,0,1
F,F,A,NONE,2,Manufacturer#1,2,AUTOMOBILE,5,0.04,0,21,Brand#15,21,JUMBO JAR,3,1,1
F,F,R,DELIVER IN PERSON,3,Manufacturer#1,2,AUTOMOBILE,1,0,0.04,22,Brand#14,21,JUMBO PACK,17,1,1
F,F,R,COLLECT COD,2,Manufacturer#4,0,BUILDING,1,0.07,0.03,12,Brand#42,16,WRAP DRUM,28,1,1
F,F,A,DELIVER IN PERSON,2,Manufacturer#2,4,HOUSEHOLD,3,0.03,0.08,9,Brand#21,4,JUMBO BAG,41,1,0
F,F,A,NONE,0,Manufacturer#4,1,HOUSEHOLD,4,0.05,0.02,14,Brand#44,2,SM DRUM,12,1,0
F,F,A,NONE,1,Manufacturer#1,4,BUILDING,1,0,0.02,24,Brand#15,11,SM JAR,24,1,1
F,F,R,TAKE BACK RETURN,3,Manufacturer#5,2,BUILDING,2,0.04,0.07,22,Brand#51,21,SM PACK,33,0,1
F,F,A,COLLECT COD,2,Manufacturer#2,0,MACHINERY,3,0.07,0.02,8,Brand#25,15,LG CASE,39,0,1
F,F,A,DELIVER IN PERSON,2,Manufacturer#5,4,MACHINERY,7,0,0.06,21,Brand#55,13,JUMBO BAG,19,0,0
F,F,R,COLLECT COD,0,Manufacturer#2,4,MACHINERY,5,0.01,0.02,14,Brand#22,13,MED CASE,31,1,0
F,F,A,COLLECT COD,4,Manufacturer#4,4,FURNITURE,2,0.03,0.03,20,Brand#41,11,MED BAG,26,1,1
F,F,R,TAKE BACK RETURN,1,Manufacturer#4,0,BUILDING,3,0.06,0.1,17,Brand#45,5,WRAP CAN,11,0,1
F,F,A,NONE,3,Manufacturer#1,4,MACHINERY,7,0.05,0.08,7,Brand#13,10,LG CASE,1,1,0
F,F,R,TAKE BACK RETURN,4,Manufacturer#4,3,BUILDING,2,0.06,0.06,4,Brand#45,22,MED JAR,40,1,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#5,1,MACHINERY,5,0.05,0.05,7,Brand#51,1,LG CASE,24,1,0
