l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,groupcol,aggcol
F,F,R,COLLECT COD,2,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,2,0.05,1994-12-03,1995-02-15,0,68414.2199
O,O,N,NONE,2,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,1,0.08,1996-08-20,1996-10-27,1,42653.637
F,F,R,NONE,0,Manufacturer#3,1-URGENT,3,HOUSEHOLD,REG AIR,1,0.08,1994-12-11,1995-01-18,0,34691.7153
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,3,HOUSEHOLD,TRUCK,5,0.07,1994-12-11,1995-02-13,0,16402.1611
O,O,N,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,4,BUILDING,RAIL,4,0.08,1996-09-17,1996-11-07,1,9948.5752
F,F,R,TAKE BACK RETURN,3,Manufacturer#4,4-NOT SPECIFIED,4,FURNITURE,MAIL,4,0,1995-01-02,1995-03-19,2,15556.9904
O,O,N,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,REG AIR,3,0.06,1995-10-11,1995-11-23,2,837.96
F,F,R,COLLECT COD,0,Manufacturer#1,5-LOW,4,HOUSEHOLD,TRUCK,1,0.06,1992-11-27,1993-01-29,3,41911.5
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,4,BUILDING,REG AIR,1,0.02,1998-03-14,1998-05-25,4,13090.2624
O,O,N,NONE,3,Manufacturer#3,4-NOT SPECIFIED,2,MACHINERY,MAIL,4,0.05,1996-04-05,1996-05-19,1,26129.555
O,O,N,NONE,2,Manufacturer#4,2-HIGH,0,BUILDING,FOB,4,0.01,1998-07-07,1998-09-02,4,5829.628
F,F,R,COLLECT COD,2,Manufacturer#3,5-LOW,0,MACHINERY,RAIL,5,0.02,1992-04-09,1992-06-22,3,17039.4861
O,O,N,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,0,AUTOMOBILE,SHIP,1,0,1997-08-12,1997-10-14,5,7011.46
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,5-LOW,4,BUILDING,FOB,2,0,1992-09-13,1992-11-06,3,48044.6064
F,F,A,COLLECT COD,3,Manufacturer#5,1-URGENT,3,HOUSEHOLD,FOB,2,0.05,1994-04-19,1994-06-04,0,34024.984
F,F,A,COLLECT COD,3,Manufacturer#5,4-NOT SPECIFIED,2,MACHINERY,TRUCK,7,0.06,1992-03-22,1992-04-28,3,48299.184
F,F,A,DELIVER IN PERSON,1,Manufacturer#4,4-NOT SPECIFIED,2,MACHINERY,MAIL,5,0.01,1992-03-22,1992-06-07,3,19438.664
F,F,R,DELIVER IN PERSON,0,Manufacturer#2,5-LOW,3,BUILDING,AIR,4,0.05,1993-03-31,1993-05-27,6,4950.0072
F,F,R,DELIVER IN PERSON,3,Manufacturer#3,5-LOW,2,AUTOMOBILE,MAIL,6,0.04,1995-02-26,1995-04-12,2,21360.285
O,O,N,NONE,3,Manufacturer#4,4-NOT SPECIFIED,1,FURNITURE,FOB,2,0,1998-04-14,1998-07-07,4,34533.485
O,O,N,NONE,3,Manufacturer#4,4-NOT SPECIFIED,1,FURNITURE,RAIL,1,0.01,1998-04-14,1998-07-08,4,23785.19
F,F,A,COLLECT COD,2,Manufacturer#5,3-MEDIUM,2,AUTOMOBILE,AIR,3,0.02,1994-02-09,1994-03-27,0,9712.7226
F,F,R,COLLECT COD,0,Manufacturer#3,2-HIGH,0,BUILDING,MAIL,1,0.05,1992-08-09,1992-09-26,3,2231.766
F,F,A,COLLECT COD,3,Manufacturer#5,5-LOW,4,HOUSEHOLD,REG AIR,3,0.03,1994-01-13,1994-03-04,0,11789.463
F,F,A,TAKE BACK RETURN,0,Manufacturer#3,5-LOW,4,HOUSEHOLD,MAIL,1,0.08,1994-01-13,1994-04-04,0,2213.1025
F,F,R,COLLECT COD,1,Manufacturer#3,1-URGENT,4,AUTOMOBILE,FOB,1,0.04,1992-09-11,1992-10-30,3,52636.1871
O,O,N,COLLECT COD,0,Manufacturer#5,5-LOW,0,MACHINERY,FOB,3,0.06,1995-07-15,1995-08-19,2,7052.381
O,O,N,COLLECT COD,3,Manufacturer#4,5-LOW,1,FURNITURE,MAIL,3,0.06,1995-12-23,1996-03-21,2,2141.5101
O,O,N,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,1,AUTOMOBILE,MAIL,1,0.04,1997-03-30,1997-05-15,5,16524.0675
F,F,A,DELIVER IN PERSON,3,Manufacturer#4,4-NOT SPECIFIED,1,FURNITURE,MAIL,6,0,1992-07-30,1992-10-10,3,607.6408
O,O,N,DELIVER IN PERSON,3,Manufacturer#5,3-MEDIUM,2,HOUSEHOLD,RAIL,4,0.05,1996-10-20,1996-12-07,1,31421.0456
F,F,A,NONE,2,Manufacturer#3,5-LOW,1,FURNITURE,MAIL,5,0.04,1994-07-02,1994-09-25,0,36705.6525
O,O,N,COLLECT COD,2,Manufacturer#3,5-LOW,4,AUTOMOBILE,TRUCK,3,0.04,1997-07-18,1997-10-04,5,5289.6328
O,O,N,NONE,1,Manufacturer#3,4-NOT SPECIFIED,0,BUILDING,SHIP,1,0.01,1998-04-09,1998-05-25,4,31072.84
F,F,R,DELIVER IN PERSON,3,Manufacturer#4,5-LOW,0,HOUSEHOLD,MAIL,5,0.07,1994-05-02,1994-07-29,0,16915.8816
O,O,N,DELIVER IN PERSON,3,Manufacturer#3,5-LOW,4,MACHINERY,REG AIR,2,0.07,1995-05-28,1995-07-15,2,17583.696
F,F,A,COLLECT COD,3,Manufacturer#1,1-URGENT,4,AUTOMOBILE,MAIL,3,0,1993-09-30,1993-11-05,6,2678.58
O,O,N,COLLECT COD,3,Manufacturer#5,1-URGENT,0,BUILDING,AIR,3,0.04,1995-12-14,1996-02-23,2,20243.8312
O,O,N,COLLECT COD,1,Manufacturer#2,2-HIGH,1,AUTOMOBILE,RAIL,5,0.02,1996-08-25,1996-11-01,1,13899.51
O,O,N,DELIVER IN PERSON,2,Manufacturer#3,2-HIGH,1,AUTOMOBILE,REG AIR,6,0.05,1996-08-25,1996-11-10,1,39486.9345
F,F,R,DELIVER IN PERSON,0,Manufacturer#3,1-URGENT,2,AUTOMOBILE,REG AIR,1,0.02,1993-11-10,1994-01-23,6,52410.43
O,O,N,NONE,2,Manufacturer#3,4-NOT SPECIFIED,4,BUILDING,MAIL,2,0.05,1995-12-10,1996-02-19,2,12235.2175
F,F,A,NONE,3,Manufacturer#4,3-MEDIUM,2,MACHINERY,REG AIR,3,0.08,1993-12-27,1994-03-02,6,3711.6775
F,F,R,DELIVER IN PERSON,3,Manufacturer#5,1-URGENT,2,AUTOMOBILE,REG AIR,2,0.06,1993-08-05,1993-10-07,6,23210.656
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,1,MACHINERY,AIR,1,0.08,1994-09-24,1994-11-28,0,23390.7576
O,O,N,DELIVER IN PERSON,3,Manufacturer#3,4-NOT SPECIFIED,4,FURNITURE,AIR,4,0.02,1996-01-11,1996-04-07,1,3104.428
O,O,N,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,FOB,1,0.03,1995-12-25,1996-02-08,2,13464.055
O,O,N,COLLECT COD,2,Manufacturer#4,1-URGENT,3,AUTOMOBILE,TRUCK,4,0.06,1998-01-13,1998-03-13,4,27863.872
O,O,N,COLLECT COD,0,Manufacturer#2,2-HIGH,2,AUTOMOBILE,AIR,2,0,1996-11-01,1996-12-27,1,48723.2
F,F,A,NONE,3,Manufacturer#3,4-NOT SPECIFIED,0,BUILDING,RAIL,2,0.06,1992-04-10,1992-07-07,3,1861.552
O,O,N,DELIVER IN PERSON,1,Manufacturer#3,5-LOW,2,MACHINERY,RAIL,2,0.07,1997-07-07,1997-09-19,5,3089.1585
O,O,N,NONE,0,Manufacturer#1,5-LOW,3,HOUSEHOLD,SHIP,3,0.07,1996-07-29,1996-10-09,1,24749.76
O,P,N,NONE,1,Manufacturer#3,2-HIGH,1,FURNITURE,REG AIR,3,0.06,1995-05-09,1995-08-06,2,18537.082
O,P,N,COLLECT COD,0,Manufacturer#2,2-HIGH,1,FURNITURE,FOB,2,0.05,1995-05-09,1995-08-06,2,1010.582
O,P,N,DELIVER IN PERSON,2,Manufacturer#5,5-LOW,3,HOUSEHOLD,RAIL,4,0.04,1995-04-30,1995-06-16,2,34687.7024
O,O,N,NONE,4,Manufacturer#2,2-HIGH,0,BUILDING,FOB,3,0.02,1998-07-29,1998-10-07,4,17039.6244
F,F,R,DELIVER IN PERSON,0,Manufacturer#3,3-MEDIUM,3,MACHINERY,REG AIR,5,0.07,1994-01-29,1994-03-25,0,18904.3968
O,O,N,DELIVER IN PERSON,3,Manufacturer#3,3-MEDIUM,0,AUTOMOBILE,AIR,6,0.03,1998-01-28,1998-03-31,4,27585.3235
F,F,R,COLLECT COD,1,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,SHIP,1,0.05,1994-01-27,1994-03-15,0,15521.68
O,O,N,COLLECT COD,2,Manufacturer#1,2-HIGH,2,MACHINERY,FOB,1,0.06,1995-10-28,1995-12-14,2,-2.4848
O,O,N,COLLECT COD,0,Manufacturer#3,2-HIGH,2,AUTOMOBILE,REG AIR,1,0.04,1995-04-06,1995-05-15,2,37044.7608
O,O,N,COLLECT COD,1,Manufacturer#1,1-URGENT,1,FURNITURE,TRUCK,5,0,1998-03-27,1998-05-14,4,25226.072
O,O,N,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,3,AUTOMOBILE,TRUCK,5,0,1996-03-29,1996-06-21,1,5280.44
F,F,A,TAKE BACK RETURN,2,Manufacturer#2,1-URGENT,4,HOUSEHOLD,TRUCK,5,0.07,1993-05-27,1993-07-16,6,1751.568
F,F,A,NONE,4,Manufacturer#4,3-MEDIUM,0,AUTOMOBILE,RAIL,2,0.08,1995-02-25,1995-04-09,2,42712.9416
F,F,A,DELIVER IN PERSON,3,Manufacturer#5,2-HIGH,4,FURNITURE,SHIP,2,0.02,1995-03-13,1995-05-24,2,27748.5488
O,O,N,COLLECT COD,3,Manufacturer#1,1-URGENT,4,AUTOMOBILE,FOB,3,0.07,1998-07-31,1998-10-04,4,33601.86
