l_linestatus,o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,NONE,0,Manufacturer#4,3-MEDIUM,2,BUILDING,FOB,4,0.05,0,Brand#43,9,LG PKG,47,0,51741.207
F,F,DELIVER IN PERSON,4,Manufacturer#3,3-MEDIUM,2,BUILDING,REG AIR,2,0.04,11,Brand#31,9,JUMBO CASE,17,0,38779.884
F,F,COLLECT COD,1,Manufacturer#4,3-MEDIUM,2,BUILDING,TRUCK,3,0.01,24,Brand#41,9,JUMBO JAR,39,0,19649.1445
F,F,COLLECT COD,2,Manufacturer#1,3-MEDIUM,4,BUILDING,RAIL,2,0.02,18,Brand#15,11,JUMBO BAG,3,1,54409.4824
F,F,DELIVER IN PERSON,4,Manufacturer#2,3-MEDIUM,4,BUILDING,AIR,1,0.07,10,Brand#23,11,JUMBO CAN,34,1,75655.4112
F,F,COLLECT COD,0,Manufacturer#4,1-URGENT,2,MACHINERY,SHIP,3,0.03,15,Brand#44,12,JUMBO BOX,46,2,52102.636
F,F,DELIVER IN PERSON,3,Manufacturer#2,1-URGENT,2,MACHINERY,SHIP,2,0.02,23,Brand#21,12,JUMBO CASE,40,2,18755.2512
F,F,NONE,3,Manufacturer#4,4-NOT SPECIFIED,4,HOUSEHOLD,SHIP,3,0.03,19,Brand#45,20,WRAP BOX,50,3,12702.5808
F,F,COLLECT COD,3,Manufacturer#4,4-NOT SPECIFIED,4,HOUSEHOLD,MAIL,2,0.03,22,Brand#41,20,SM DRUM,39,3,9583.392
F,F,DELIVER IN PERSON,4,Manufacturer#4,4-NOT SPECIFIED,4,HOUSEHOLD,RAIL,4,0.06,10,Brand#45,20,MED DRUM,31,3,23318.964
F,F,DELIVER IN PERSON,4,Manufacturer#2,3-MEDIUM,0,MACHINERY,SHIP,3,0.02,13,Brand#21,0,LG PKG,32,4,1120.56
F,F,NONE,2,Manufacturer#3,3-MEDIUM,3,BUILDING,RAIL,2,0.03,18,Brand#33,19,JUMBO PKG,48,5,82340.433
F,F,DELIVER IN PERSON,0,Manufacturer#1,1-URGENT,0,AUTOMOBILE,TRUCK,2,0.03,5,Brand#13,15,LG DRUM,44,6,14106.5405
F,F,NONE,3,Manufacturer#4,1-URGENT,0,AUTOMOBILE,MAIL,1,0.08,7,Brand#43,15,SM CASE,48,6,22719.424
F,F,DELIVER IN PERSON,1,Manufacturer#1,3-MEDIUM,3,BUILDING,SHIP,2,0.05,3,Brand#15,19,JUMBO PKG,24,7,40488.93
F,F,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,3,FURNITURE,FOB,1,0.03,3,Brand#22,19,MED BOX,12,8,74271.7976
F,F,DELIVER IN PERSON,2,Manufacturer#1,3-MEDIUM,1,MACHINERY,REG AIR,1,0.04,21,Brand#11,3,SM CASE,31,9,34404.057
F,F,DELIVER IN PERSON,4,Manufacturer#4,4-NOT SPECIFIED,2,FURNITURE,FOB,1,0.02,20,Brand#45,21,SM CASE,12,10,70607.1168
F,F,COLLECT COD,0,Manufacturer#2,4-NOT SPECIFIED,2,FURNITURE,FOB,3,0.04,5,Brand#22,21,LG CASE,23,10,15245.5268
F,F,NONE,4,Manufacturer#2,2-HIGH,3,FURNITURE,SHIP,7,0.01,10,Brand#22,23,JUMBO PKG,36,11,37947.852
F,F,NONE,2,Manufacturer#1,2-HIGH,3,FURNITURE,MAIL,6,0,12,Brand#13,23,SM BAG,9,11,34349.436
F,F,COLLECT COD,3,Manufacturer#4,2-HIGH,3,FURNITURE,REG AIR,3,0.07,22,Brand#41,23,LG BAG,16,11,8851.5224
F,F,TAKE BACK RETURN,2,Manufacturer#3,1-URGENT,4,FURNITURE,TRUCK,2,0.04,18,Brand#33,13,MED BAG,11,12,62533.296
F,F,COLLECT COD,0,Manufacturer#3,1-URGENT,4,MACHINERY,MAIL,2,0.06,15,Brand#32,11,SM DRUM,30,13,13464.819
F,F,NONE,0,Manufacturer#3,1-URGENT,4,MACHINERY,SHIP,4,0.02,15,Brand#31,11,WRAP CAN,5,13,28698.6042
F,F,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,4,MACHINERY,MAIL,3,0.08,6,Brand#25,11,WRAP CAN,9,13,23382.1434
F,F,COLLECT COD,1,Manufacturer#5,5-LOW,4,MACHINERY,FOB,1,0.01,3,Brand#52,10,WRAP CASE,8,14,12635.9688
F,F,COLLECT COD,2,Manufacturer#1,2-HIGH,3,HOUSEHOLD,AIR,2,0.07,9,Brand#12,22,MED JAR,26,15,5874.42
F,F,NONE,4,Manufacturer#4,2-HIGH,4,HOUSEHOLD,FOB,1,0.01,11,Brand#45,10,LG CAN,33,16,22334.25
F,F,DELIVER IN PERSON,3,Manufacturer#2,2-HIGH,4,HOUSEHOLD,FOB,3,0,7,Brand#24,10,JUMBO CASE,33,16,5429.526
F,F,DELIVER IN PERSON,2,Manufacturer#1,2-HIGH,4,HOUSEHOLD,AIR,4,0.07,12,Brand#14,10,MED CASE,25,16,18550.8432
F,F,COLLECT COD,1,Manufacturer#3,5-LOW,4,BUILDING,TRUCK,2,0.08,2,Brand#32,4,LG JAR,5,17,6461.4222
F,F,COLLECT COD,4,Manufacturer#1,5-LOW,4,BUILDING,MAIL,3,0,4,Brand#15,4,WRAP CAN,41,17,47109.15
F,F,NONE,2,Manufacturer#5,3-MEDIUM,3,FURNITURE,TRUCK,3,0.04,9,Brand#51,19,LG BOX,15,18,4520.84
