o_orderstatus,sn_regionkey,p_mfgr,o_orderpriority,o_orderdate,l_shipinstruct,l_commitdate,cn_regionkey,l_shipdate,c_mktsegment,l_receiptdate,l_shipmode,p_retailprice,l_linenumber,l_tax,groupcol,aggcol
O,0,Manufacturer#5,4-NOT SPECIFIED,1998-01-24,NONE,1998-03-20,0,1998-04-12,HOUSEHOLD,1998-04-15,FOB,1867.96,4,0.01,0,33
O,2,Manufacturer#5,4-NOT SPECIFIED,1998-01-24,COLLECT COD,1998-04-03,0,1998-05-23,HOUSEHOLD,1998-06-02,SHIP,1560.66,2,0.07,0,3
O,1,Manufacturer#3,4-NOT SPECIFIED,1998-01-24,COLLECT COD,1998-04-22,0,1998-04-10,HOUSEHOLD,1998-04-11,FOB,1520.62,1,0.07,0,25
O,0,Manufacturer#4,4-NOT SPECIFIED,1998-01-24,DELIVER IN PERSON,1998-03-20,0,1998-02-23,HOUSEHOLD,1998-03-24,SHIP,1245.34,3,0.07,0,45
O,1,Manufacturer#3,4-NOT SPECIFIED,1998-01-24,DELIVER IN PERSON,1998-04-22,0,1998-03-05,HOUSEHOLD,1998-03-30,TRUCK,1858.95,6,0.01,0,34
O,4,Manufacturer#1,4-NOT SPECIFIED,1998-01-24,DELIVER IN PERSON,1998-04-07,0,1998-01-29,HOUSEHOLD,1998-02-18,RAIL,934.03,5,0.06,0,39
O,2,Manufacturer#5,2-HIGH,1997-05-09,NONE,1997-07-24,1,1997-07-31,BUILDING,1997-08-17,RAIL,1725.82,3,0.01,0,25
O,3,Manufacturer#2,2-HIGH,1997-05-09,TAKE BACK RETURN,1997-07-28,1,1997-08-09,BUILDING,1997-08-26,SHIP,1594.69,2,0.08,0,34
O,0,Manufacturer#4,2-HIGH,1997-05-09,DELIVER IN PERSON,1997-07-13,1,1997-06-02,BUILDING,1997-06-04,SHIP,1512.61,4,0.07,0,15
O,1,Manufacturer#5,2-HIGH,1997-05-09,TAKE BACK RETURN,1997-08-02,1,1997-07-24,BUILDING,1997-08-07,SHIP,1790.89,1,0,0,37
F,3,Manufacturer#5,5-LOW,1992-11-19,TAKE BACK RETURN,1992-12-25,3,1992-11-25,BUILDING,1992-12-09,REG AIR,1753.85,2,0.02,1,36
F,1,Manufacturer#3,5-LOW,1992-11-19,COLLECT COD,1993-01-24,3,1993-02-15,BUILDING,1993-03-05,TRUCK,929.02,1,0.02,2,46
F,0,Manufacturer#3,5-LOW,1992-11-19,COLLECT COD,1993-02-14,3,1993-01-08,BUILDING,1993-01-29,SHIP,1295.39,3,0.06,1,33
F,2,Manufacturer#1,5-LOW,1992-11-19,COLLECT COD,1993-01-31,3,1993-02-15,BUILDING,1993-02-24,SHIP,1671.77,6,0.01,2,22
F,4,Manufacturer#2,5-LOW,1992-11-19,DELIVER IN PERSON,1993-01-08,3,1993-01-26,BUILDING,1993-02-24,FOB,1587.68,7,0.04,2,1
F,2,Manufacturer#3,5-LOW,1992-11-19,TAKE BACK RETURN,1993-01-02,3,1992-12-07,BUILDING,1992-12-11,FOB,1214.31,5,0,1,24
F,1,Manufacturer#2,5-LOW,1992-11-19,COLLECT COD,1993-02-14,3,1993-01-29,BUILDING,1993-02-10,MAIL,1253.35,4,0.01,2,34
F,2,Manufacturer#4,3-MEDIUM,1994-06-08,COLLECT COD,1994-08-30,2,1994-09-20,HOUSEHOLD,1994-09-23,REG AIR,1792.89,3,0.03,1,4
