o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,o_custkey,groupcol,aggcol
F,2-HIGH,3,AUTOMOBILE,7,Clerk#000000020,1993-09-20,4450.03,283,3,1
F,5-LOW,0,BUILDING,14,Clerk#000000638,1993-08-17,-52.35,1277,4,1
F,2-HIGH,0,FURNITURE,5,Clerk#000000589,1993-08-31,1211.39,418,3,1
F,5-LOW,0,AUTOMOBILE,0,Clerk#000000657,1993-07-18,138.31,955,4,1
F,5-LOW,3,HOUSEHOLD,23,Clerk#000000960,1993-09-22,32.24,364,4,1
F,3-MEDIUM,3,MACHINERY,6,Clerk#000000844,1993-08-22,8651.87,1097,2,1
F,5-LOW,2,FURNITURE,18,Clerk#000000481,1993-09-27,807.37,727,4,1
F,1-URGENT,3,FURNITURE,23,Clerk#000000522,1993-07-08,2317.93,415,0,1
F,5-LOW,2,FURNITURE,8,Clerk#000000254,1993-07-15,9365.93,1465,4,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,23,Clerk#000000924,1993-09-15,2701.21,985,1,1
F,3-MEDIUM,1,AUTOMOBILE,3,Clerk#000000046,1993-07-26,754.41,235,2,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,13,Clerk#000000504,1993-08-02,3686.07,583,1,1
F,5-LOW,3,BUILDING,7,Clerk#000000082,1993-08-22,448.49,1249,4,1
F,3-MEDIUM,3,AUTOMOBILE,22,Clerk#000000578,1993-08-23,5067.31,275,2,1
F,5-LOW,1,MACHINERY,1,Clerk#000000347,1993-08-29,9114.68,736,4,1
F,4-NOT SPECIFIED,0,BUILDING,5,Clerk#000000684,1993-09-01,9533.37,188,1,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,10,Clerk#000000593,1993-07-11,1299.92,256,1,1
F,5-LOW,1,AUTOMOBILE,3,Clerk#000000176,1993-08-05,-556.05,1207,4,1
F,1-URGENT,1,BUILDING,1,Clerk#000000477,1993-08-29,178.73,986,0,1
F,4-NOT SPECIFIED,4,BUILDING,4,Clerk#000000783,1993-08-12,260.71,1246,1,1
F,4-NOT SPECIFIED,1,AUTOMOBILE,3,Clerk#000000236,1993-09-23,9008.61,226,1,1
F,2-HIGH,0,AUTOMOBILE,0,Clerk#000000523,1993-07-29,3393.86,854,3,1
F,3-MEDIUM,2,FURNITURE,12,Clerk#000000093,1993-07-17,7133.7,25,2,1
F,5-LOW,1,AUTOMOBILE,3,Clerk#000000048,1993-09-07,-275.58,488,4,1
F,3-MEDIUM,3,BUILDING,6,Clerk#000000266,1993-08-04,8667.09,712,2,1
F,2-HIGH,0,HOUSEHOLD,15,Clerk#000000160,1993-09-11,8865.61,398,3,1
F,5-LOW,4,HOUSEHOLD,4,Clerk#000000983,1993-07-21,208.45,164,4,1
F,1-URGENT,0,BUILDING,16,Clerk#000000647,1993-07-14,2945.16,191,0,1
F,4-NOT SPECIFIED,4,AUTOMOBILE,4,Clerk#000000086,1993-07-12,8798.96,1174,1,1
