l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,p_container,p_size,l_quantity,groupcol,aggcol
O,O,N,TAKE BACK RETURN,Manufacturer#4,2-HIGH,0,HOUSEHOLD,FOB,3,0.06,18,Brand#45,MED BAG,27,39,2,48591.7614
F,F,R,NONE,Manufacturer#5,1-URGENT,4,FURNITURE,REG AIR,4,0.04,12,Brand#53,SM PACK,33,9,0,8413.3908
F,F,A,NONE,Manufacturer#3,1-URGENT,4,FURNITURE,TRUCK,5,0.08,9,Brand#31,MED BOX,46,22,4,37469.839
F,F,A,NONE,Manufacturer#4,1-URGENT,4,FURNITURE,MAIL,7,0.04,9,Brand#42,MED PACK,24,16,4,27733.3056
F,F,R,COLLECT COD,Manufacturer#1,1-URGENT,1,HOUSEHOLD,FOB,2,0.07,8,Brand#14,LG PACK,44,47,3,72806.1208
F,F,A,TAKE BACK RETURN,Manufacturer#1,1-URGENT,1,HOUSEHOLD,SHIP,3,0,8,Brand#15,JUMBO PKG,26,40,3,49107.024
F,F,R,DELIVER IN PERSON,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,4,0.05,9,Brand#35,SM JAR,39,14,4,13514.4702
F,F,A,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,1,0.08,18,Brand#44,LG CAN,25,14,2,21404.754
F,F,R,TAKE BACK RETURN,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,REG AIR,2,0.02,18,Brand#44,SM BAG,15,18,2,28131.8994
F,F,A,COLLECT COD,Manufacturer#5,4-NOT SPECIFIED,2,MACHINERY,RAIL,3,0.08,18,Brand#54,LG BOX,37,36,2,30862.4184
F,F,A,NONE,Manufacturer#3,1-URGENT,2,BUILDING,MAIL,1,0.06,8,Brand#33,WRAP DRUM,8,47,3,69917.4021
F,F,A,NONE,Manufacturer#2,1-URGENT,2,BUILDING,REG AIR,4,0,12,Brand#25,LG DRUM,25,4,0,3333.672
