tableid,timeline,agg,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,
1,0,61642.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,4260.6,0,1,0,0,0,1,1,0,1,0,1,1,1,1,
1,0,34594.1,0,2,1,0,0,1,2,0,2,0,2,0,2,2,
1,0,56040.3,0,0,2,0,0,2,0,0,3,0,3,1,3,3,
1,0,60676.1,0,2,1,0,0,2,2,0,4,0,4,2,4,4,
1,0,33513,0,3,3,0,0,2,3,0,5,0,5,3,5,5,
1,0,42714,0,1,0,1,1,0,4,1,6,1,6,3,6,3,
1,0,52592.9,0,4,4,1,1,3,5,1,7,1,7,1,7,1,
1,0,21100.9,0,0,2,1,1,2,6,1,8,1,8,1,8,0,
1,0,62287.2,0,2,0,1,1,3,7,1,9,1,9,1,9,2,
1,1,62507.2,1,4,0,2,2,3,8,2,10,1,10,4,10,1,
1,2,39316.1,1,2,1,2,2,1,9,2,11,1,11,2,11,2,
1,1,41038,1,0,1,2,2,1,10,2,12,1,12,1,12,3,
1,2,34572.2,1,1,3,2,2,1,11,2,11,1,13,1,13,4,
1,2,1508.3,1,3,4,2,2,2,12,2,13,1,13,0,14,6,
1,1,27394.8,1,1,1,2,2,3,13,2,14,1,14,0,15,5,
1,2,42613.9,1,2,4,2,2,1,10,2,15,1,15,5,16,0,
1,1,6884.7,1,1,2,3,3,1,14,3,16,0,16,4,17,3,
1,2,63895.6,1,0,2,3,3,0,15,3,17,0,17,0,18,2,
1,1,65828.6,1,0,2,3,3,0,16,3,18,0,18,1,19,1,
1,1,57864.4,1,2,0,1,4,1,17,1,19,0,19,5,20,3,
1,2,47013.5,1,0,2,1,4,2,18,1,20,0,20,3,21,4,
1,1,69483.8,1,2,2,1,4,0,19,1,21,0,21,2,22,2,
1,1,54777.8,1,0,3,1,4,0,20,1,22,0,22,2,23,1,
1,1,73993,1,3,0,1,4,0,21,1,23,0,23,4,24,6,
1,2,21157.3,1,3,3,1,4,1,22,1,24,0,24,1,25,5,
1,1,25764,1,1,2,1,4,3,23,1,25,0,25,5,26,0,
1,2,32362.8,1,3,3,3,5,2,24,3,26,2,26,0,27,2,
1,1,20044.7,1,3,4,1,6,1,25,1,27,1,27,3,28,4,
1,1,10225.2,1,1,0,1,6,1,26,1,28,1,28,4,29,6,
1,2,86394.5,1,0,1,1,6,0,27,1,29,1,29,2,30,0,
1,1,65978.8,1,0,0,1,6,1,28,1,30,1,30,4,31,3,
1,1,38319.8,1,3,0,1,6,3,29,1,31,1,31,4,32,5,
1,2,69791.3,1,1,1,1,6,1,30,1,32,1,32,2,33,1,
1,1,48958.9,1,3,0,1,6,0,28,1,33,1,33,2,34,2,
1,0,45133,0,1,3,3,7,1,31,1,34,3,34,3,35,6,
1,0,60326,0,0,2,3,7,0,32,1,35,3,35,2,36,5,
1,0,38136.5,0,1,4,3,7,3,33,1,36,3,36,4,37,0,
1,0,2158.34,0,1,2,3,7,2,34,1,37,3,37,1,38,1,
1,0,68222.4,0,1,1,3,7,0,35,1,38,3,38,1,39,2,
1,0,39400.9,0,4,3,3,7,3,36,1,39,3,39,6,40,4,
1,0,27073.7,0,1,3,3,7,0,36,1,39,3,40,5,41,3,
1,0,77935.2,0,0,0,4,8,2,37,1,40,0,41,1,42,2,
1,0,66617,0,1,1,4,8,0,38,1,41,0,42,4,43,5,
1,0,2865.13,0,0,4,4,8,1,39,1,42,0,43,0,44,1,
1,0,2046.35,0,1,3,4,8,3,40,1,43,0,41,1,45,4,
1,0,45997.3,0,3,1,4,8,1,41,1,44,0,44,0,46,3,
1,0,8401.2,0,1,1,4,8,1,42,1,45,0,45,3,47,0,
1,1,12941.4,1,3,4,3,9,3,43,4,46,1,46,0,48,3,
1,2,1379.07,1,0,4,3,9,1,44,4,47,1,47,5,49,2,
1,1,36826,1,0,3,3,9,1,45,4,48,1,48,2,50,1,
1,1,8664.63,1,1,0,3,10,2,46,0,49,3,49,2,51,2,
1,2,39470.2,1,0,0,4,11,0,47,2,50,3,50,2,52,2,
1,1,17551.7,1,4,0,3,12,0,48,2,51,2,51,2,53,1,
1,2,48226.2,1,3,1,3,12,3,49,2,52,2,52,3,54,2,
1,2,61594.7,1,0,1,3,12,0,50,2,53,2,53,2,55,3,
1,0,35813,0,0,1,4,13,1,51,2,54,2,54,4,56,2,
1,0,33719.4,0,2,2,4,13,2,52,2,55,2,55,3,57,5,
1,0,31874.6,0,2,1,4,13,3,34,2,56,2,56,2,58,0,
1,0,3503.43,0,4,4,4,13,1,36,2,34,2,57,4,59,3,
1,0,53445.4,0,0,3,4,13,1,53,2,57,2,58,1,60,1,
1,2,24870.3,1,0,1,3,14,3,54,3,58,1,59,5,61,3,
1,1,17621.7,1,2,4,3,14,3,55,3,59,1,53,3,62,2,
1,1,16433.9,1,0,3,3,14,3,56,3,60,1,60,4,63,1,
1,0,27272.7,0,1,0,2,15,3,57,1,61,3,61,4,64,1,
1,0,20660.6,0,1,3,2,15,1,58,1,62,3,62,4,65,2,
1,0,41712.9,0,1,1,2,15,2,59,1,63,3,9,1,66,5,
1,0,22836.5,0,0,2,2,15,0,60,1,64,3,63,6,67,3,
1,0,17947.8,0,0,0,2,15,1,61,1,65,3,64,6,68,0,
1,2,52258.7,1,1,2,4,16,3,62,2,66,0,65,5,69,0,
1,1,3492.07,1,0,1,4,16,3,63,2,67,0,30,0,70,3,
1,2,65007.1,1,0,4,4,16,2,25,2,68,0,66,6,54,6,
1,2,5183.78,1,1,2,4,16,0,28,2,69,0,50,1,71,4,
1,1,32816.6,1,1,4,4,16,0,64,2,70,0,67,6,72,1,
1,2,39294.6,1,0,1,4,16,0,65,2,71,0,27,4,73,2,
1,1,17849.6,1,2,1,4,16,2,66,2,72,0,68,2,74,5,
1,0,37929.7,2,0,2,1,17,1,67,3,73,3,69,3,75,3,
1,0,38766.2,2,1,4,1,17,1,68,3,74,3,70,3,76,2,
1,0,49268.2,2,2,0,1,17,2,69,3,75,3,71,6,77,5,
1,0,31688.9,2,0,0,1,17,3,70,3,76,3,72,0,78,0,
1,1,9958.97,2,4,2,1,17,3,71,3,77,3,73,1,79,1,
1,1,84478.6,1,0,3,2,18,0,72,0,78,4,74,0,80,2,
1,2,41854.8,1,1,0,2,18,1,73,0,79,4,75,4,81,3,
1,1,33736.6,1,4,1,2,18,1,74,0,80,4,76,0,82,1,
1,1,23838.6,1,4,3,1,19,2,75,4,81,1,77,3,83,2,
1,2,26854.3,1,4,0,1,19,0,76,4,82,1,78,6,84,1,
1,1,8749.5,1,0,3,0,20,1,77,3,83,0,79,6,85,2,
1,2,48298.7,1,1,0,3,21,1,78,1,84,3,33,6,86,3,
1,2,20649.8,1,2,3,3,21,1,79,1,85,3,80,2,87,6,
1,1,51379.4,1,1,2,3,21,2,80,1,86,3,81,3,88,4,
1,2,66432,1,2,3,3,21,0,81,1,87,3,82,1,89,2,
1,1,37462.1,1,0,1,3,21,2,82,1,88,3,83,1,90,5,
1,1,47901.2,1,0,0,3,21,3,30,1,89,3,84,6,81,1,
1,1,6142.98,1,1,1,3,21,1,82,1,90,3,85,3,91,0,
1,0,13597.1,0,1,0,2,22,3,51,4,91,1,86,3,92,0,
1,0,39485.7,0,0,0,2,22,2,83,4,92,1,87,4,93,1,
1,0,53530.1,0,4,0,2,22,0,84,4,93,1,88,5,94,6,
1,0,2955.82,0,3,1,2,22,1,85,4,94,1,89,3,95,4,
1,0,60327.6,0,4,3,2,22,0,86,4,36,1,90,1,23,3,
1,0,36901.8,0,4,0,2,22,0,87,4,95,1,91,5,96,5,
1,0,18778.5,0,0,1,2,22,2,85,4,96,1,34,3,97,2,
1,2,18417.7,1,1,2,1,23,3,88,2,97,0,92,3,98,0,
1,1,8340.29,1,2,4,1,23,3,89,2,98,0,93,5,99,2,
1,1,41686.6,1,4,2,1,23,2,90,2,99,0,94,2,69,4,
1,1,26477.9,1,0,4,1,23,1,91,2,100,0,95,6,100,3,
1,2,20524.1,1,2,4,1,23,3,92,2,101,0,96,2,101,1,
1,2,8892.52,1,2,0,1,23,2,55,2,102,0,97,1,102,5,
1,0,22496.5,0,0,0,4,24,3,93,1,64,1,64,6,103,3,
1,0,55861,0,0,4,4,24,3,94,1,103,1,98,1,104,0,
1,0,51618.9,0,1,3,4,24,3,95,1,104,1,99,0,105,2,
1,0,66040.2,0,0,4,4,24,2,96,1,105,1,100,5,22,4,
1,0,5430,0,1,4,4,24,2,97,1,106,1,101,0,106,1,
1,0,45098.6,0,3,2,4,24,2,93,1,107,1,102,2,107,5,
1,1,10121.6,1,3,0,3,25,1,98,1,108,2,103,3,108,2,
1,2,32594.5,1,3,4,3,25,3,99,1,109,2,104,3,109,1,
1,2,36017.7,1,1,0,3,25,0,100,1,110,2,105,3,110,0,
1,2,2041.17,1,3,0,3,25,3,101,1,47,2,106,5,111,5,
1,1,26156.3,1,4,4,3,25,2,102,1,111,2,107,5,112,3,
1,0,12326.4,0,2,0,3,26,0,103,1,112,2,108,1,113,2,
1,2,70297.4,1,0,1,4,27,0,104,0,113,0,109,3,114,3,
1,1,38681.4,1,0,2,4,27,3,105,0,69,0,110,2,88,1,
1,1,16525.6,1,1,3,4,27,0,106,0,114,0,111,2,115,2,
1,2,32380.7,1,0,0,4,27,2,107,0,115,0,112,1,52,0,
1,0,43365.6,0,1,2,1,28,1,108,0,116,1,113,1,116,0,
1,0,22162.1,0,0,3,1,28,3,109,0,117,1,114,4,117,4,
1,0,27407.4,0,1,3,1,28,2,110,0,118,1,115,4,118,1,
1,0,60911.5,0,3,3,1,28,2,111,0,119,1,116,1,119,3,
1,0,4026.21,0,3,4,1,28,3,112,0,120,1,117,2,120,5,
1,0,50143.5,0,2,2,1,28,2,113,0,121,1,9,1,121,2,
1,2,12348.3,1,4,0,2,29,3,114,3,122,2,118,2,122,2,
1,2,30908.1,1,2,1,2,29,3,115,3,82,2,119,1,123,5,
1,2,17775.3,1,2,3,2,29,2,116,3,123,2,120,2,124,1,
1,2,65211.6,1,2,0,2,29,1,117,3,124,2,121,6,125,3,
1,1,20021.1,1,2,3,2,29,2,118,3,125,2,122,4,126,0,
1,1,30162,1,0,0,1,30,0,119,1,126,0,123,2,127,4,
1,2,39016.6,1,1,0,1,30,2,120,1,127,0,124,6,128,0,
