tableid,timeline,agg,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,
1,0,61642.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,4681.98,0,1,0,0,0,1,1,0,1,0,1,1,1,1,
1,0,38015.5,0,2,1,0,0,1,2,0,2,0,2,0,2,2,
1,0,56040.3,0,0,2,0,0,2,0,0,3,0,3,1,3,3,
1,0,63204.3,0,2,1,0,0,2,2,0,4,0,4,2,4,4,
1,0,36427.2,0,3,3,0,0,2,3,0,5,0,5,3,5,5,
1,0,43145.5,0,1,0,1,1,0,4,1,6,1,6,3,6,3,
1,0,54219.5,0,4,4,1,1,3,5,1,7,1,7,1,7,1,
1,0,22689.2,0,0,2,1,1,2,6,1,8,1,8,1,8,0,
1,0,66262.9,0,2,0,1,1,3,7,1,9,1,9,1,9,2,
1,1,63138.6,1,4,0,2,2,3,8,2,10,1,10,4,10,1,
1,2,42734.9,1,2,1,2,2,1,9,2,11,1,11,2,11,2,
1,1,42747.9,1,0,1,2,2,1,10,2,12,1,12,1,12,3,
1,2,36778.9,1,1,3,2,2,1,11,2,11,1,13,1,13,4,
1,2,1587.68,1,3,4,2,2,2,12,2,13,1,13,0,14,6,
1,1,29143.4,1,1,1,2,2,3,13,2,14,1,14,0,15,5,
1,2,42613.9,1,2,4,2,2,1,10,2,15,1,15,5,16,0,
1,1,7171.56,1,1,2,3,3,1,14,3,16,0,16,4,17,3,
1,2,70995.1,1,0,2,3,3,0,15,3,17,0,17,0,18,2,
1,1,67172,1,0,2,3,3,0,16,3,18,0,18,1,19,1,
1,1,63587.2,1,2,0,1,4,1,17,1,19,0,19,5,20,3,
1,2,48467.5,1,0,2,1,4,2,18,1,20,0,20,3,21,4,
1,1,73918.9,1,2,2,1,4,0,19,1,21,0,21,2,22,2,
1,1,57660.8,1,0,3,1,4,0,20,1,22,0,22,2,23,1,
1,1,77887.4,1,3,0,1,4,0,21,1,23,0,23,4,24,6,
1,2,21371,1,3,3,1,4,1,22,1,24,0,24,1,25,5,
1,1,28004.4,1,1,2,1,4,3,23,1,25,0,25,5,26,0,
1,2,32689.7,1,3,3,3,5,2,24,3,26,2,26,0,27,2,
1,1,22271.9,1,3,4,1,6,1,25,1,27,1,27,3,28,4,
1,1,10541.4,1,1,0,1,6,1,26,1,28,1,28,4,29,6,
