tableid,timeline,agg,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,
1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,
1,7,1,0,0,0,1,1,1,1,1,0,1,1,1,
1,7,1,0,0,0,2,2,2,2,2,1,2,2,2,
1,8,1,0,0,0,0,3,3,3,0,0,3,0,3,
1,10,1,0,1,0,2,4,2,4,2,0,4,2,4,
1,6,1,0,2,0,0,5,4,5,0,0,5,0,0,
1,7,1,0,2,0,0,6,1,6,0,0,6,0,3,
1,7,1,0,3,0,2,7,5,7,2,0,4,2,3,
1,6,1,0,2,0,0,8,2,8,2,0,7,2,3,
1,6,1,0,1,1,0,9,2,9,2,0,1,2,5,
1,7,1,0,0,0,0,10,4,10,2,0,8,2,3,
1,7,1,0,0,1,0,11,2,11,2,0,1,2,3,
1,6,1,0,0,0,0,12,2,12,2,1,7,2,0,
1,7,1,0,2,0,3,13,2,13,2,0,0,2,3,
1,5,1,0,2,0,2,14,0,14,0,0,5,0,3,
1,6,1,0,2,0,3,15,2,15,2,0,6,2,5,
1,6,1,0,2,0,0,16,2,16,2,0,0,2,3,
1,8,1,0,0,0,2,17,4,17,3,0,8,3,5,
1,8,1,0,2,0,0,18,5,18,0,0,6,0,3,
1,6,1,0,2,0,0,19,2,19,2,0,1,2,3,
1,7,1,0,1,0,3,20,0,20,4,0,0,4,4,
1,6,1,0,2,0,0,21,2,21,2,0,6,2,0,
1,9,1,0,0,0,3,22,4,22,2,1,2,2,0,
1,7,1,0,0,0,0,23,1,16,3,0,8,3,3,
1,7,1,0,2,0,0,24,1,23,0,0,0,0,0,
1,9,1,0,0,0,0,25,0,19,2,0,9,2,3,
1,7,1,0,0,1,0,26,0,24,2,1,6,2,3,
1,9,1,0,0,0,2,24,2,25,2,1,2,2,3,
1,7,1,0,0,0,3,27,2,26,2,0,10,2,0,
1,7,1,0,2,0,0,28,4,27,0,0,0,0,3,
1,4,1,0,2,0,3,29,0,14,4,0,6,4,0,
1,8,1,0,4,0,1,30,5,28,3,0,1,3,4,
1,8,1,0,1,0,3,31,5,29,0,0,7,0,5,
1,6,1,0,2,0,0,32,2,8,2,0,1,2,3,
1,5,1,0,1,0,3,33,2,30,2,1,0,2,3,
1,6,1,0,2,0,0,34,0,31,0,1,6,0,0,
1,6,1,0,2,0,0,35,2,32,2,0,8,2,0,
1,3,1,0,5,0,4,36,2,33,2,0,6,2,4,
1,7,1,0,1,0,1,37,0,34,3,0,0,3,0,
1,6,1,0,2,0,3,38,0,35,4,1,6,4,4,
1,8,1,0,0,0,2,39,5,10,3,0,6,3,3,
1,6,1,0,6,1,2,40,0,36,3,0,10,3,0,
1,9,1,0,4,0,5,41,6,37,3,0,1,3,3,
1,6,1,0,2,0,3,42,2,38,2,1,6,2,5,
1,5,1,0,2,0,2,43,2,39,2,0,0,2,3,
1,8,1,0,7,0,1,44,7,40,3,0,7,3,2,
1,6,1,0,6,0,0,45,0,41,0,0,7,0,4,
1,7,1,0,2,0,0,46,1,42,3,0,8,3,6,
1,8,1,0,5,0,2,47,2,43,2,0,5,2,0,
1,9,1,0,5,0,0,48,4,44,2,0,7,2,4,
1,6,1,0,6,2,6,49,0,45,3,0,4,3,0,
1,6,1,0,3,0,3,50,0,46,2,0,7,2,0,
1,7,1,0,1,0,0,51,1,47,0,0,0,0,4,
1,5,1,1,0,0,0,52,8,48,2,0,1,2,3,
1,8,1,0,2,0,0,40,2,49,2,0,8,2,3,
1,4,1,0,4,0,0,53,0,50,0,0,5,0,3,
1,4,1,0,6,0,2,54,0,51,3,0,5,3,5,
1,6,1,0,0,0,0,55,0,52,2,0,1,2,2,
1,2,1,0,2,0,3,56,2,53,2,0,5,2,0,
1,7,1,0,0,3,2,57,1,54,2,0,5,2,0,
1,7,1,2,2,0,0,58,2,55,2,0,5,2,0,
1,8,1,0,4,0,4,59,3,56,2,0,0,2,0,
1,5,1,0,2,0,3,60,2,57,2,0,10,2,6,
1,6,1,0,2,0,0,61,4,58,2,0,1,2,3,
1,6,1,0,2,0,0,62,2,56,2,0,5,2,4,
1,8,1,0,0,0,3,63,4,3,5,0,4,5,0,
1,7,1,0,1,0,2,64,1,59,6,0,1,6,0,
1,8,1,0,1,0,3,65,2,59,2,0,5,2,3,
1,6,1,0,2,0,5,66,2,60,2,0,0,2,0,
1,5,1,0,2,0,4,5,2,16,2,0,6,2,4,
1,9,1,0,0,0,2,67,2,61,2,0,4,2,3,
1,9,1,0,0,0,4,68,2,62,2,0,5,2,6,
1,5,1,0,3,0,3,69,0,63,4,0,6,4,1,
1,8,1,0,2,0,0,70,5,64,0,0,1,0,3,
1,6,1,0,2,0,0,71,2,65,2,0,6,2,3,
1,7,1,0,0,0,0,72,1,33,3,0,0,3,0,
1,7,1,0,0,4,3,8,1,66,4,0,0,4,2,
1,7,1,0,5,0,0,73,1,67,0,0,1,0,5,
1,6,1,0,2,0,4,74,2,68,2,0,7,2,4,
1,8,1,0,0,1,1,75,5,69,3,0,8,3,5,
1,8,1,0,0,2,0,76,2,70,2,0,5,2,0,
1,6,1,0,5,0,0,77,0,71,0,0,1,0,0,
1,8,1,0,2,0,3,75,5,72,6,0,6,6,0,
1,5,1,0,0,0,3,78,2,73,2,1,0,2,5,
1,9,1,1,8,0,1,79,4,74,6,0,8,6,3,
1,8,1,0,1,0,0,80,5,34,5,0,4,5,3,
1,6,1,0,2,0,3,81,9,61,4,0,6,4,3,
1,8,1,0,9,3,4,82,2,1,2,0,4,2,6,
1,9,1,0,2,0,2,83,2,75,2,0,7,2,0,
1,8,1,0,0,0,3,84,2,76,2,0,6,2,0,
1,7,1,0,1,0,0,85,4,77,0,0,1,0,0,
1,8,1,0,2,0,5,86,2,78,2,0,8,2,0,
1,8,1,0,2,0,2,87,5,79,0,0,5,0,4,
